design,split_seed,A,B,dZ,n_candidates,saved,saved_heavy,saved_light,e_random,e_model,n_no_call,n_called_heavy,n_called_light
B,104729,La,Ce,1,68,-4.604166666666664,0.125,-9.333333333333329,12.9375,17.541666666666664,0,54,14
B,104729,La,Pr,2,72,1.9752705627705627,0.1886363636363635,3.761904761904762,6.126785714285714,4.151515151515151,0,53,19
B,104729,La,Nd,3,77,3.656633906633907,0.3132678132678133,7.0,10.636363636363637,6.97972972972973,0,53,24
B,104729,La,Sm,5,74,2.2471204607262836,0.2799552071668532,4.2142857142857135,6.155015197568389,3.9078947368421053,0,49,25
B,104729,La,Eu,6,83,1.5314375340971083,0.5051827605019092,2.5576923076923075,3.5186170212765955,1.9871794871794872,0,49,34
B,104729,La,Gd,7,68,1.6957098628925256,0.4628482972136223,2.928571428571429,3.3721804511278197,1.6764705882352942,0,45,23
B,104729,La,Tb,8,58,1.7218750000000003,0.54375,2.9000000000000004,3.871875,2.15,0,38,20
B,104729,La,Dy,9,68,1.6158783783783783,0.4817567567567569,2.75,3.7375,2.1216216216216215,0,45,23
B,104729,La,Ho,10,52,1.6184424894102314,0.3479960899315737,2.8888888888888893,3.7474747474747474,2.129032258064516,0,38,14
B,104729,La,Er,11,69,1.201109391124871,0.5394736842105263,1.8627450980392157,2.541666666666667,1.3405572755417956,0,45,24
B,104729,La,Tm,12,48,1.6689016602809708,0.39335887611749687,2.9444444444444446,3.567049808429119,1.8981481481481481,0,34,14
B,104729,La,Yb,13,52,1.4753472222222224,0.4229166666666666,2.527777777777778,3.0364583333333335,1.5611111111111111,0,36,16
B,104729,La,Lu,14,56,2.3002192982456138,0.26710526315789473,4.333333333333333,3.8791666666666664,1.5789473684210527,0,43,13
B,104729,Ce,Pr,1,68,4.058333333333334,0.6500000000000004,7.466666666666668,9.775,5.716666666666667,0,50,18
B,104729,Ce,Nd,2,65,7.866071428571428,0.39880952380952395,15.333333333333332,12.178571428571429,4.3125,0,46,19
B,104729,Ce,Sm,4,65,2.3705855547960812,0.31259968102073366,4.428571428571429,5.582706766917293,3.212121212121212,0,46,19
B,104729,Ce,Eu,5,68,1.9970779220779225,0.5227272727272727,3.471428571428572,4.408333333333333,2.411255411255411,0,45,23
B,104729,Ce,Gd,6,57,1.974353448275862,0.3987068965517242,3.55,3.80625,1.831896551724138,0,40,17
B,104729,Ce,Tb,7,53,2.8583333333333334,0.4666666666666668,5.25,5.4,2.5416666666666665,0,39,14
B,104729,Ce,Dy,8,55,2.4985294117647054,0.3970588235294117,4.6,4.823529411764706,2.325,0,39,16
B,104729,Ce,Ho,9,52,2.28125,0.4375,4.125,4.140625,1.859375,0,38,14
B,104729,Ce,Er,10,55,1.3906322843822845,0.509469696969697,2.2717948717948717,2.7151515151515153,1.3245192307692308,0,37,18
B,104729,Ce,Tm,11,48,2.187750866630177,0.39335887611749687,3.982142857142857,3.907327586206897,1.7195767195767195,0,34,14
B,104729,Ce,Yb,12,50,1.9059523809523806,0.37857142857142856,3.4333333333333327,3.4,1.494047619047619,0,36,14
B,104729,Ce,Lu,13,48,2.3571329254727473,0.3392658509454949,4.375,3.852822580645161,1.4956896551724137,0,35,13
B,104729,Pr,Nd,1,71,6.178571428571429,1.8571428571428577,10.5,14.571428571428571,8.392857142857142,0,45,26
B,104729,Pr,Sm,3,70,1.9070660522273433,0.6474654377880187,3.166666666666668,7.061827956989248,5.154761904761904,0,45,25
B,104729,Pr,Eu,4,73,1.6988324175824177,0.7053571428571428,2.6923076923076925,4.002403846153847,2.303571428571429,0,44,29
B,104729,Pr,Gd,5,62,1.2028409090909091,0.6499999999999999,1.7556818181818183,3.09375,1.8909090909090909,0,39,23
B,104729,Pr,Tb,6,58,2.1623931623931623,0.7692307692307692,3.5555555555555554,4.412393162393162,2.25,0,38,20
B,104729,Pr,Dy,7,60,1.8145502645502645,0.8148148148148147,2.814285714285714,4.17962962962963,2.365079365079365,0,38,22
B,104729,Pr,Ho,8,52,1.8199507389162561,0.48275862068965525,3.157142857142857,3.5637931034482757,1.7438423645320196,0,38,14
B,104729,Pr,Er,9,60,1.3055555555555554,0.8888888888888886,1.722222222222222,2.824074074074074,1.5185185185185186,0,36,24
B,104729,Pr,Tm,10,48,1.8931013431013433,0.48461538461538467,3.301587301587302,3.664529914529915,1.7714285714285714,0,34,14
B,104729,Pr,Yb,11,50,1.5297202797202796,0.5,2.559440559440559,2.8722527472527473,1.3425324675324675,0,36,14
B,104729,Pr,Lu,12,48,1.7356060606060604,0.41666666666666674,3.0545454545454542,3.102272727272727,1.3666666666666667,0,35,13
B,104729,Nd,Sm,2,78,3.533751306165099,0.6008359456635319,6.466666666666667,9.096969696969698,5.5632183908045985,0,51,27
B,104729,Nd,Eu,3,80,2.0252845041499103,0.8197997775305894,3.230769230769231,4.421836228287841,2.396551724137931,0,51,29
B,104729,Nd,Gd,4,72,1.3767642832995266,0.6260775862068966,2.127450980392157,3.2876838235294117,1.910919540229885,0,47,25
B,104729,Nd,Tb,5,59,2.556084656084656,0.7407407407407409,4.371428571428571,5.396825396825397,2.840740740740741,0,39,20
B,104729,Nd,Dy,6,71,1.9851222307104661,0.6747899159663864,3.295454545454546,4.301298701298702,2.3161764705882355,0,46,25
B,104729,Nd,Ho,7,52,1.953703703703704,0.5185185185185186,3.3888888888888893,3.925925925925926,1.9722222222222223,0,38,14
B,104729,Nd,Er,8,65,1.38109243697479,0.5621848739495798,2.2,2.776190476190476,1.3950980392156862,0,44,21
B,104729,Nd,Tm,9,48,1.7548076923076925,0.48461538461538467,3.0250000000000004,3.3923076923076927,1.6375,0,34,14
B,104729,Nd,Yb,10,51,1.61005291005291,0.48677248677248675,2.733333333333333,3.095238095238095,1.4851851851851854,0,36,15
B,104729,Nd,Lu,11,56,2.4547619047619045,0.32619047619047614,4.583333333333333,3.958333333333333,1.5035714285714286,0,43,13
B,104729,Sm,Eu,1,77,2.9741758241758243,1.6483516483516483,4.3,6.685714285714285,3.7115384615384617,0,50,27
B,104729,Sm,Gd,2,72,2.283768862716231,1.3157894736842106,3.251748251748251,4.728744939271255,2.444976076555024,0,47,25
B,104729,Sm,Tb,3,59,2.1222826086956523,0.8695652173913044,3.375,4.304347826086957,2.182065217391304,0,39,20
B,104729,Sm,Dy,4,70,1.9042609071808185,0.6696329254727478,3.1388888888888893,4.103494623655914,2.1992337164750957,0,46,24
B,104729,Sm,Ho,5,52,1.669230769230769,0.5384615384615383,2.8,3.669230769230769,2.0,0,38,14
