lead,family,design,comparison,value,reference,candidate,point,ci95_low,ci95_high,p_two_sided,p_perm,p_registered,ci_task_low,ci_task_high,p_task_boot,ci_block_low,ci_block_high,p_block_boot,conservative_interval,n_units,n_extractants,n_blocks,seeds_positive,n_seeds,loco_min,loco_max,loco_stable,loco_sign_stable,margin,passes_registered,passes_P1,rule,replicates,permutations,bootstrap_seed
L3,registered,B,G14_saved_vs_0,saved,random order,G14,2.2065445536908452,0.5207022547142526,4.117731795599427,0.007,0.0,0.0,,,,0.5207022547142526,4.117731795599427,0.007,chemotype-blocked,455,90,45,5,5,1.490616383008338,2.7285722302617326,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
L3,exploratory,B,G14_saved_heavy_vs_0,saved_heavy,random order,G14,0.7067124363977149,-0.10455152358263774,1.7444760607820027,0.099,0.0,0.0,,,,-0.10455152358263774,1.7444760607820027,0.099,chemotype-blocked,455,90,45,5,5,0.4434853442551646,1.0498690392457086,True,True,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
L3,exploratory,B,G14_saved_light_vs_0,saved_light,random order,G14,3.7063766709839756,-0.07296193419209566,8.088866054732247,0.057,0.0,0.0,,,,-0.07296193419209566,8.088866054732247,0.057,chemotype-blocked,455,90,45,5,5,1.9313637267709667,4.731170763899304,True,True,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
L3,exploratory,B,G14_saved_vs_0_dZ=1,saved,random order,G14,3.6452229550420343,-1.568838747951001,5.389517216296648,0.35,0.0,0.0,,,,-1.568838747951001,5.389517216296648,0.35,chemotype-blocked,60,90,45,5,5,1.8610844710844705,5.514698929846956,True,True,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
L3,exploratory,B,G14_saved_vs_0_dZ 2-4,saved,random order,G14,2.232903583453228,0.09728421479106605,4.469203085611148,0.037,0.0,0.0,,,,0.09728421479106605,4.469203085611148,0.037,chemotype-blocked,150,90,45,5,5,1.5658130421949967,2.6013997101899795,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
L3,exploratory,B,G14_saved_vs_0_dZ 5-8,saved,random order,G14,1.8879562026868069,1.0016130106257344,4.156261930074672,0.0,0.0,0.0,,,,1.0016130106257344,4.156261930074672,0.0,chemotype-blocked,150,90,45,5,5,1.3957598505754423,2.1799496320263683,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
L3,exploratory,B,G14_saved_vs_0_dZ 9-13,saved,random order,G14,1.7309626765546249,0.8887454047768967,4.156469215214483,0.0,0.0,0.0,,,,0.8887454047768967,4.156469215214483,0.0,chemotype-blocked,90,90,45,5,5,1.273624250563105,2.0044103341199997,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
L3,exploratory,B,HEAVIER_ALWAYS_saved_vs_0,saved,random order,HEAVIER_ALWAYS,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,1.0,chemotype-blocked,455,90,45,0,5,0.0,0.0,False,False,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,0,8675309
L3,registered,BR,G14_saved_vs_0,saved,random order,G14,2.1492837329594243,0.45498735518339195,3.984879465635062,0.009,0.0,0.0,,,,0.45498735518339195,3.984879465635062,0.009,chemotype-blocked,455,90,45,5,5,1.5083632518029477,2.684810463642516,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
L3,exploratory,BR,G14_saved_heavy_vs_0,saved_heavy,random order,G14,0.683890460815211,-0.10909089630823154,1.757342644050627,0.084,0.0,0.0,,,,-0.10909089630823154,1.757342644050627,0.084,chemotype-blocked,455,90,45,5,5,0.46396833962790274,1.0734901967108939,True,True,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
L3,exploratory,BR,G14_saved_light_vs_0,saved_light,random order,G14,3.614677005103637,-0.1717237083478916,7.858110551465281,0.069,0.0,0.0,,,,-0.1717237083478916,7.858110551465281,0.069,chemotype-blocked,455,90,45,5,5,1.9432363068950012,4.668482087029956,True,True,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
L3,exploratory,BR,G14_saved_vs_0_dZ=1,saved,random order,G14,3.536080775949197,-1.5846891121031745,5.355241724452812,0.382,0.0,0.0,,,,-1.5846891121031745,5.355241724452812,0.382,chemotype-blocked,60,90,45,5,5,2.1094683094683093,5.504383141225246,True,True,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
