design,arm,split,n_tasks,e_random,e_model,saved,saved_frac,saved_frac_task_mean,saved_frac_ci_low,saved_frac_ci_high,saved_heavy,saved_light,e_random_heavy,e_random_light,e_model_heavy,e_model_light,saved_sd_seed,saved_ci_low,saved_ci_high,p_perm,metric,n_seeds,saved_seed_104729,saved_seed_130363,saved_seed_155921,saved_seed_196613,saved_seed_262147
B,G14,all,455,6.905645338426908,4.699100784736062,2.2065445536908452,0.3195276394245714,0.4000785696938266,0.07330928030400718,0.3873318626640401,0.7067124363977149,3.7063766709839756,5.049243086614564,8.762047590239252,4.342530650216849,5.055670919255276,0.2904476444488403,0.5207022547142526,4.117731795599427,0.0,"measurements saved = E_random - E_model, seed-macro over tasks",5,2.1905733005544725,2.4434473462141275,2.552920291678757,1.9320122439515015,1.9137695860553676
B,G14,dZ=1,60,17.609568191311613,13.96434523626958,3.6452229550420343,0.20700240434291575,0.2023558758408151,-0.09920054111965274,0.23593683958767842,1.013461783099941,6.276984126984127,15.441358604845448,19.77777777777778,14.427896821745506,13.50079365079365,0.9057801992526245,-1.568838747951001,5.389517216296648,0.0,"measurements saved = E_random - E_model, seed-macro over tasks",5,3.091493557611978,4.309848813467235,4.847721935715357,2.653189798749009,3.3238606696665904
B,G14,dZ 2-4,150,7.693637481061925,5.460733897608696,2.232903583453228,0.2902272935200773,0.33943762181026366,0.012102459653530335,0.40217555197173693,0.928550679385262,3.5372564875211934,5.9225381956223755,9.464736766501472,4.993987516237113,5.927480278980278,0.3975011840179481,0.09728421479106605,4.469203085611148,0.0,"measurements saved = E_random - E_model, seed-macro over tasks",5,2.323125748515031,2.5441295021862205,2.6275629486795617,1.999740131349391,1.6699595865359351
B,G14,dZ 5-8,150,4.045799916325326,2.157843713638519,1.8879562026868069,0.4666459641438666,0.4685620253874287,0.24726633146771473,0.6489693927845094,0.5323402830514914,3.243572122322122,2.1170513718521913,5.97454846079846,1.5847110888007,2.7309763384763386,0.13541324604179203,1.0016130106257344,4.156261930074672,0.0,"measurements saved = E_random - E_model, seed-macro over tasks",5,1.9431276526886245,1.9955713764145935,2.014570736272417,1.7230774271357625,1.763433820922637
B,G14,dZ 9-13,90,3.390923272934729,1.6599605963801032,1.7309626765546249,0.5104694318419465,0.5085430715325683,0.2724667323508383,0.7124384556089574,0.44727245879949284,3.014652894309757,1.7540072555301667,5.027839290339291,1.3067347967306737,2.0131863960295333,0.0824906310324982,0.8887454047768967,4.156469215214483,0.0,"measurements saved = E_random - E_model, seed-macro over tasks",5,1.7753570180421105,1.7857931715338193,1.8057330873689326,1.6714767661038046,1.6164533397244576
B,HEAVIER_ALWAYS,all,455,6.905645338426908,6.905645338426908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.049243086614564,8.762047590239252,5.049243086614564,8.762047590239252,0.0,0.0,0.0,,"measurements saved = E_random - E_model, seed-macro over tasks",5,0.0,0.0,0.0,0.0,0.0
B,HEAVIER_ALWAYS,dZ=1,60,17.609568191311613,17.609568191311613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.441358604845448,19.77777777777778,15.441358604845448,19.77777777777778,0.0,0.0,0.0,,"measurements saved = E_random - E_model, seed-macro over tasks",5,0.0,0.0,0.0,0.0,0.0
B,HEAVIER_ALWAYS,dZ 2-4,150,7.693637481061925,7.693637481061925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9225381956223755,9.464736766501472,5.9225381956223755,9.464736766501472,0.0,0.0,0.0,,"measurements saved = E_random - E_model, seed-macro over tasks",5,0.0,0.0,0.0,0.0,0.0
B,HEAVIER_ALWAYS,dZ 5-8,150,4.045799916325326,4.045799916325326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1170513718521913,5.97454846079846,2.1170513718521913,5.97454846079846,0.0,0.0,0.0,,"measurements saved = E_random - E_model, seed-macro over tasks",5,0.0,0.0,0.0,0.0,0.0
B,HEAVIER_ALWAYS,dZ 9-13,90,3.390923272934729,3.390923272934729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7540072555301667,5.027839290339291,1.7540072555301667,5.027839290339291,0.0,0.0,0.0,,"measurements saved = E_random - E_model, seed-macro over tasks",5,0.0,0.0,0.0,0.0,0.0
BR,G14,all,455,6.905645338426908,4.756361605467484,2.1492837329594243,0.3112357538837966,0.3939781735260867,0.06166841918316035,0.382438993252277,0.683890460815211,3.614677005103637,5.049243086614564,8.762047590239252,4.365352625799354,5.147370585135614,0.30134933961647736,0.45498735518339195,3.984879465635062,0.0,"measurements saved = E_random - E_model, seed-macro over tasks",5,2.2864454705953636,2.590910545185261,2.094371465768919,1.9550197282652944,1.8196714549822819
BR,G14,dZ=1,60,17.609568191311613,14.073487415362417,3.536080775949197,0.20080451363332488,0.20674756816603237,-0.10034105497941968,0.23297654409376525,0.7708718693587114,6.301289682539682,15.441358604845448,19.77777777777778,14.670486735486737,13.476488095238096,1.0496352605084043,-1.5846891121031745,5.355241724452812,0.0,"measurements saved = E_random - E_model, seed-macro over tasks",5,3.9891183286742495,5.097080678824099,2.4516316833751044,2.7912188323372527,3.351354356535277
BR,G14,dZ 2-4,150,7.693637481061925,5.548790006896113,2.14484747416581,0.2787819778934742,0.32902057551041175,-0.010221588935674215,0.38964896137708244,0.9665513479233143,3.3231436004083066,5.9225381956223755,9.464736766501472,4.9559868476990605,6.141593166093166,0.4237712451042683,-0.10722348835759282,4.307698023172195,0.0,"measurements saved = E_random - E_model, seed-macro over tasks",5,2.3617467728237846,2.603006123874599,2.275428970718074,1.9867670352316813,1.497288468180912
BR,G14,dZ 5-8,150,4.045799916325326,2.186294968736431,1.8595049475888956,0.4596136699903405,0.46256816293743996,0.23966447263305665,0.6375724327881721,0.5243844558023516,3.1946254393754394,2.1170513718521913,5.97454846079846,1.5926669160498397,2.7799230214230213,0.15202463090098403,0.9693632436559699,4.073685348986652,0.0,"measurements saved = E_random - E_model, seed-macro over tasks",5,1.8769211877326233,2.049723758607958,1.9508798038106931,1.7481222013972688,1.6718777863959344
BR,G14,dZ 9-13,90,3.390923272934729,1.6803474783210153,1.7105757946137128,0.5044572397927681,0.5026822006903668,0.26387705433006964,0.7014673257111592,0.4438942831711006,2.9772573060563254,1.7540072555301667,5.027839290339291,1.310112972359066,2.0505819842829647,0.09607915875790257,0.8670267427199996,4.093444193850619,0.0,"measurements saved = E_random - E_model, seed-macro over tasks",5,1.7116901138465472,1.8138954332505766,1.7821522583534322,1.675653561947267,1.5694876056707419
BR,HEAVIER_ALWAYS,all,455,6.905645338426908,6.905645338426908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.049243086614564,8.762047590239252,5.049243086614564,8.762047590239252,0.0,0.0,0.0,,"measurements saved = E_random - E_model, seed-macro over tasks",5,0.0,0.0,0.0,0.0,0.0
BR,HEAVIER_ALWAYS,dZ=1,60,17.609568191311613,17.609568191311613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.441358604845448,19.77777777777778,15.441358604845448,19.77777777777778,0.0,0.0,0.0,,"measurements saved = E_random - E_model, seed-macro over tasks",5,0.0,0.0,0.0,0.0,0.0
BR,HEAVIER_ALWAYS,dZ 2-4,150,7.693637481061925,7.693637481061925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9225381956223755,9.464736766501472,5.9225381956223755,9.464736766501472,0.0,0.0,0.0,,"measurements saved = E_random - E_model, seed-macro over tasks",5,0.0,0.0,0.0,0.0,0.0
BR,HEAVIER_ALWAYS,dZ 5-8,150,4.045799916325326,4.045799916325326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1170513718521913,5.97454846079846,2.1170513718521913,5.97454846079846,0.0,0.0,0.0,,"measurements saved = E_random - E_model, seed-macro over tasks",5,0.0,0.0,0.0,0.0,0.0
BR,HEAVIER_ALWAYS,dZ 9-13,90,3.390923272934729,3.390923272934729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7540072555301667,5.027839290339291,1.7540072555301667,5.027839290339291,0.0,0.0,0.0,,"measurements saved = E_random - E_model, seed-macro over tasks",5,0.0,0.0,0.0,0.0,0.0
BQ,G14,all,455,6.905645338426908,4.726647275843226,2.1789980625836822,0.31553865798153685,0.39737479185168184,0.06773157713177799,0.38515801594689264,0.6678174960682433,3.69017862909912,5.049243086614564,8.762047590239252,4.381425590546321,5.071868961140131,0.254230115234628,0.4682765413067176,4.069607086751335,0.0,"measurements saved = E_random - E_model, seed-macro over tasks",5,2.2454903246959796,2.445842387070707,2.3797007232741105,1.9085017518675773,1.9154551260100354
BQ,G14,dZ=1,60,17.609568191311613,14.163797510360013,3.4457706809516018,0.19567604631280572,0.1959363561333271,-0.10048364006038783,0.22502414027240888,0.6666405682524104,6.224900793650794,15.441358604845448,19.77777777777778,14.774718036593038,13.552876984126986,0.5817955304144147,-1.6102083454739704,5.1260857793055905,0.0,"measurements saved = E_random - E_model, seed-macro over tasks",5,3.091493557611978,4.309848813467235,3.669481194974616,2.79376512863355,3.3642647100706307
