design,arm,n_pair_tasks,n_distinct_pairs,median_n_units,spearman,spearman_sd,top1,top1_sd,regret,regret_sd,top1_up,top1_up_sd,top1_down,top1_down_sd
B,G14,455,91,57.0,0.34890027258628664,0.07966036403189937,0.008012099012099013,0.0036436446060056573,1.528811476820764,0.1144924750287905,0.009038897610326183,0.005719330958950777,0.006985300413871842,0.002998640450706006
B,G14@k1,455,91,57.0,0.776196928379423,0.0038889589886703826,0.34285714285714286,0.03838296526719338,0.3362818301326337,0.030468438507825487,0.5076923076923077,0.06880209161537812,0.17802197802197803,0.016299337334276177
B,NAIVE_LINE@k1,455,91,57.0,0.7991249794306369,0.0,0.32967032967032966,0.0,0.33946417715941857,0.0,0.4725274725274725,0.0,0.18681318681318682,0.0
B,_RANDOM,455,91,57.0,0.0,0.0,0.017090442903996236,0.0,1.7620114361199328,2.482534153247273e-16,0.016980552794106128,0.0,0.017200333013886345,0.0
BR,G14,455,91,57.0,0.4013894727857183,0.08935897298534647,0.018578344427245527,0.01994695246445585,1.4429076950758952,0.13703408744746728,0.02213849642421071,0.016791117561233367,0.015018192430280342,0.024546859353568345
BR,G14@k1,455,91,57.0,0.7774586487806348,0.006341694464821163,0.34065934065934067,0.036652923253094334,0.33765388514123423,0.019879072194091317,0.4989010989010989,0.06711398454770318,0.1824175824175824,0.01666566031659681
BR,NAIVE_LINE@k1,455,91,57.0,0.7991249794306369,0.0,0.32967032967032966,0.0,0.33946417715941857,0.0,0.4725274725274725,0.0,0.18681318681318682,0.0
BR,_RANDOM,455,91,57.0,0.0,0.0,0.017090442903996236,0.0,1.7620114361199328,2.482534153247273e-16,0.016980552794106128,0.0,0.017200333013886345,0.0
BQ,G14,455,91,57.0,0.36143676867830216,0.07159745606300014,0.0062017751055018135,0.0040043278343694245,1.5329791281931346,0.129277228008831,0.007735042735042735,0.004859051362270136,0.004668507475960893,0.00344479076635192
BQ,G14@k1,455,91,57.0,0.7761171468113104,0.0025128418360027636,0.3351648351648352,0.031081616755452648,0.34237301607255227,0.024258675674815586,0.49230769230769234,0.052356612086029014,0.17802197802197803,0.016299337334276177
BQ,NAIVE_LINE@k1,455,91,57.0,0.7991249794306369,0.0,0.32967032967032966,0.0,0.33946417715941857,0.0,0.4725274725274725,0.0,0.18681318681318682,0.0
BQ,_RANDOM,455,91,57.0,0.0,0.0,0.017090442903996236,0.0,1.7620114361199328,2.482534153247273e-16,0.016980552794106128,0.0,0.017200333013886345,0.0
A,G14,455,91,57.0,0.38159844636348517,0.02279122867965685,0.018276479320435364,0.008422200432698763,1.4680931451813986,0.09737100964329631,0.007545787545787545,0.007100938328742186,0.029007171095083183,0.015267579500931983
A,G14@k1,455,91,57.0,0.7774422192110333,0.0041354362988272695,0.310989010989011,0.020777659781526406,0.3562594544194809,0.03549882529789755,0.44835164835164837,0.018056787610060424,0.17362637362637362,0.0250588005516294
A,NAIVE_LINE@k1,455,91,57.0,0.7991249794306369,0.0,0.32967032967032966,0.0,0.33946417715941857,0.0,0.4725274725274725,0.0,0.18681318681318682,0.0
A,_RANDOM,455,91,57.0,0.0,0.0,0.017090442903996236,0.0,1.7620114361199328,2.482534153247273e-16,0.016980552794106128,0.0,0.017200333013886345,0.0
BP,G14,455,91,57.0,0.3523074904978052,0.03187079917147663,0.02226194440480155,0.02010514457776176,1.454076821672505,0.05701431260007969,0.029005835434406862,0.020485024685559305,0.015518053375196234,0.0247777905322879
BP,G14@k1,455,91,57.0,0.7722953398977976,0.008007794403701194,0.3065934065934066,0.012529400275814687,0.36050239774284537,0.025187614113547453,0.45054945054945056,0.02055855707018649,0.16263736263736264,0.032412925722533244
BP,NAIVE_LINE@k1,455,91,57.0,0.7991249794306369,0.0,0.32967032967032966,0.0,0.33946417715941857,0.0,0.4725274725274725,0.0,0.18681318681318682,0.0
BP,_RANDOM,455,91,57.0,0.0,0.0,0.017090442903996236,0.0,1.7620114361199328,2.482534153247273e-16,0.016980552794106128,0.0,0.017200333013886345,0.0
