design,split_seed,A,B,n_units,obs_spread,arm,spearman,top1_up,regret_up,top1_down,regret_down,top1,regret
B,104729,La,Ce,67,1.3521825174393247,G14@k1,0.7648930969841233,0.0,0.3720621014173957,1.0,0.0,0.5,0.18603105070869785
B,104729,La,Ce,67,1.3521825174393247,NAIVE_LINE@k1,0.7374963833911563,0.0,0.3315871425000001,1.0,0.0,0.5,0.16579357125000005
B,104729,La,Ce,67,1.3521825174393247,G14,0.3268115750853741,0.0,0.47197869974999995,0.0,0.9960182347134867,0.0,0.7339984672317433
B,104729,La,Ce,67,1.3521825174393247,_RANDOM,0.0,0.014925373134328358,0.6004806149965243,0.014925373134328358,0.7517019024428006,0.014925373134328358,0.6760912587196624
B,104729,La,Pr,72,1.786120179999984,G14@k1,0.817412975425217,0.0,0.6294115842142909,0.0,0.22020680239113843,0.0,0.42480919330271466
B,104729,La,Pr,72,1.786120179999984,NAIVE_LINE@k1,0.7960607766926556,0.0,0.006016428000000129,0.0,0.22020680239113843,0.0,0.11311161519556928
B,104729,La,Pr,72,1.786120179999984,G14,0.41464942562311347,0.0,0.9706443717500001,0.0,0.6932731702309785,0.0,0.8319587709904892
B,104729,La,Pr,72,1.786120179999984,_RANDOM,0.0,0.013888888888888888,1.0251040838071641,0.013888888888888888,0.7610160961928198,0.013888888888888888,0.893060089999992
B,104729,La,Nd,77,3.1050820354999966,G14@k1,0.8497555076502443,1.0,0.0,0.0,0.4436974988966904,0.5,0.2218487494483452
B,104729,La,Nd,77,3.1050820354999966,NAIVE_LINE@k1,0.8408170776591829,1.0,0.0,0.0,0.4436974988966904,0.5,0.2218487494483452
B,104729,La,Nd,77,3.1050820354999966,G14,0.3477879166313569,0.0,1.8167037727500002,0.0,1.4714768297228076,0.0,1.6440903012364039
B,104729,La,Nd,77,3.1050820354999966,_RANDOM,0.0,0.012987012987012988,1.7842924773823787,0.012987012987012988,1.320789558117618,0.012987012987012988,1.5525410177499983
B,104729,La,Sm,74,5.144646650550284,G14@k1,0.8988293138292602,1.0,0.0,0.0,0.8817082552045163,0.5,0.4408541276022582
B,104729,La,Sm,74,5.144646650550284,NAIVE_LINE@k1,0.8919281150049406,1.0,0.0,0.0,0.8817082552045163,0.5,0.4408541276022582
B,104729,La,Sm,74,5.144646650550284,G14,0.3192532197798264,0.0,2.8027026528333336,0.0,2.81396204353646,0.0,2.808332348184897
B,104729,La,Sm,74,5.144646650550284,_RANDOM,0.0,0.013513513513513514,2.7683577424956836,0.013513513513513514,2.3762889080545997,0.013513513513513514,2.572323325275142
B,104729,La,Eu,83,6.4099353945,G14@k1,0.9254649259057134,1.0,0.0,0.0,1.4726923956049767,0.5,0.7363461978024883
B,104729,La,Eu,83,6.4099353945,NAIVE_LINE@k1,0.9138995004407875,1.0,0.0,0.0,1.4726923956049767,0.5,0.7363461978024883
B,104729,La,Eu,83,6.4099353945,G14,0.4766711176242431,0.0,2.6038053892999997,0.0,3.77093377357779,0.0,3.1873695814388947
B,104729,La,Eu,83,6.4099353945,_RANDOM,0.0,0.012048192771084338,2.9848739066343737,0.012048192771084338,3.425061487865626,0.012048192771084338,3.20496769725
B,104729,La,Gd,68,5.755176342,G14@k1,0.9199790046704188,1.0,0.0,0.0,0.6080729754465044,0.5,0.3040364877232522
B,104729,La,Gd,68,5.755176342,NAIVE_LINE@k1,0.9217158944925143,1.0,0.0,0.0,0.6080729754465044,0.5,0.3040364877232522
