# regime: cohort=database systems with medium.anion == nitrate; holdout=none; averaging_unit=candidate; status_of_parameters=see systems_summary.csv
family,front,regime_status,n_ext,n_scr,n_str,oa_ext,s_over_a,w_over_a,scrub_acid_M,strip_acid_M,ligand_total_M,saponification_degree,purity_mol,recovery_from_feed,consumption_index,n_stages_total,flags
diglycolamide,1,IN_DOMAIN_WITH_CAVEATS,9.0,6.0,6.0,3.812390554628906,1.3331611121851015,0.781937002373889,1.5754123465138439,3.6784773344651573,0.20675698470177362,0.0,0.9856951290105618,0.9840029700497862,263.0709799609268,21,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|PHASE_BEHAVIOUR_UNKNOWN
other,1,OUT_OF_DOMAIN,11.0,12.0,4.0,4.688704491512402,4.1122659625406355,4.140037269051637,2.701396581790283,5.99608230491171,0.7357031641432842,0.10055390748202203,0.980661205938416,0.8229710708556898,980.1686004816366,27,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_ACID|OOD_HULL|OOD_LIGAND|OOD_LOADING|OOD_METAL|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN
diglycolamide,1,OUT_OF_DOMAIN,7.0,12.0,7.0,2.7834634044220055,4.242851721023509,3.654048949079424,1.4279443032190189,0.6059382341970436,0.29230936034447874,0.0,0.9713861445204065,0.9683916424026037,309.30187052082,26,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_LIGAND|OOD_METAL|PHASE_BEHAVIOUR_UNKNOWN
