# regime: cohort=sys_07ee9637c98c1e20 (TODGA in other, nitrate medium, no additive), feed todga_prnd_feed.json (feed_status assumed); holdout=none (computed regimes); averaging_unit=candidate; status_of_parameters=nearest (origin corpus, ASSUMED_PLACEHOLDER values)
front,front_in_domain,status,regime_status,in_domain,on_spec,n_ext,n_scr,n_str,feed_stage_offset,scrub_return_offset,oa_ext,s_over_a,w_over_a,scrub_acid_M,scrub_target_mM,scrub_complexant_M,strip_acid_M,strip_anion_M,ligand_total_M,saponification_degree,feed_dilution,f_bleed,purity_mol,purity_mass,purity_oxide,recovery_from_feed,recovery_total,scrub_target_return,net_product_mol_h,n_stages_total,throughput_mol_T_per_h_per_L_org,throughput_kg_oxide_per_h,cost_proxy_per_kg_oxide,enrichment_factor_Pr,sf_tracer_extraction_Pr,sf_tracer_scrub_Pr,max_loading_TODGA,acid_mol_h,acid_mol_per_kg_oxide,base_mol_h,base_mol_per_kg_oxide,salting_anion_mol_h,salting_anion_mol_per_kg_oxide,complexant_mol_h,complexant_mol_per_kg_oxide,extractant_makeup_mol_h,extractant_makeup_mol_per_kg_oxide,diluent_L_h,diluent_L_per_kg_oxide,water_L_h,water_L_per_kg_oxide,consumption_index,consumption_index_incomplete,flags,n_flags,ood_distance_max,reason,iterations,balance_rel_max,candidate
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,2.0,4.0,0.0,0.0,0.8118564692926031,1.032273483363408,4.917325489512002,4.967755625489766,33.11378416863563,0.0,1.9479725161133263,0.0,0.12811805704287987,0.0,0.0,0.0,0.965350828837702,0.9661245773743906,0.9660141250237692,0.004143227490734594,0.2905003449549689,0.6282979752636189,-0.012394955459478909,7,0.026836672115955234,0.0036655769276935407,,9.286906405504473,0.014205016102843342,1.2847965248048043,0.7820074829527267,14.706897310375375,4012.16441517414,0.0,0.0,0.10254744399330487,27.975799175992172,0.0,0.0,,,,,5.94959897287541,1623.1002895958932,4012.16441517414,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_METAL|PHASE_BEHAVIOUR_UNKNOWN,8,0.5826142561822466,,14,1.2998437342679678e-15,32
1,1,converged_newton,IN_DOMAIN_WITH_CAVEATS,True,False,1.0,3.0,4.0,0.0,0.0,0.2186487136873142,4.721362492206595,3.245084163090626,4.079278326784841,19.37607248104757,0.0,5.324534401000148,0.0,0.10737105671121902,0.0,0.0,0.0,0.9998712937972827,0.9998742683298568,0.9998738440067754,4.3966345134374686e-07,0.053648620575278375,0.043982829817691894,-0.08745781531514847,8,0.018402333474963985,0.0006769463417119487,,2589.5444370882424,0.014205016102843342,1.1966985699909947,0.7565395616162507,36.53831394787004,53975.19965240859,0.0,0.0,0.27444438557488243,405.4152724731953,0.0,0.0,,,,,7.96644665529722,11768.209922149294,53975.19965240859,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|PHASE_BEHAVIOUR_UNKNOWN,6,0.7301903016176906,,12,9.047551326236573e-16,163
1,1,converged_newton,IN_DOMAIN_WITH_CAVEATS,True,False,1.0,3.0,4.0,0.0,0.0,3.374977172074113,2.41369086460558,2.6867700565839585,2.4349557372890334,12.812933001692024,0.0,0.24513044604098885,0.0,0.09060040123096617,0.0,0.0,0.0,0.301005447574384,0.30594850882467606,0.3052334683801685,0.006316839415781686,0.13400677970890607,0.309661879436359,-0.020875950856819432,8,0.002977948580313316,0.0016909176473839328,,0.14354210464628564,0.014205016102843342,0.014205016102843342,0.43284472859205364,6.535839561193483,3865.2619016102103,0.0,0.0,0.09277937800496218,54.869246972792446,0.0,0.0,,,,,5.100460921189539,3016.3863562963033,3865.2619016102103,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|PHASE_BEHAVIOUR_UNKNOWN,5,0.7063359743149293,,3,6.254139593344391e-16,0
1,1,converged_newton,IN_DOMAIN_WITH_CAVEATS,True,False,1.0,4.0,2.0,0.0,0.0,2.4234889600094704,3.440475968147486,1.3769456660228263,3.547681022803473,11.698589526479243,0.0,5.5435792974166125,0.0,0.06191716998749487,0.0,0.0,0.0,0.9868659587547585,0.9871656418648788,0.9871228804431279,0.009894924724785892,0.08702986674320735,0.14373429038374194,-0.03372147612133316,7,0.0026933235981050413,0.001098155913045802,,25.046009331217977,1.8747683381813112,1.2532575533258732,0.7981372942543806,19.838918789439912,18065.666772594675,0.0,0.0,0.12074614838122044,109.95355663689293,0.0,0.0,,,,,4.817421634170312,4386.828479399525,18065.666772594675,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|PHASE_BEHAVIOUR_UNKNOWN,6,0.4923993624849964,,10,1.1206736201458569e-15,189
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,5.0,10.0,0.0,0.0,3.6768556688233196,1.5757909101660275,2.310616508860633,4.458890849276493,47.1692469252525,0.0,0.44132495894740587,0.0,0.09158694430555614,0.0,0.0,0.0,0.9563326403185345,0.9572988654684872,0.9571609124736443,0.22845932998703264,1.1179812205561563,0.8975535522636746,0.009519720997521977,16,0.022804428319740177,0.014106854738160661,,7.3001333054755015,0.014205016102843342,1.1966985699909947,0.8229613607467707,8.046012405628494,570.3618953318564,0.0,0.0,0.2229866116325698,15.806968723465014,0.0,0.0,,,,,3.8864074190266606,275.4977981387646,570.3618953318564,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_METAL|PHASE_BEHAVIOUR_UNKNOWN,7,0.5056021740038491,,11,1.3637324753802603e-15,153
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,8.0,2.0,0.0,0.0,2.558996845874763,2.1218873857096368,2.6736541097475377,0.4942359317647774,37.483333154808975,0.0,0.7547490154494553,0.0,0.09226097849630766,0.0,0.0,0.0,0.9999997587014137,0.9999997642787719,0.9999997634831524,1.1469338129385409e-05,0.2961062718127844,0.27921035026116675,-0.05732744140958215,11,0.00867838912023641,0.0037363133536744858,,1381414.0313790787,0.014205016102843342,2.4124707738939497,0.5646141715096666,3.066650796160474,820.7691662543693,0.0,0.0,0.23860623538662287,63.86140904160649,0.0,0.0,,,,,4.795541495457174,1283.4955319636101,820.7691662543693,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_METAL|PHASE_BEHAVIOUR_UNKNOWN,7,0.382976203517339,,7,9.025129388825973e-16,47
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,11.0,2.0,0.0,0.0,1.635164002255088,3.2224607998261408,2.226757251942991,5.138550080734295,12.092580520010845,0.0,4.4914827461485665,0.0,0.11830160018502797,0.0,0.0,0.0,0.988895490449818,0.989149374327318,0.9891131494001594,0.017785660542389694,0.14589073947041195,0.24655906865344557,-0.028026061234195265,14,0.0066915645434897225,0.0018408712342485782,,29.68450147755814,0.014205016102843342,1.2847965248048043,0.782821759297981,26.560217980072856,14428.069430350148,0.0,0.0,0.11690360008342726,63.504496082337845,0.0,0.0,,,,,5.449218051769131,2960.129937601767,14428.069430350148,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|PHASE_BEHAVIOUR_UNKNOWN,7,0.7732837548893401,,29,9.384683071815832e-16,250
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,11.0,2.0,0.0,0.0,4.741498886344053,4.490568400859755,1.82150022853626,4.39596022086606,47.86026473928828,0.0,3.139405874844667,0.0,0.027561076582046713,0.0,0.0,0.0,0.9999999999549671,0.9999999999560081,0.9999999999558596,1.555559967804453e-10,0.12998011729659723,0.04535882280736668,-0.2051712836977855,14,0.0020559972765830195,0.0016401086170660581,,7402011199.9693165,1.8747683381813112,1.2532575533258732,0.8846364940163918,25.458788577755236,15522.623509714687,0.0,0.0,0.6447593774850909,393.11992558058864,0.0,0.0,,,,,6.312068629396014,3848.5674446900275,15522.623509714687,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_METAL|PHASE_BEHAVIOUR_UNKNOWN,7,0.14015400365642208,,16,2.0141140374544657e-15,291
1,0,converged_newton,OUT_OF_DOMAIN,False,False,2.0,2.0,2.0,0.0,0.0,2.9128552094225877,1.317880870254862,3.0160799932867923,4.556876876590285,4.951900103828871,0.0,4.728996708230571,0.0,0.10162739784951627,0.0,0.0,0.0,0.7810304156999801,0.7850035134893764,0.7844342744358745,0.11645760450352378,0.1359272313793643,0.22375402843191639,0.0036685279352031887,6,0.0034998452104569853,0.0017151501946295255,,1.1889481031451625,0.014205016102843342,1.2847965248048043,0.8194300918357935,20.268453223778383,11817.305147527557,0.0,0.0,0.01957804325474773,11.414768989940622,0.0,0.0,,,,,4.333960863541654,2526.8695867639717,11817.305147527557,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_METAL|PHASE_BEHAVIOUR_UNKNOWN,7,0.7065952326940286,,8,1.3655557557779693e-15,11
1,0,converged_newton,OUT_OF_DOMAIN,False,False,2.0,2.0,5.0,1.0,0.0,0.3602183709453357,4.9864671409237165,4.295112571640072,4.403075432443734,49.26294432991227,0.0,4.193473392971118,0.0,0.11581727889900718,0.0,0.0,0.0,0.9999962147697742,0.9999963022610104,0.9999962897802396,2.215152281323049e-06,0.10516780177590289,0.032108615945078085,-0.23776046803306916,9,0.02189667648680162,0.0013270230979786088,,88061.24111245685,0.014205016102843342,1.1966985699909947,0.8196819638086799,39.96723125187756,30117.962010426,0.0,0.0,0.7369441594987864,555.3363469116238,0.0,0.0,,,,,9.281579712563788,6994.286479792234,30117.962010426,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_METAL|PHASE_BEHAVIOUR_UNKNOWN,7,0.7628988305514217,,8,1.3180733249576253e-15,104
