# regime: cohort=sys_a6ca4cd427ac7fcd (DMDO-HPyranDGA in aliphatic hydrocarbon, nitrate medium, no additive), feed todga_prnd_feed.json (feed_status assumed); holdout=none (computed regimes); averaging_unit=candidate; status_of_parameters=nearest (origin corpus)
front,front_in_domain,status,regime_status,in_domain,on_spec,n_ext,n_scr,n_str,feed_stage_offset,scrub_return_offset,oa_ext,s_over_a,w_over_a,scrub_acid_M,scrub_target_mM,scrub_complexant_M,strip_acid_M,strip_anion_M,ligand_total_M,saponification_degree,feed_dilution,f_bleed,purity_mol,purity_mass,purity_oxide,recovery_from_feed,recovery_total,scrub_target_return,net_product_mol_h,n_stages_total,throughput_mol_T_per_h_per_L_org,throughput_kg_oxide_per_h,cost_proxy_per_kg_oxide,enrichment_factor_Pr,sf_tracer_extraction_Pr,sf_tracer_scrub_Pr,max_loading_DMDO-HPyranDGA,acid_mol_h,acid_mol_per_kg_oxide,base_mol_h,base_mol_per_kg_oxide,salting_anion_mol_h,salting_anion_mol_per_kg_oxide,complexant_mol_h,complexant_mol_per_kg_oxide,extractant_makeup_mol_h,extractant_makeup_mol_per_kg_oxide,diluent_L_h,diluent_L_per_kg_oxide,water_L_h,water_L_per_kg_oxide,consumption_index,consumption_index_incomplete,flags,n_flags,ood_distance_max,reason,iterations,balance_rel_max,candidate
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,1.0,4.0,0.0,0.0,3.9268494286689215,4.980566249804161,2.0245375340430996,1.0749936844768537,41.17841730146811,0.0,4.318675681261366,0.0,0.4495910002049854,0.3513204202470279,0.0,0.0,0.9646166761912212,0.9654062315485179,0.9652935211385314,0.15640468830197599,0.9102221712456862,0.2756633929462846,-0.13682517258861732,6,0.017384588862773564,0.011485319890103754,,9.087300384820407,2.336195659634915,2.336195659634915,0.5012436310017397,14.097398277730829,1227.4275695079032,0.0,0.0,0.6152755062961317,53.570602489381216,0.0,0.0,,,,,7.005103783847261,609.9180389292561,1227.4275695079032,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_ACID|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,11,3.0,,5,3.7041100381868105e-16,247
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,2.0,4.0,0.0,0.0,0.8118564692926031,1.032273483363408,4.917325489512002,2.4658796090481117,33.11378416863563,0.0,2.265879529261646,0.0,0.6405902852143992,0.4019504608217862,0.0,0.0,0.9399204063701768,0.9412274661121378,0.9410407896216678,0.3411694559663818,0.6939239565772964,0.773980896516912,0.017861815412195656,7,0.06410529288341463,0.008756036572685814,,5.214862205190892,2.336195659634915,2.336195659634915,0.43174410373103,13.687529298988643,1563.210613085659,0.0,0.0,0.10254744399330487,11.71162810274211,0.0,0.0,,,,,5.94959897287541,679.4853954168032,1563.210613085659,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,9,3.0,,3,3.466249958047915e-16,32
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,3.0,4.0,0.0,0.0,0.2186487136873142,4.721362492206595,3.245084163090626,2.025762458099184,19.37607248104757,0.0,5.342600928678067,0.0,0.536855283556095,0.3061740185831633,0.0,0.0,0.9999738524869581,0.999974456843399,0.9999743706309069,0.00035566637930881703,0.18400827810649192,0.15056543259960978,-0.07768084100030746,8,0.06311777748540943,0.002321844054389431,,12747.851658486448,2.336195659634915,2.336195659634915,0.4372355571273229,26.90154855115619,11586.285694036595,0.0,0.0,0.27444438557488243,118.20104156265238,0.0,0.0,,,,,7.96644665529722,3431.0860112403784,11586.285694036595,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_ACID|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,10,3.0,,3,3.3398389467136155e-13,163
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,3.0,4.0,0.0,0.0,3.374977172074113,2.41369086460558,2.6867700565839585,1.2112289023350251,12.812933001692024,0.0,0.7142507377775743,0.0,0.4530020061548308,0.010154351611586114,0.0,0.0,0.8701189307042381,0.8727389474855043,0.8723642333071792,0.312330128697959,0.4992225338369313,0.45323424300220944,0.006515230702782461,8,0.011093909122579288,0.006299264815334474,,2.2331171520278175,2.336195659634915,2.336195659634915,0.4281924534613436,4.842559631666082,768.7499690245924,0.0,0.0,0.09277937800496218,14.728604166490474,0.0,0.0,,,,,5.100460921189539,809.6914593546451,768.7499690245924,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,9,3.0,,3,1.8074742926882319e-13,0
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,4.0,7.0,0.0,0.0,3.549891735866775,0.7640830796767852,4.529365153994466,1.0576126161262627,10.917337491317433,0.0,4.602597551071531,0.0,0.7165580702118574,0.11929900158498341,0.0,0.0,0.7760260123011226,0.7800643428928531,0.7794857000823306,0.7008261229480375,0.7871282272934796,0.77593497920199,0.05069286419477431,12,0.0166299767540929,0.00993210204122322,,1.1549347318916527,2.336195659634915,2.336195659634915,0.3191480595126595,21.654948870518435,2180.2986699733356,0.0,0.0,0.025025258556709888,2.5196336538672757,0.0,0.0,,,,,5.293448233671252,532.9635369935568,2180.2986699733356,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_ACID|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,10,3.0,,3,5.357070875097597e-16,229
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,5.0,10.0,0.0,0.0,3.6768556688233196,1.5757909101660275,2.310616508860633,2.213807759996142,47.1692469252525,0.0,0.8930230739249059,0.0,0.4579347215277806,0.20562021835807354,0.0,0.0,0.9008960042014389,0.9029644095787297,0.9026687675098307,0.4510945575688625,1.0599847257979451,0.6143879529292102,0.005169983890656135,16,0.021621423736843982,0.013375046267827338,,3.0301368340135735,2.336195659634915,2.336195659634915,0.4997939742794935,5.551932002461292,415.0962838772412,0.0,0.0,0.2229866116325691,16.671838524323203,0.0,0.0,,,,,3.8864074190266606,290.57151214311085,415.0962838772412,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,9,3.0,,4,6.222958851061841e-13,153
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,6.0,1.0,0.0,0.0,2.5891068204431633,0.7243481778169945,3.696380956641924,2.449087011854552,17.109127939966136,0.0,5.182495925387726,0.0,0.9635350445329078,0.32608717869100334,0.0,0.0,0.8087162375721468,0.8123077100346191,0.8117934311067911,0.5306691605159429,0.6331470323092176,0.6201776558734914,0.03509306177583902,8,0.018340698440191587,0.007989144225732554,,1.4092784236842404,2.336195659634915,2.336195659634915,0.34967248097395837,20.93047096082967,2619.8639515624063,0.0,0.0,0.037178896942056755,4.653677026170808,0.0,0.0,,,,,4.420729134458918,553.3420113032902,2619.8639515624063,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_ACID|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,10,3.0,,3,5.483919055215152e-16,26
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,6.0,8.0,0.0,0.0,0.5246496642471355,4.086666474480762,1.218284500941715,1.772318941351028,30.159023243172538,0.0,0.8765012422143623,0.0,0.9600584813433815,0.0062335817492738775,0.0,0.0,0.9999913187135663,0.9999915193705422,0.9999914907464871,0.0014400731349302205,0.4128818351043518,0.25037050627541013,-0.09228373155813291,15,0.05902250538416398,0.005209804927621976,,38396.433767710725,2.336195659634915,2.336195659634915,0.38706490394265364,8.3107042781524,1595.2045025888972,0.0,0.0,0.36974960757287795,70.97187182815514,0.0,0.0,,,,,5.304950975422477,1018.2628810718121,1595.2045025888972,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,9,3.0,,3,9.81099831308184e-13,233
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,8.0,2.0,0.0,0.0,2.558996845874763,2.1218873857096368,2.6736541097475377,0.24987167594047124,37.483333154808975,0.0,1.1786149080470516,0.0,0.4613048924815382,0.4515490703994084,0.0,0.0,0.9690583817987956,0.9697519314156557,0.9696529347130449,0.2478598990717242,0.7492871123234683,0.47283392573050753,-0.02333887837128086,11,0.02196037619774791,0.009454617176364371,,10.439643411637228,2.336195659634915,2.336195659634915,0.485554420666814,3.6814081499339277,389.37675436897564,0.0,0.0,0.23860623538662293,25.2370065266223,0.0,0.0,,,,,4.795541495457174,507.2168873685932,389.37675436897564,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,9,3.0,,4,1.3638078535048293e-12,47
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,8.0,7.0,0.0,0.0,3.4786882717988554,0.8786597158582434,4.755879873422496,1.72713740825185,29.638460680525895,0.0,5.742761398302801,0.0,0.3656072613995934,0.08964401613064094,0.0,0.0,0.8276307604221316,0.8309413396940555,0.8304674614089281,0.6618473673506686,0.9399034749225257,0.8007876054151447,0.044450639179162824,16,0.02026417865339141,0.011859843032093666,,1.6004997226670614,2.336195659634915,2.336195659634915,0.4478050908337263,28.82944941643864,2430.845782564228,0.0,0.0,0.0781263643200799,6.587470349199717,0.0,0.0,,,,,5.63453958928074,475.093942983329,2430.845782564228,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_ACID|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,10,3.0,,4,4.554982115406056e-16,208
