# regime: cohort=Pr/Nd case: literature placeholder entries PC88A and Cyanex 272 (no corpus rows), feed_status assumed (U1); holdout=none (computed regimes, consistency checks are not validation); averaging_unit=ladder rung; status_of_parameters=PLACEHOLDER_PARAMETERS (assumed with ranges, --allow-placeholders), feed_status assumed, spec_status assumed
system_id,sf_nd_pr,n_ext,n_scr,n_str,n_lhs,n_converged,n_failed,cell_reached,n_reached,best_purity_mol,best_recovery_at_purity_ge_0.99,max_purity_recovery_product
sys_29976921e156a0a0,1.4,3,3,8,8,8,0,False,0,1.0,3.6931587430349915e-07,3.693150796300043e-07
sys_29976921e156a0a0,1.4,5,5,8,8,8,0,False,0,1.0,2.649555452357515e-11,2.649555452149617e-11
sys_29976921e156a0a0,1.4,7,7,8,8,8,0,False,0,1.0,1.7013184082122385e-15,1.7013184082122342e-15
sys_29976921e156a0a0,1.4,10,10,8,8,8,0,False,0,1.0,8.372733175809355e-22,8.372733175809355e-22
sys_29976921e156a0a0,1.4,15,15,8,8,8,0,False,0,1.0,2.4971328126441297e-32,2.4971328126441297e-32
sys_29976921e156a0a0,1.4,20,20,8,8,8,0,False,0,1.0,7.305697245644095e-43,7.305697245644095e-43
sys_29976921e156a0a0,1.4,30,30,8,8,6,2,False,0,1.0,6.313212238618591e-64,6.313212238618591e-64
sys_29976921e156a0a0,1.4,40,40,8,8,6,2,False,0,1.0,5.455557141889432e-85,5.455557141889432e-85
sys_f02db527a94a5e86,1.4,3,3,8,8,8,0,False,0,1.0,9.004145630898135e-12,9.00414562029465e-12
sys_f02db527a94a5e86,1.4,5,5,8,8,8,0,False,0,1.0,1.1104191843814415e-18,1.1104191843814413e-18
sys_f02db527a94a5e86,1.4,7,7,8,8,8,0,False,0,1.0,1.2036435063554183e-25,1.2036435063554183e-25
sys_f02db527a94a5e86,1.4,10,10,8,8,8,0,False,0,1.0,4.0578554483428e-36,4.0578554483428e-36
sys_f02db527a94a5e86,1.4,15,15,8,8,8,0,False,0,1.0,1.3709272067691609e-53,1.3709272067691609e-53
sys_f02db527a94a5e86,1.4,20,20,8,8,8,0,False,0,1.0,4.5390996858197295e-71,4.5390996858197295e-71
sys_f02db527a94a5e86,1.4,30,30,8,8,8,0,False,0,1.0,4.954405767491595e-106,4.954405767491595e-106
sys_f02db527a94a5e86,1.4,40,40,8,8,6,2,False,0,1.0,1.4703920397201331e-154,1.4703920397201331e-154
