build_id,reference,Atomic Number_metal,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,mol2_path,sdf_path,energy_eV,status,note,qc_status,smiles_for_architector_original,smiles_for_architector_used,simplified_ligand,ligtype_override,xyz_exists,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
e0626e31cd7e,,59,Pr,3,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 21]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",2,9,4,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig4_nitrate_e0626e31cd7e.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Pr/Pr_Z59_ox3_CN9_nlig4_nitrate_e0626e31cd7e.mol2,,-13718.673734762877,ok,"built (large_ligand_fast attempt 1, seed 61453)",accepted,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,False,,True,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O349:2.296;O22:2.449;O240:2.483;O437:2.541;O131:2.628;O237:2.700;O19:2.767;O346:2.926;O128:3.060,3.0596,4.4681,1.4086,O349:2.296;O22:2.449;O240:2.483;O437:2.541;O131:2.628;O237:2.700;O19:2.767;O346:2.926;O128:3.060;N350:4.468;N23:4.655;N241:4.735;N132:4.897;N9:4.924;N227:4.947;N336:5.134;N118:5.297
aa83667df077,,58,Ce,3,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,"[4, 7, 10, 17, 20, 23]","[""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_aa83667df077.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_aa83667df077.mol2,,-2890.866555054607,ok,"built (large_ligand_fast attempt 1, seed 61453)",accepted,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,False,,True,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O66:2.134;O65:2.175;O24:2.445;O18:2.459;O11:2.471;N63:2.515;O21:2.566;O67:2.594;O5:2.687,2.6875,2.6999,0.0125,O66:2.134;O65:2.175;O24:2.445;O18:2.459;O11:2.471;N63:2.515;O21:2.566;O67:2.594;O5:2.687;O8:2.700;O64:3.686
9010e77066c0,,68,Er,3,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,"[3, 10, 19]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig2_nitrate_9010e77066c0.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig2_nitrate_9010e77066c0.mol2,,-4318.310604722959,ok,"built (large_ligand_fast attempt 1, seed 61453)",accepted,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,False,,True,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O93:2.051;O94:2.127;O49:2.216;O4:2.296;O56:2.326;N91:2.329;O11:2.418;N20:2.479,2.4792,2.5504,0.0712,O93:2.051;O94:2.127;O49:2.216;O4:2.296;O56:2.326;N91:2.329;O11:2.418;N20:2.479;N65:2.550;O92:3.404;N47:4.095;N12:4.148;N2:4.403;N57:4.505
7627c1e45ee0,,63,Eu,3,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,"[10, 12, 15]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_7627c1e45ee0.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_7627c1e45ee0.mol2,,-10613.018535505076,ok,"built (large_ligand_fast attempt 2, seed 69372)",accepted,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,False,,True,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O11:2.228;O207:2.314;O111:2.464;O109:2.528;O16:2.565;O114:2.579;O212:2.700;O209:2.800;O13:3.036,3.0364,4.3110,1.2746,O11:2.228;O207:2.314;O111:2.464;O109:2.528;O16:2.565;O114:2.579;O212:2.700;O209:2.800;O13:3.036;N5:4.311;N201:4.486;N17:4.592;N115:4.632;N103:4.663;N213:4.882;O28:5.802;N32:6.005;N22:6.686;N120:6.742;O227:6.928;N218:6.968;O129:7.434;O224:7.651;O31:7.752;O26:7.889;O124:7.931;N228:8.111;O126:8.163;O222:8.178;N130:8.203
126999e61eab,,63,Eu,3,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,"[9, 12]","[""O(ether)"", ""O(amide_carbonyl)""]",2,9,4,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_126999e61eab.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_126999e61eab.mol2,,-9557.375615180912,ok,"built (large_ligand_fast attempt 1, seed 61453)",accepted,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,False,,True,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O80:2.336;O153:2.393;O220:2.416;O83:2.506;O223:2.507;O10:2.645;O281:2.665;O150:2.670;O13:2.983,2.9832,3.4861,0.5029,O80:2.336;O153:2.393;O220:2.416;O83:2.506;O223:2.507;O10:2.645;O281:2.665;O150:2.670;O13:2.983;P79:3.486;P219:3.661;P149:3.799;P9:4.019;N154:4.656;N84:4.725;N224:4.754;N14:5.242
d06ba4f70613,,67,Ho,3,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,"[3, 10, 19]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_d06ba4f70613.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_d06ba4f70613.mol2,,-4317.935246219492,ok,"built (large_ligand_fast attempt 1, seed 61453)",accepted,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,False,,True,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O94:2.122;O93:2.136;O49:2.148;O56:2.254;O4:2.296;N65:2.328;O11:2.337;N91:2.433,2.4330,2.5016,0.0686,O94:2.122;O93:2.136;O49:2.148;O56:2.254;O4:2.296;N65:2.328;O11:2.337;N91:2.433;N20:2.502;O92:3.558;N47:4.138;N57:4.200;N2:4.413;N12:4.467
0316ab580175,,66,Dy,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]","[""O(ether)"", ""O(ether)"", ""O(ether)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_0316ab580175.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_0316ab580175.mol2,,-8157.42346322111,ok,"built (large_ligand_fast attempt 1, seed 61453)",accepted,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],False,,True,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O244:2.131;O165:2.212;O27:2.245;O147:2.252;O10:2.258;O243:2.302;O45:2.386;N241:2.537,2.5366,2.6039,0.0673,O244:2.131;O165:2.212;O27:2.245;O147:2.252;O10:2.258;O243:2.302;O45:2.386;N241:2.537;O130:2.604;P146:3.278;N164:3.322;N44:3.357;P9:3.454;P26:3.464;O242:3.690;P129:3.824
78d0ef42be9d,,68,Er,3,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,"[14, 16, 19]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig2_nitrate_78d0ef42be9d.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig2_nitrate_78d0ef42be9d.mol2,,-6227.54221564013,ok,"built (large_ligand_fast attempt 1, seed 61453)",accepted,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,False,,True,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O182:2.093;O181:2.094;O109:2.159;O20:2.178;O104:2.244;N179:2.341;O15:2.472;O106:2.497,2.4974,2.5329,0.0354,O182:2.093;O181:2.094;O109:2.159;O20:2.178;O104:2.244;N179:2.341;O15:2.472;O106:2.497;O17:2.533;O180:3.410;N21:4.175;N110:4.349;N96:4.441;N7:4.628
e7c451828720,,68,Er,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]","[""O(ether)"", ""O(ether)"", ""O(ether)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig2_nitrate_e7c451828720.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig2_nitrate_e7c451828720.mol2,,-8157.592161988786,ok,"built (large_ligand_fast attempt 1, seed 61453)",accepted,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],False,,True,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O243:2.137;O165:2.172;O244:2.272;O147:2.307;O27:2.309;O10:2.334;O45:2.368;N241:2.472,2.4719,2.5442,0.0723,O243:2.137;O165:2.172;O244:2.272;O147:2.307;O27:2.309;O10:2.334;O45:2.368;N241:2.472;O130:2.544;N164:3.357;P9:3.399;N44:3.519;P26:3.520;O242:3.585;P146:3.587;P129:3.690
d5f18b7632f0,,63,Eu,3,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,"[15, 19, 24, 39]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)"", ""O(ether)""]",4,9,2,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_d5f18b7632f0.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_d5f18b7632f0.mol2,,-7142.208947819885,ok,"built (large_ligand_fast attempt 1, seed 61453)",accepted,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,False,,True,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O16:2.130;O25:2.183;O131:2.262;O40:2.300;O122:2.385;O146:2.445;O126:2.476;O213:2.484;O20:3.012,3.0120,4.1586,1.1466,O16:2.130;O25:2.183;O131:2.262;O40:2.300;O122:2.385;O146:2.445;O126:2.476;O213:2.484;O20:3.012;N13:4.159;N26:4.273;N132:4.382;N119:4.403
