baseline_build_id,selected_build_id,selection_source,source_xyz_path,final_xyz_name,source_xyz_sha256,file_qc_status,qc_class,coreCN_max_dist,gap_after_coreCN,resolution_spec_json
002121ae5677,002121ae5677,family_or_adaptive_regeneration,data/processed/geometries_family_regenerated/conformer_sibling/accepted/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_002121ae5677_attempt01_standard.xyz,Pr_002121ae5677.xyz,19c31c31670133d269378b249a782904e39aeee3d3ae8bea85676f443b5195e4,accepted,OK,2.6968,0.9939,"{""Atomic Number_metal"":""59"",""COORDLIST"":""[22, 25, 29]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC"",""build_id"":""002121ae5677"",""coreCN"":""9"",""fill_ligand"":""nitrate"",""geometry_key"":"""",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""Pr"",""n_fill"":""0"",""n_ligs"":""3""}"
0052ca91f101,0052ca91f101,canonical_geometry_index,data/geometries/Pr/Pr_Z59_ox3_CN9_nlig3_water_0052ca91f101.xyz,Pr_0052ca91f101.xyz,c02ebbbdab3be5e22ef7b504193a4f11d7c68356eaaf3a12be52b05af2ef3e17,accepted,OK,2.9437,1.5076,"{""Atomic Number_metal"":""59"",""COORDLIST"":""[16, 18, 21]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC"",""build_id"":""0052ca91f101"",""coreCN"":""9"",""fill_ligand"":""water"",""geometry_key"":""59|CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC|water"",""inner_sphere_anion"":""water"",""metal_ox"":""3"",""metal_symbol"":""Pr"",""n_fill"":""0"",""n_ligs"":""3""}"
008db255a91a,008db255a91a,all_remaining_resolved_existing,data/processed/geometries_sibling_regenerated_rescue/sibling_rescue_cn_up/accepted/La/La_Z57_ox3_CN9_nlig2_nitrate_008db255a91a_attempt02_standard.xyz,La_008db255a91a.xyz,293557a1a26acfbdaf7a2773fcadb3a759478d3d964eadd1c438fa1a8154b049,accepted,OK,2.9085,1.5375,"{""Atomic Number_metal"":""57"",""COORDLIST"":""[0, 15, 21, 24]"",""DENTATE"":""4"",""SMILES_FOR_ARCHITECTOR"":""O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1"",""build_id"":""008db255a91a"",""coreCN"":""9"",""fill_ligand"":""nitrate"",""geometry_key"":""57|O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1|nitrate"",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""La"",""n_fill"":""1"",""n_ligs"":""2""}"
00afa7add2b7,00afa7add2b7,all_remaining_resolved_existing,data/processed/geometries_sibling_regenerated_rescue/sibling_rescue_ambiguous_shell/accepted/Dy/Dy_Z66_ox3_CN8_nlig2_nitrate_00afa7add2b7_attempt01_standard.xyz,Dy_00afa7add2b7.xyz,c80958534766a9201dccf600067125fe21bd4d66218705ca90b7423e816da5de,accepted,OK,2.3435,0.1557,"{""Atomic Number_metal"":""66"",""COORDLIST"":""[10, 12, 15]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C"",""build_id"":""00afa7add2b7"",""coreCN"":""8"",""fill_ligand"":""nitrate"",""geometry_key"":""66|CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C|nitrate"",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""Dy"",""n_fill"":""2"",""n_ligs"":""2""}"
00b72194210d,00b72194210d,all_remaining_resolved_existing,data/processed/geometries_sibling_regenerated_rescue/sibling_rescue_ambiguous_shell/accepted/Yb/Yb_Z70_ox3_CN8_nlig2_nitrate_00b72194210d_attempt01_standard.xyz,Yb_00b72194210d.xyz,3301fbee2062aee7e143b1c0c5c81dc31840f3e9a31db602840737d63e50baf4,accepted,OK,2.5264,0.1355,"{""Atomic Number_metal"":""70"",""COORDLIST"":""[11, 13, 16]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC"",""build_id"":""00b72194210d"",""coreCN"":""8"",""fill_ligand"":""nitrate"",""geometry_key"":""70|CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC|nitrate"",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""Yb"",""n_fill"":""2"",""n_ligs"":""2""}"
0153ed287bb6,0153ed287bb6,all_remaining_resolved_existing,data/processed/geometries_sibling_regenerated_rescue/sibling_rescue_ambiguous_shell/accepted/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_0153ed287bb6_attempt02_standard.xyz,Ho_0153ed287bb6.xyz,0dd9e1fe10cfd060fca35030a28f3821ff426c4ffcc1d7d54ce9806a681bbafe,accepted,OK,2.4925,0.1348,"{""Atomic Number_metal"":""67"",""COORDLIST"":""[6, 8, 11]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CCN(CC)C(=O)COCC(=O)N(CC)CC"",""build_id"":""0153ed287bb6"",""coreCN"":""8"",""fill_ligand"":""nitrate"",""geometry_key"":""67|CCN(CC)C(=O)COCC(=O)N(CC)CC|nitrate"",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""Ho"",""n_fill"":""2"",""n_ligs"":""2""}"
01ab21da6e59,01ab21da6e59,all_remaining_resolved_existing,data/processed/geometries_sibling_regenerated/sibling_template_amide_core/accepted/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_01ab21da6e59_attempt01_standard.xyz,Ho_01ab21da6e59.xyz,49b02619553855ea48aef755540b4c9eaac171c64b7636cc4669e33b4cfd0d0c,accepted,OK,2.4508,0.1169,"{""Atomic Number_metal"":""67"",""COORDLIST"":""[26, 28, 41]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O"",""build_id"":""01ab21da6e59"",""coreCN"":""8"",""fill_ligand"":""nitrate"",""geometry_key"":""67|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O|nitrate"",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""Ho"",""n_fill"":""2"",""n_ligs"":""2""}"
01e76e93d20f,727bfd0c6ac8,family_or_adaptive_regeneration,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Lu/Lu_Z71_ox3_CN8_nlig1_water_727bfd0c6ac8_attempt01_large_ligand_fast.xyz,Lu_01e76e93d20f.xyz,389c47bef51e4c14542468c3e6c7ca18fb07999aa3211d91043a41a825bcf336,accepted,OK,2.5900,1.8904,"{""Atomic Number_metal"":""71"",""COORDLIST"":""[51, 53, 56, 59]"",""DENTATE"":""4"",""SMILES_FOR_ARCHITECTOR"":""CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O"",""build_id"":""727bfd0c6ac8"",""coreCN"":""8"",""fill_ligand"":""water"",""geometry_key"":"""",""inner_sphere_anion"":""water"",""metal_ox"":""3"",""metal_symbol"":""Lu"",""n_fill"":""4"",""n_ligs"":""1""}"
0247bfe939b7,0247bfe939b7,canonical_geometry_index,data/geometries/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_0247bfe939b7.xyz,Ho_0247bfe939b7.xyz,2ef206a79c03b65234e585dfbac793c57c67ff8f66d22531a29d2c81834180af,accepted,OK,2.6002,0.4220,"{""Atomic Number_metal"":""67"",""COORDLIST"":""[18, 21, 25]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC"",""build_id"":""0247bfe939b7"",""coreCN"":""8"",""fill_ligand"":""nitrate"",""geometry_key"":""67|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate"",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""Ho"",""n_fill"":""2"",""n_ligs"":""2""}"
02b82eed2591,02b82eed2591,canonical_geometry_index,data/geometries/Dy/Dy_Z66_ox3_CN8_nlig2_water_02b82eed2591.xyz,Dy_02b82eed2591.xyz,23796db868534d292dffa60774e4f6804fe50dfad87fa303cf732cce2c7efab5,accepted,OK,2.6472,1.6994,"{""Atomic Number_metal"":""66"",""COORDLIST"":""[18, 20, 23]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC"",""build_id"":""02b82eed2591"",""coreCN"":""8"",""fill_ligand"":""water"",""geometry_key"":""66|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|water"",""inner_sphere_anion"":""water"",""metal_ox"":""3"",""metal_symbol"":""Dy"",""n_fill"":""2"",""n_ligs"":""2""}"
