comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_candidate_better,extractants_improved,extractants_total,bootstrap_replicates,bootstrap_seed,bootstrap_unit,positive_delta_means_improvement,multiplicity_preserved
A2_current_champion_vs_H1_CATBOOST_NONE_RMSE,A2_current_champion,H1_CATBOOST_NONE_RMSE,-9.794342429816017e-05,-0.03440362019823469,0.034117200690503904,0.4969,15,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_NONE_MAE,A2_current_champion,H1_CATBOOST_NONE_MAE,0.003372847267668357,-0.026015199170058886,0.03413179990060894,0.5792,15,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_NONE_HUBER,A2_current_champion,H1_CATBOOST_NONE_HUBER,0.0048806932563364176,-0.026832104402405393,0.03942246045776026,0.6098,19,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_RMSE,A2_current_champion,H1_CATBOOST_GROUP_SQRT_RMSE,-0.014071464110418042,-0.04688280225454795,0.017380129993545688,0.196,14,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_MAE,A2_current_champion,H1_CATBOOST_GROUP_SQRT_MAE,-0.010440482220118407,-0.05206623722182345,0.02895597395024542,0.3135,14,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_HUBER,A2_current_champion,H1_CATBOOST_GROUP_SQRT_HUBER,0.0031270826262855054,-0.026252800919805565,0.035780151646718696,0.5686,17,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_RMSE,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_RMSE,-0.002572501579743081,-0.025897730762093597,0.021308199634992184,0.4185,18,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_MAE,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_MAE,-0.0008406023196244694,-0.03792480632754042,0.03688803507007185,0.4875,15,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_HUBER,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_HUBER,-0.012180101505222874,-0.0455025642432768,0.01806822248067603,0.2352,18,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H2_E3_RAW_REAL,A2_current_champion,H2_E3_RAW_REAL,-0.0010247359010962854,-0.035612480773292335,0.03210315633655222,0.4826,15,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H2_E3_RAW_SHUFFLED,A2_current_champion,H2_E3_RAW_SHUFFLED,-0.001245386575163184,-0.03573261295038739,0.03187603411474205,0.4771,15,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H2_E3_COMPACT_REAL,A2_current_champion,H2_E3_COMPACT_REAL,-0.0010247359010962854,-0.035612480773292335,0.03210315633655222,0.4826,15,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H2_E3_COMPACT_SHUFFLED,A2_current_champion,H2_E3_COMPACT_SHUFFLED,-0.0011739986136520117,-0.03550162161316559,0.031761888527681505,0.48,15,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H2_E3_STABLE_REAL,A2_current_champion,H2_E3_STABLE_REAL,-0.0007971099226059435,-0.03552806406623455,0.03272588723606144,0.488,15,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H2_E3_STABLE_SHUFFLED,A2_current_champion,H2_E3_STABLE_SHUFFLED,-0.00032813773573967713,-0.034927163972204016,0.03281858638092165,0.4984,14,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H3_A2,A2_current_champion,H3_A2,-0.17651210620708682,-0.2924193787740129,-0.06913825573012256,0.0003,13,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H3_A2_ELEC,A2_current_champion,H3_A2_ELEC,-0.04249676431293944,-0.08743525756617544,-0.0004984562930485958,0.0238,13,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H3_A2_LABEL_SHUFFLED,A2_current_champion,H3_A2_LABEL_SHUFFLED,-0.15978720815585148,-0.23164839061030235,-0.09146775385773878,0.0,10,34,10000,8780080,extractant,True,True
A2_current_champion_vs_H3_A2_ELEC_LABEL_SHUFFLED,A2_current_champion,H3_A2_ELEC_LABEL_SHUFFLED,-0.12045038993842432,-0.1848495393379272,-0.06055481103254839,0.0,9,34,10000,8780080,extractant,True,True
H2_E3_RAW_SHUFFLED_vs_H2_E3_RAW_REAL,H2_E3_RAW_SHUFFLED,H2_E3_RAW_REAL,0.0002206506740668972,-0.0011263524800773498,0.0014705553453498363,0.6351,18,34,10000,8780080,extractant,True,True
H2_E3_COMPACT_SHUFFLED_vs_H2_E3_COMPACT_REAL,H2_E3_COMPACT_SHUFFLED,H2_E3_COMPACT_REAL,0.00014926271255572265,-0.0012218549392417424,0.0014700155680883486,0.5894,19,34,10000,8780080,extractant,True,True
H2_E3_STABLE_SHUFFLED_vs_H2_E3_STABLE_REAL,H2_E3_STABLE_SHUFFLED,H2_E3_STABLE_REAL,-0.0004689721868662652,-0.0017874163871314142,0.0008271854417245235,0.2415,11,34,10000,8780080,extractant,True,True
H3_A2_LABEL_SHUFFLED_vs_H3_A2,H3_A2_LABEL_SHUFFLED,H3_A2,-0.016724898051235358,-0.1257437719366923,0.07851122508117064,0.3895,17,34,10000,8780080,extractant,True,True
H3_A2_ELEC_LABEL_SHUFFLED_vs_H3_A2_ELEC,H3_A2_ELEC_LABEL_SHUFFLED,H3_A2_ELEC,0.07795362562548487,0.014213684376876538,0.1415130235168144,0.9914,22,34,10000,8780080,extractant,True,True
