outer_fold,inner_fold,arm,search_phase,scope,weighting_scheme,fit_rows_before_swap,fit_groups,mean_weight_before_swap,minimum_weight,maximum_weight,group_counts_sha256,counts_from_fit_subset_only
0,0.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,2822,24,1.0,1.0,1.0,b322ed0101fc4a74eee8b813188f61e9cf30306cfbbc4c82536f6ba177185b8d,True
0,1.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,4296,13,1.0,1.0,1.0,1d322d8bc4dcd1217533c252335c1875c8f37e23eb8470e857b207a2ca375cac,True
0,2.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,4368,13,1.0,1.0,1.0,604b2dc0455733267cebaff4050d23d526bbc258b03cc3d8110b8b62f8dfd4c1,True
0,0.0,H1_CATBOOST_NONE_RMSE,expanded,inner_training_only,none,2822,24,1.0,1.0,1.0,b322ed0101fc4a74eee8b813188f61e9cf30306cfbbc4c82536f6ba177185b8d,True
0,1.0,H1_CATBOOST_NONE_RMSE,expanded,inner_training_only,none,4296,13,1.0,1.0,1.0,1d322d8bc4dcd1217533c252335c1875c8f37e23eb8470e857b207a2ca375cac,True
0,2.0,H1_CATBOOST_NONE_RMSE,expanded,inner_training_only,none,4368,13,1.0,1.0,1.0,604b2dc0455733267cebaff4050d23d526bbc258b03cc3d8110b8b62f8dfd4c1,True
0,,H1_CATBOOST_NONE_RMSE,expanded,outer_training_only,none,5743,25,1.0,1.0,1.0,0e33c3eb62ec4c6a550240466d69e53fdd134b8d99d796d43c1b32d1cd5e40cf,True
0,0.0,H1_CATBOOST_NONE_MAE,screening,inner_training_only,none,2822,24,1.0,1.0,1.0,b322ed0101fc4a74eee8b813188f61e9cf30306cfbbc4c82536f6ba177185b8d,True
0,1.0,H1_CATBOOST_NONE_MAE,screening,inner_training_only,none,4296,13,1.0,1.0,1.0,1d322d8bc4dcd1217533c252335c1875c8f37e23eb8470e857b207a2ca375cac,True
0,2.0,H1_CATBOOST_NONE_MAE,screening,inner_training_only,none,4368,13,1.0,1.0,1.0,604b2dc0455733267cebaff4050d23d526bbc258b03cc3d8110b8b62f8dfd4c1,True
0,0.0,H1_CATBOOST_NONE_MAE,expanded,inner_training_only,none,2822,24,1.0,1.0,1.0,b322ed0101fc4a74eee8b813188f61e9cf30306cfbbc4c82536f6ba177185b8d,True
0,1.0,H1_CATBOOST_NONE_MAE,expanded,inner_training_only,none,4296,13,1.0,1.0,1.0,1d322d8bc4dcd1217533c252335c1875c8f37e23eb8470e857b207a2ca375cac,True
0,2.0,H1_CATBOOST_NONE_MAE,expanded,inner_training_only,none,4368,13,1.0,1.0,1.0,604b2dc0455733267cebaff4050d23d526bbc258b03cc3d8110b8b62f8dfd4c1,True
0,,H1_CATBOOST_NONE_MAE,expanded,outer_training_only,none,5743,25,1.0,1.0,1.0,0e33c3eb62ec4c6a550240466d69e53fdd134b8d99d796d43c1b32d1cd5e40cf,True
0,0.0,H1_CATBOOST_NONE_HUBER,screening,inner_training_only,none,2822,24,1.0,1.0,1.0,b322ed0101fc4a74eee8b813188f61e9cf30306cfbbc4c82536f6ba177185b8d,True
0,1.0,H1_CATBOOST_NONE_HUBER,screening,inner_training_only,none,4296,13,1.0,1.0,1.0,1d322d8bc4dcd1217533c252335c1875c8f37e23eb8470e857b207a2ca375cac,True
0,2.0,H1_CATBOOST_NONE_HUBER,screening,inner_training_only,none,4368,13,1.0,1.0,1.0,604b2dc0455733267cebaff4050d23d526bbc258b03cc3d8110b8b62f8dfd4c1,True
0,0.0,H1_CATBOOST_NONE_HUBER,expanded,inner_training_only,none,2822,24,1.0,1.0,1.0,b322ed0101fc4a74eee8b813188f61e9cf30306cfbbc4c82536f6ba177185b8d,True
0,1.0,H1_CATBOOST_NONE_HUBER,expanded,inner_training_only,none,4296,13,1.0,1.0,1.0,1d322d8bc4dcd1217533c252335c1875c8f37e23eb8470e857b207a2ca375cac,True
0,2.0,H1_CATBOOST_NONE_HUBER,expanded,inner_training_only,none,4368,13,1.0,1.0,1.0,604b2dc0455733267cebaff4050d23d526bbc258b03cc3d8110b8b62f8dfd4c1,True
0,,H1_CATBOOST_NONE_HUBER,expanded,outer_training_only,none,5743,25,1.0,1.0,1.0,0e33c3eb62ec4c6a550240466d69e53fdd134b8d99d796d43c1b32d1cd5e40cf,True
0,0.0,H1_CATBOOST_GROUP_SQRT_RMSE,screening,inner_training_only,group_sqrt,2822,24,1.0000000000000002,0.5186728504194601,2.5485188374488046,b322ed0101fc4a74eee8b813188f61e9cf30306cfbbc4c82536f6ba177185b8d,True
0,1.0,H1_CATBOOST_GROUP_SQRT_RMSE,screening,inner_training_only,group_sqrt,4296,13,1.0,0.4719327978910878,5.565911436437717,1d322d8bc4dcd1217533c252335c1875c8f37e23eb8470e857b207a2ca375cac,True
0,2.0,H1_CATBOOST_GROUP_SQRT_RMSE,screening,inner_training_only,group_sqrt,4368,13,1.0000000000000004,0.4457838271015653,5.257514020070678,604b2dc0455733267cebaff4050d23d526bbc258b03cc3d8110b8b62f8dfd4c1,True
0,,H1_CATBOOST_GROUP_SQRT_RMSE,screening,outer_training_only,group_sqrt,5743,25,1.0,0.359376339062453,4.238435820759469,0e33c3eb62ec4c6a550240466d69e53fdd134b8d99d796d43c1b32d1cd5e40cf,True
0,0.0,H1_CATBOOST_GROUP_SQRT_MAE,screening,inner_training_only,group_sqrt,2822,24,1.0000000000000002,0.5186728504194601,2.5485188374488046,b322ed0101fc4a74eee8b813188f61e9cf30306cfbbc4c82536f6ba177185b8d,True
0,1.0,H1_CATBOOST_GROUP_SQRT_MAE,screening,inner_training_only,group_sqrt,4296,13,1.0,0.4719327978910878,5.565911436437717,1d322d8bc4dcd1217533c252335c1875c8f37e23eb8470e857b207a2ca375cac,True
0,2.0,H1_CATBOOST_GROUP_SQRT_MAE,screening,inner_training_only,group_sqrt,4368,13,1.0000000000000004,0.4457838271015653,5.257514020070678,604b2dc0455733267cebaff4050d23d526bbc258b03cc3d8110b8b62f8dfd4c1,True
0,,H1_CATBOOST_GROUP_SQRT_MAE,screening,outer_training_only,group_sqrt,5743,25,1.0,0.359376339062453,4.238435820759469,0e33c3eb62ec4c6a550240466d69e53fdd134b8d99d796d43c1b32d1cd5e40cf,True
0,0.0,H1_CATBOOST_GROUP_SQRT_HUBER,screening,inner_training_only,group_sqrt,2822,24,1.0000000000000002,0.5186728504194601,2.5485188374488046,b322ed0101fc4a74eee8b813188f61e9cf30306cfbbc4c82536f6ba177185b8d,True
