outer_fold,correction_inner_fold,stage1_subfold,fit_rows,residual_rows_predicted,residual_source,in_sample_residuals,outer_test_labels_used,fit_groups,residual_groups,group_overlap
0,,,5743,5743,selected_stage1_outer_training_oof_prediction,0,0.0,,,
0,0.0,0.0,1821,1001,stage1_out_of_fold_prediction,0,,13.0,11.0,0.0
0,0.0,1.0,1914,908,stage1_out_of_fold_prediction,0,,17.0,7.0,0.0
0,0.0,2.0,1909,913,stage1_out_of_fold_prediction,0,,18.0,6.0,0.0
0,1.0,0.0,1375,2921,stage1_out_of_fold_prediction,0,,12.0,1.0,0.0
0,1.0,1.0,3698,598,stage1_out_of_fold_prediction,0,,11.0,2.0,0.0
0,1.0,2.0,3519,777,stage1_out_of_fold_prediction,0,,3.0,10.0,0.0
0,2.0,0.0,1447,2921,stage1_out_of_fold_prediction,0,,12.0,1.0,0.0
0,2.0,1.0,3592,776,stage1_out_of_fold_prediction,0,,6.0,7.0,0.0
0,2.0,2.0,3697,671,stage1_out_of_fold_prediction,0,,8.0,5.0,0.0
1,,,5783,5783,selected_stage1_outer_training_oof_prediction,0,0.0,,,
1,0.0,0.0,1718,1144,stage1_out_of_fold_prediction,0,,13.0,10.0,0.0
1,0.0,1.0,2025,837,stage1_out_of_fold_prediction,0,,16.0,7.0,0.0
1,0.0,2.0,1981,881,stage1_out_of_fold_prediction,0,,17.0,6.0,0.0
1,1.0,0.0,1435,2921,stage1_out_of_fold_prediction,0,,13.0,1.0,0.0
1,1.0,1.0,3730,626,stage1_out_of_fold_prediction,0,,11.0,3.0,0.0
1,1.0,2.0,3547,809,stage1_out_of_fold_prediction,0,,4.0,10.0,0.0
1,2.0,0.0,1427,2921,stage1_out_of_fold_prediction,0,,10.0,1.0,0.0
1,2.0,1.0,3620,728,stage1_out_of_fold_prediction,0,,5.0,6.0,0.0
1,2.0,2.0,3649,699,stage1_out_of_fold_prediction,0,,7.0,4.0,0.0
2,,,5784,5784,selected_stage1_outer_training_oof_prediction,0,0.0,,,
2,0.0,0.0,1833,1030,stage1_out_of_fold_prediction,0,,15.0,11.0,0.0
2,0.0,1.0,1911,952,stage1_out_of_fold_prediction,0,,17.0,9.0,0.0
2,0.0,2.0,1982,881,stage1_out_of_fold_prediction,0,,20.0,6.0,0.0
2,1.0,0.0,1463,2921,stage1_out_of_fold_prediction,0,,14.0,1.0,0.0
2,1.0,1.0,3670,714,stage1_out_of_fold_prediction,0,,7.0,8.0,0.0
2,1.0,2.0,3635,749,stage1_out_of_fold_prediction,0,,9.0,6.0,0.0
2,2.0,0.0,1400,2921,stage1_out_of_fold_prediction,0,,12.0,1.0,0.0
2,2.0,1.0,3613,708,stage1_out_of_fold_prediction,0,,8.0,5.0,0.0
2,2.0,2.0,3629,692,stage1_out_of_fold_prediction,0,,6.0,7.0,0.0
3,,,3778,3778,selected_stage1_outer_training_oof_prediction,0,0.0,,,
3,0.0,0.0,1607,842,stage1_out_of_fold_prediction,0,,14.0,7.0,0.0
3,0.0,1.0,1647,802,stage1_out_of_fold_prediction,0,,15.0,6.0,0.0
3,0.0,2.0,1644,805,stage1_out_of_fold_prediction,0,,13.0,8.0,0.0
3,1.0,0.0,1538,967,stage1_out_of_fold_prediction,0,,14.0,8.0,0.0
3,1.0,1.0,1767,738,stage1_out_of_fold_prediction,0,,17.0,5.0,0.0
3,1.0,2.0,1705,800,stage1_out_of_fold_prediction,0,,13.0,9.0,0.0
3,2.0,0.0,1664,938,stage1_out_of_fold_prediction,0,,13.0,10.0,0.0
3,2.0,1.0,1728,874,stage1_out_of_fold_prediction,0,,15.0,8.0,0.0
3,2.0,2.0,1812,790,stage1_out_of_fold_prediction,0,,18.0,5.0,0.0
4,,,5708,5708,selected_stage1_outer_training_oof_prediction,0,0.0,,,
4,0.0,0.0,1691,1096,stage1_out_of_fold_prediction,0,,14.0,12.0,0.0
4,0.0,1.0,1892,895,stage1_out_of_fold_prediction,0,,17.0,9.0,0.0
4,0.0,2.0,1991,796,stage1_out_of_fold_prediction,0,,21.0,5.0,0.0
4,1.0,0.0,1392,2921,stage1_out_of_fold_prediction,0,,10.0,1.0,0.0
4,1.0,1.0,3547,766,stage1_out_of_fold_prediction,0,,4.0,7.0,0.0
4,1.0,2.0,3687,626,stage1_out_of_fold_prediction,0,,8.0,3.0,0.0
4,2.0,0.0,1395,2921,stage1_out_of_fold_prediction,0,,16.0,1.0,0.0
4,2.0,1.0,3620,696,stage1_out_of_fold_prediction,0,,8.0,9.0,0.0
4,2.0,2.0,3617,699,stage1_out_of_fold_prediction,0,,10.0,7.0,0.0
