outer_fold,selected_stage1_arm,inner_macro_mae,weighting_scheme,loss_name,search_phase,selected_candidate_index
0,H1_CATBOOST_NONE_MAE,0.3158939123686182,none,mae,expanded,1
1,H1_CATBOOST_NONE_RMSE,0.34158173099276085,none,rmse,expanded,0
2,H1_CATBOOST_NONE_MAE,0.34311232679087905,none,mae,expanded,1
3,H1_CATBOOST_GROUP_SQRT_MAE,0.3339520613134469,group_sqrt,mae,expanded,1
4,H1_CATBOOST_NONE_HUBER,0.3295945932454738,none,huber,expanded,0
