arm,n_rows,n_extractants,equal_extractant_macro_mae,pooled_micro_mae,median_extractant_mae,worst_quartile_extractant_mae,fraction_extractants_improved_vs_A2,extractants_improved_vs_A2,pooled_r2,equal_extractant_macro_r2,median_extractant_r2,extractants_in_r2_metrics,pearson_squared_scale_free,prediction_dispersion_ratio,adjacent_ln_mae,nonadjacent_ln_mae,sign_accuracy,pooled_statistics_are_row_weighted
A2_current_champion,6699,34,0.3164422949099717,0.4155549170373346,0.27454923869333925,0.5794627656642567,0.0,0,0.32497446643281624,-0.535718085102144,0.557405530436859,31,0.371558519219373,0.7509346747695284,0.11638864538360731,0.4731196624374199,0.8450515002239141,True
H1_CATBOOST_NONE_RMSE,6699,34,0.31654023833426986,0.42063152506686957,0.3056594412132444,0.5577622002893365,0.4411764705882353,15,0.31929418017569877,-0.6868839200529477,0.5754549833544202,31,0.37603027365291664,0.7377504042614254,0.11584509373064371,0.4792776860270797,0.8237050306015823,True
H1_CATBOOST_NONE_MAE,6699,34,0.3130694476423033,0.40944781946048425,0.2972535001531127,0.5490817386298346,0.4411764705882353,15,0.35513858517479646,-0.5887035524377858,0.5517554627048693,31,0.3966396949894133,0.7300291444065058,0.11556997472354374,0.46599498040043313,0.8571428571428571,True
H1_CATBOOST_NONE_HUBER,6699,34,0.31156160165363533,0.415743660486154,0.28597948428947073,0.5560675883171383,0.5588235294117647,19,0.32596679808985907,-0.6104193597153573,0.5325000892634211,31,0.3833709241224787,0.7314901246157541,0.11864998597614446,0.4729096024842531,0.8231079265562025,True
H1_CATBOOST_GROUP_SQRT_RMSE,6699,34,0.33051375902038976,0.4198206832413298,0.3608214864668513,0.5549131222370072,0.4117647058823529,14,0.3214816164117299,-0.6390406605458606,0.4634097092099114,31,0.3761601976536168,0.7567312537773282,0.11681846639676172,0.47812353059073853,0.8392297357814599,True
H1_CATBOOST_GROUP_SQRT_MAE,6699,34,0.32688277713009006,0.4216548382555243,0.3090673960298193,0.5662882769119397,0.4117647058823529,14,0.32191040736540233,-0.7873957060150666,0.5171187760539598,31,0.37220223173865513,0.7451320280344871,0.1245538577750033,0.47882218604823407,0.8462457083146738,True
H1_CATBOOST_GROUP_SQRT_HUBER,6699,34,0.31331521228368625,0.41015981800534895,0.30455635596285713,0.5316034176251966,0.5,17,0.3528347518213163,-0.4970171894943865,0.3951154920346661,31,0.40436091439076877,0.7646489245439468,0.12333362685477575,0.4653501192929548,0.825944170771757,True
H1_CATBOOST_GROUP_EQUAL_RMSE,6699,34,0.31901479648971476,0.393667428715136,0.3081510202032972,0.5496305166624822,0.5294117647058824,18,0.4100442560437235,-0.3966049230666908,0.5805476169941743,31,0.4431788139563794,0.7442080803684259,0.1227339592820824,0.4457996965074342,0.8223615464994776,True
H1_CATBOOST_GROUP_EQUAL_MAE,6699,34,0.3172828972295961,0.40793158168946353,0.31386975336798245,0.5382023894607307,0.4411764705882353,15,0.37219451579011964,-0.6158870794060833,0.5253143274563286,31,0.4126375528727746,0.7439241484194061,0.12431030135863014,0.462505202913677,0.8378862516793552,True
H1_CATBOOST_GROUP_EQUAL_HUBER,6699,34,0.3286223964151946,0.40713284030785285,0.2736751205005239,0.5770712242059032,0.5294117647058824,18,0.36772724880189056,-0.5264668789379343,0.5044121472651382,31,0.4088467259100639,0.7759594626497042,0.12626992641388993,0.46117570430204546,0.8268398268398268,True
