outer_fold,arm,lambda,correction_kind,correction_parameters,inner_macro_mae,selected_feature_count
0,H2_E3_RAW_REAL,0.3,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3187953376815382,
0,H2_E3_RAW_SHUFFLED,0.1,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.31882529602969634,
0,H2_E3_COMPACT_REAL,0.3,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3187953376815382,
0,H2_E3_COMPACT_SHUFFLED,0.2,catboost,"{'depth': 5, 'learning_rate': 0.02, 'l2_leaf_reg': 30.0, 'iterations': 1000}",0.31800792077633216,
0,H2_E3_STABLE_REAL,0.2,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.3182739924564342,1.0
0,H2_E3_STABLE_SHUFFLED,0.5,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.25}",0.3181971206087235,1.0
1,H2_E3_RAW_REAL,0.1,ridge,{'alpha': 0.01},0.3453094233909319,
1,H2_E3_RAW_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.34629688030297895,
1,H2_E3_COMPACT_REAL,0.1,ridge,{'alpha': 0.01},0.3453094233909319,
1,H2_E3_COMPACT_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.34629688030297895,
1,H2_E3_STABLE_REAL,0.1,ridge,{'alpha': 0.01},0.34530942339093196,7.0
1,H2_E3_STABLE_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.34629688030297895,6.0
2,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.3419649056631094,
2,H2_E3_RAW_SHUFFLED,0.1,catboost,"{'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 30.0, 'iterations': 800}",0.3416696505289013,
2,H2_E3_COMPACT_REAL,0.0,ridge,{'alpha': 0.01},0.3419649056631094,
2,H2_E3_COMPACT_SHUFFLED,0.1,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.3417439257491066,
2,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.3419649056631094,7.0
2,H2_E3_STABLE_SHUFFLED,0.1,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3419353271409815,1.0
3,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.33714834820176637,
3,H2_E3_RAW_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.33714834820176637,
3,H2_E3_COMPACT_REAL,0.0,ridge,{'alpha': 0.01},0.33714834820176637,
3,H2_E3_COMPACT_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.33714834820176637,
3,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.33714834820176637,7.0
3,H2_E3_STABLE_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.33714834820176637,6.0
4,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.3375201694784121,
4,H2_E3_RAW_SHUFFLED,0.1,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.33747262923176147,
4,H2_E3_COMPACT_REAL,0.0,ridge,{'alpha': 0.01},0.3375201694784121,
4,H2_E3_COMPACT_SHUFFLED,0.1,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.33747262923176147,
4,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.3375201694784121,7.0
4,H2_E3_STABLE_SHUFFLED,0.1,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3374728378013972,1.0
