axis,surface,shape_mae,flat,n_ligands,mean_rows
acid,CURVE_SPLINE_SHAPEONLY,0.5808923811423922,0.6854519286237398,72,38.111111111111114
acid,MASSACTION_SHAPEONLY,0.5784116791459015,0.6854519286237398,72,38.111111111111114
acid,ZERO_SHOT,0.5796604963080588,0.6854519286237398,72,38.111111111111114
ext,CURVE_SPLINE_SHAPEONLY,0.29993887971613664,0.6263846165750634,26,41.30769230769231
ext,MASSACTION_SHAPEONLY,0.2570038794254761,0.6263846165750634,26,41.30769230769231
ext,ZERO_SHOT,0.5616055524082469,0.6263846165750634,26,41.30769230769231
metal,CURVE_SPLINE_SHAPEONLY,0.288175283396589,0.38609046127234403,86,35.86046511627907
metal,MASSACTION_SHAPEONLY,0.28770457426693846,0.38609046127234403,86,35.86046511627907
metal,ZERO_SHOT,0.2889106855931765,0.38609046127234403,86,35.86046511627907
temp,CURVE_SPLINE_SHAPEONLY,0.4044730383514498,0.376488921358644,6,24.833333333333332
temp,MASSACTION_SHAPEONLY,0.44092381230212396,0.376488921358644,6,24.833333333333332
temp,ZERO_SHOT,0.3713059434317645,0.376488921358644,6,24.833333333333332
