adapter,split_seed,fold,axis,shrink,n_curves,n_ligands,families,length_scale,amplitude,noise,nll
CURVE_SPLINE_SHAPEONLY,196613,0,ext,1.0,94.0,12,DGA,,,,
CURVE_SPLINE_SHAPEONLY,196613,0,acid,0.8,125.0,42,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,196613,1,ext,1.0,171.0,23,DGA,,,,
CURVE_SPLINE_SHAPEONLY,196613,1,acid,0.6,441.0,62,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,196613,2,ext,1.0,234.0,26,DGA,,,,
CURVE_SPLINE_SHAPEONLY,196613,2,acid,1.0,461.0,69,"DGA,NEUTRAL_P,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,196613,3,ext,1.0,241.0,27,DGA,,,,
CURVE_SPLINE_SHAPEONLY,196613,3,acid,0.6,488.0,68,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,196613,4,ext,0.8,224.0,20,DGA,,,,
CURVE_SPLINE_SHAPEONLY,196613,4,acid,0.6,469.0,55,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,196613,0,ext,1.0,94.0,12,DGA,,,,
CURVE_SPLINE_K1,196613,0,acid,0.8,125.0,42,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,196613,1,ext,1.0,171.0,23,DGA,,,,
CURVE_SPLINE_K1,196613,1,acid,0.6,441.0,62,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,196613,2,ext,1.0,234.0,26,DGA,,,,
CURVE_SPLINE_K1,196613,2,acid,1.0,461.0,69,"DGA,NEUTRAL_P,OTHER_N_O",,,,
CURVE_SPLINE_K1,196613,3,ext,1.0,241.0,27,DGA,,,,
CURVE_SPLINE_K1,196613,3,acid,0.6,488.0,68,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,196613,4,ext,0.8,224.0,20,DGA,,,,
CURVE_SPLINE_K1,196613,4,acid,0.6,469.0,55,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,196613,0,ext,1.0,94.0,12,DGA,,,,
CURVE_SPLINE_AMP,196613,0,acid,0.8,125.0,42,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,196613,1,ext,1.0,171.0,23,DGA,,,,
CURVE_SPLINE_AMP,196613,1,acid,0.6,441.0,62,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,196613,2,ext,1.0,234.0,26,DGA,,,,
CURVE_SPLINE_AMP,196613,2,acid,1.0,461.0,69,"DGA,NEUTRAL_P,OTHER_N_O",,,,
CURVE_SPLINE_AMP,196613,3,ext,1.0,241.0,27,DGA,,,,
CURVE_SPLINE_AMP,196613,3,acid,0.6,488.0,68,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,196613,4,ext,0.8,224.0,20,DGA,,,,
CURVE_SPLINE_AMP,196613,4,acid,0.6,469.0,55,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,196613,0,ext,1.0,94.0,12,DGA,,,,
CURVE_SPLINE_W1_K1,196613,0,acid,1.0,125.0,42,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,196613,1,ext,1.0,171.0,23,DGA,,,,
CURVE_SPLINE_W1_K1,196613,1,acid,1.0,441.0,62,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,196613,2,ext,1.0,234.0,26,DGA,,,,
CURVE_SPLINE_W1_K1,196613,2,acid,1.0,461.0,69,"DGA,NEUTRAL_P,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,196613,3,ext,1.0,241.0,27,DGA,,,,
CURVE_SPLINE_W1_K1,196613,3,acid,1.0,488.0,68,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,196613,4,ext,1.0,224.0,20,DGA,,,,
CURVE_SPLINE_W1_K1,196613,4,acid,1.0,469.0,55,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,196613,0,ext,1.0,94.0,12,DGA,,,,
MASSACTION_SHAPEONLY,196613,0,acid,0.6,125.0,42,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,196613,1,ext,1.0,171.0,23,DGA,,,,
MASSACTION_SHAPEONLY,196613,1,acid,0.4,441.0,62,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,196613,2,ext,1.0,234.0,26,DGA,,,,
MASSACTION_SHAPEONLY,196613,2,acid,1.0,461.0,69,"DGA,NEUTRAL_P,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,196613,3,ext,1.0,241.0,27,DGA,,,,
MASSACTION_SHAPEONLY,196613,3,acid,0.6,488.0,68,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,196613,4,ext,0.8,224.0,20,DGA,,,,
MASSACTION_SHAPEONLY,196613,4,acid,0.6,469.0,55,"DGA,OTHER_N_O",,,,
MASSACTION_K1,196613,0,ext,1.0,94.0,12,DGA,,,,
MASSACTION_K1,196613,0,acid,0.6,125.0,42,"DGA,OTHER_N_O",,,,
MASSACTION_K1,196613,1,ext,1.0,171.0,23,DGA,,,,
MASSACTION_K1,196613,1,acid,0.4,441.0,62,"DGA,OTHER_N_O",,,,
MASSACTION_K1,196613,2,ext,1.0,234.0,26,DGA,,,,
MASSACTION_K1,196613,2,acid,1.0,461.0,69,"DGA,NEUTRAL_P,OTHER_N_O",,,,
MASSACTION_K1,196613,3,ext,1.0,241.0,27,DGA,,,,
MASSACTION_K1,196613,3,acid,0.6,488.0,68,"DGA,OTHER_N_O",,,,
MASSACTION_K1,196613,4,ext,0.8,224.0,20,DGA,,,,
MASSACTION_K1,196613,4,acid,0.6,469.0,55,"DGA,OTHER_N_O",,,,
MASSACTION_POOLED_K1,196613,0,ext,1.0,94.0,12,,,,,
MASSACTION_POOLED_K1,196613,0,acid,0.2,125.0,42,,,,,
MASSACTION_POOLED_K1,196613,1,ext,1.0,171.0,23,,,,,
MASSACTION_POOLED_K1,196613,1,acid,0.2,441.0,62,,,,,
MASSACTION_POOLED_K1,196613,2,ext,1.0,234.0,26,,,,,
MASSACTION_POOLED_K1,196613,2,acid,0.4,461.0,69,,,,,
MASSACTION_POOLED_K1,196613,3,ext,1.0,241.0,27,,,,,
MASSACTION_POOLED_K1,196613,3,acid,0.4,488.0,68,,,,,
MASSACTION_POOLED_K1,196613,4,ext,1.0,224.0,20,,,,,
MASSACTION_POOLED_K1,196613,4,acid,0.6,469.0,55,,,,,
MASSACTION_WITH_METAL_K1,196613,0,ext,1.0,94.0,12,DGA,,,,
MASSACTION_WITH_METAL_K1,196613,0,acid,0.6,125.0,42,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,196613,0,metal,0.8,102.0,49,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,196613,1,ext,1.0,171.0,23,DGA,,,,
MASSACTION_WITH_METAL_K1,196613,1,acid,0.4,441.0,62,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,196613,1,metal,0.4,358.0,78,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,196613,2,ext,1.0,234.0,26,DGA,,,,
MASSACTION_WITH_METAL_K1,196613,2,acid,1.0,461.0,69,"DGA,NEUTRAL_P,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,196613,2,metal,0.4,361.0,76,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,196613,3,ext,1.0,241.0,27,DGA,,,,
MASSACTION_WITH_METAL_K1,196613,3,acid,0.6,488.0,68,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,196613,3,metal,0.8,374.0,77,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,196613,4,ext,0.8,224.0,20,DGA,,,,
MASSACTION_WITH_METAL_K1,196613,4,acid,0.6,469.0,55,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,196613,4,metal,0.8,349.0,76,"DGA,OTHER_N_O",,,,
CURVE_GP,196613,0,,,,83,,"0.6,0.6,2",1.0,0.75,428.263907025056
CURVE_GP,196613,1,,,,123,,"0.6,0.3,2",1.0,0.75,774.2473011265747
CURVE_GP,196613,2,,,,128,,"1,0.6,2",1.0,0.75,731.7810083955519
CURVE_GP,196613,3,,,,124,,"0.6,0.6,2",1.0,0.75,776.6500257561893
CURVE_GP,196613,4,,,,114,,"0.6,0.6,2",1.0,0.5,481.2854735364312
CURVE_SPLINE_GP,196613,0,,,,83,,"0.6,0.6,2",1.0,0.75,428.263907025056
CURVE_SPLINE_GP,196613,1,,,,123,,"0.6,0.3,2",1.0,0.75,774.2473011265747
CURVE_SPLINE_GP,196613,2,,,,128,,"1,0.6,2",1.0,0.75,731.7810083955519
CURVE_SPLINE_GP,196613,3,,,,124,,"0.6,0.6,2",1.0,0.75,776.6500257561893
CURVE_SPLINE_GP,196613,4,,,,114,,"0.6,0.6,2",1.0,0.5,481.2854735364312
