adapter,k,n_ligands,delta_mae,ci_lo,ci_hi,win_rate
CURVE_GP,1,143,-3.2003691066449804e-05,-3.828409556336147e-05,-2.635926652949929e-05,0.8951048951048951
CURVE_GP,2,143,-0.03597066457284183,-0.04410799078738895,-0.028313378359281483,0.8531468531468531
CURVE_GP,3,140,-0.07492934146314961,-0.09138555123690684,-0.060155405526384674,0.8571428571428571
CURVE_GP,5,99,-0.1283656324668594,-0.15970874267232607,-0.09986030945663882,0.8282828282828283
CURVE_SPLINE_AMP,1,143,-0.0023554634177904354,-0.03252759933223103,0.03017781265320991,0.2727272727272727
CURVE_SPLINE_AMP,2,143,-0.014281709314627784,-0.0398401532614154,0.01291218511011416,0.2727272727272727
CURVE_SPLINE_AMP,3,140,-0.02910567887253655,-0.05243655429597754,-0.005945185626648514,0.2857142857142857
CURVE_SPLINE_AMP,5,99,-0.03441633308980314,-0.05913051039669658,-0.011879425838154534,0.29292929292929293
CURVE_SPLINE_GP,1,143,-0.002386335003197538,-0.03255658708544973,0.030135401888924194,0.7062937062937062
CURVE_SPLINE_GP,2,143,-0.03624793900400455,-0.06320505928873874,-0.007578205351312724,0.7062937062937062
CURVE_SPLINE_GP,3,140,-0.0772597234706662,-0.10367338924796463,-0.052040106308767854,0.75
CURVE_SPLINE_GP,5,99,-0.13631252259040968,-0.17403297591734032,-0.1015506012414041,0.8080808080808081
CURVE_SPLINE_K1,1,143,-0.0023554634177904354,-0.03252759933223103,0.03017781265320991,0.2727272727272727
CURVE_SPLINE_K1,2,143,-0.00251434691435089,-0.03069269854445023,0.02813154231355161,0.2727272727272727
CURVE_SPLINE_K1,3,140,-0.002062856247295986,-0.02803705578085565,0.0251750582314549,0.2857142857142857
CURVE_SPLINE_K1,5,99,-0.014920324345449404,-0.041255867218216336,0.013514105016705342,0.32323232323232326
CURVE_SPLINE_SHAPEONLY,1,143,0.2774458142896125,0.1663428902194853,0.399971679756697,0.40559440559440557
CURVE_SPLINE_SHAPEONLY,2,143,0.33662834304596784,0.22919243406630432,0.4577944595982159,0.35664335664335667
CURVE_SPLINE_SHAPEONLY,3,140,0.3638058879748361,0.25593743301254485,0.4847406317242345,0.32857142857142857
CURVE_SPLINE_SHAPEONLY,5,99,0.4002787874638758,0.27027239613860904,0.5366731519141096,0.31313131313131315
CURVE_SPLINE_W1_K1,1,143,0.03482734504152223,-0.007370829379790573,0.08238071829545236,0.24475524475524477
CURVE_SPLINE_W1_K1,2,143,0.03241493708877289,-0.006740990159762725,0.07636477422635578,0.2517482517482518
CURVE_SPLINE_W1_K1,3,140,0.03198796308556928,-0.005758641057482751,0.07352859385226068,0.24285714285714285
CURVE_SPLINE_W1_K1,5,99,0.004334950950141297,-0.03453991058277664,0.0509831733429693,0.2727272727272727
MASSACTION_K1,1,143,-0.005279340290699983,-0.035875281668977244,0.027979891295817058,0.2517482517482518
MASSACTION_K1,2,143,-0.0028899366144517417,-0.03159403837763924,0.0285553906256199,0.2517482517482518
MASSACTION_K1,3,140,-0.004226252919941542,-0.0327398887641523,0.02492895859603363,0.2642857142857143
MASSACTION_K1,5,99,-0.017250376000643792,-0.04483431415028282,0.013299261296974046,0.2828282828282828
MASSACTION_POOLED_K1,1,143,0.009413882347791856,-0.00925328142682397,0.03087689492709464,0.2867132867132867
MASSACTION_POOLED_K1,2,143,0.010499052552652393,-0.006858125075080103,0.030449804166607267,0.2937062937062937
MASSACTION_POOLED_K1,3,140,0.009361194306498085,-0.00826128386631788,0.028943392391144115,0.29285714285714287
