adapter,k,n_ligands,delta_shape_mae,ci_lo,ci_hi,win_rate,n_tied,delta_shape_mae_untied,win_rate_untied
CURVE_GP,1,143,-5.794479390599337e-06,-7.530665793621411e-06,-4.169098917342406e-06,0.7482517482517482,1,-5.835285583490882e-06,0.7535211267605634
CURVE_GP,2,143,-0.03332023103075446,-0.042070060933635835,-0.025184279811778308,0.8251748251748252,1,-0.033554880545055545,0.8309859154929577
CURVE_GP,3,140,-0.05777905476494831,-0.07173773257133025,-0.04409488566223756,0.8,1,-0.05819473141793355,0.8057553956834532
CURVE_GP,5,99,-0.09992179422966442,-0.12721064506022278,-0.07388153348785251,0.8585858585858586,1,-0.10094140437486505,0.8571428571428571
CURVE_SPLINE_AMP,1,143,-0.004167260717680539,-0.024222540907915813,0.01711655535986261,0.2937062937062937,71,-0.008276642814282182,0.5833333333333334
CURVE_SPLINE_AMP,2,143,-0.016134315198400116,-0.03413099319823393,0.001769118974788295,0.2937062937062937,71,-0.032044542685711344,0.5833333333333334
CURVE_SPLINE_AMP,3,140,-0.025539898374283266,-0.04361278544475434,-0.008352755206920985,0.3,68,-0.0496609135055508,0.5833333333333334
CURVE_SPLINE_AMP,5,99,-0.030708776478826087,-0.05045493257142034,-0.012113257125632205,0.32323232323232326,52,-0.06468444407242091,0.6808510638297872
CURVE_SPLINE_GP,1,143,-0.004172019519183782,-0.024226801220455178,0.01711075169627793,0.6643356643356644,1,-0.004201399938332961,0.6690140845070423
CURVE_SPLINE_GP,2,143,-0.034893411580180146,-0.054797953071783166,-0.014588730088471199,0.7342657342657343,1,-0.03513913983074479,0.7394366197183099
CURVE_SPLINE_GP,3,140,-0.05873628561435465,-0.08015936808720113,-0.03763408262434849,0.75,1,-0.059158848820213314,0.7553956834532374
CURVE_SPLINE_GP,5,99,-0.10566583019679175,-0.1360206738207955,-0.07617118482045011,0.8585858585858586,1,-0.10674405295390185,0.8571428571428571
CURVE_SPLINE_K1,1,143,-0.004167260717680539,-0.024222540907915813,0.01711655535986261,0.2937062937062937,71,-0.008276642814282182,0.5833333333333334
CURVE_SPLINE_K1,2,143,-0.004167260717680537,-0.024176560691689053,0.016600021948080464,0.2937062937062937,71,-0.008276642814282179,0.5833333333333334
CURVE_SPLINE_K1,3,140,-0.0042565591616308355,-0.024584294682085166,0.016891328599236463,0.3,68,-0.008276642814282179,0.5833333333333334
CURVE_SPLINE_K1,5,99,-0.013676751657026821,-0.035906009884273074,0.01072523395996582,0.32323232323232326,52,-0.028808476894588403,0.6808510638297872
CURVE_SPLINE_SHAPEONLY,1,143,-0.004167260717680538,-0.02422254090791581,0.017116555359862607,0.5034965034965035,71,-0.008276642814282177,0.5833333333333334
CURVE_SPLINE_SHAPEONLY,2,143,-0.004167260717680539,-0.02417656069168906,0.016600021948080468,0.5104895104895105,71,-0.008276642814282179,0.5833333333333334
CURVE_SPLINE_SHAPEONLY,3,140,-0.004256559161630836,-0.024584294682085166,0.016891328599236456,0.4857142857142857,68,-0.008276642814282182,0.5833333333333334
CURVE_SPLINE_SHAPEONLY,5,99,-0.013676751657026821,-0.03590600988427307,0.01072523395996582,0.5353535353535354,52,-0.028808476894588403,0.6808510638297872
CURVE_SPLINE_W1_K1,1,143,0.01688042445403117,-0.011680382673024401,0.048347028928922585,0.25874125874125875,71,0.033526398568423016,0.5138888888888888
CURVE_SPLINE_W1_K1,2,143,0.01688042445403116,-0.01145093347303863,0.0473622006797439,0.25874125874125875,71,0.03352639856842301,0.5138888888888888
CURVE_SPLINE_W1_K1,3,140,0.017242147835188973,-0.01162954217532818,0.048186414399314675,0.2642857142857143,68,0.033526398568423016,0.5138888888888888
