adapter,policy,k,mae,n_ligands,shape_mae
CURVE_SPLINE_GP,RANDOM,5,0.481439556284207,99,0.4293415173409234
CURVE_GP,RANDOM,5,0.48747905814224896,99,0.43587489613108665
OFFSET_K3,RANDOM,5,0.512820904443857,99,0.45135614587776846
CURVE_SPLINE_GP,CENTRAL,5,0.51917180642183,99,0.46097955692332465
CURVE_GP,RANDOM,3,0.5248237656658201,140,0.4187355216541808
CURVE_GP,CENTRAL,5,0.5254066785528659,99,0.4727064490548743
CURVE_SPLINE_GP,RANDOM,3,0.52695988631349,140,0.4200446089445683
OFFSET_K3,RANDOM,3,0.5415942797237293,140,0.42697323507746504
CURVE_GP,CENTRAL,3,0.5482774705564254,140,0.4437577704674417
CURVE_SPLINE_GP,CENTRAL,3,0.5517854707452545,140,0.4409778526594852
OFFSET_K3,CENTRAL,5,0.5550031757029362,99,0.49222062172761005
OFFSET_K2,RANDOM,5,0.5598923721005217,99,0.4876431720388355
NEAREST_OBSERVED,RANDOM,5,0.5619447134754055,99,0.522854361445384
OFFSET_K3,CENTRAL,3,0.5651756453324462,140,0.4543117196117734
OFFSET_K2,CENTRAL,5,0.5723551342965469,99,0.5044097288783824
CURVE_SPLINE_AMP,CENTRAL,3,0.5783863097051232,140,0.4564559420113828
CURVE_SPLINE_AMP,RANDOM,3,0.5803527234602236,140,0.4537892558742566
CURVE_GP,RANDOM,2,0.5857963565390575,143,0.435040104126165
OFFSET_K2,RANDOM,3,0.5858690179034891,140,0.45568609408876
CURVE_SPLINE_GP,RANDOM,2,0.5861626961501538,143,0.43643170397506414
CURVE_SPLINE_AMP,RANDOM,5,0.5883845253752814,99,0.5095332612923773
NEAREST_OBSERVED,RANDOM,3,0.5889279207130579,140,0.4929326537345037
OFFSET_K2,CENTRAL,3,0.5914555166228789,140,0.46944870204274675
CURVE_SPLINE_AMP,CENTRAL,5,0.5938879104841017,99,0.5131707351885685
OFFSET_K3,RANDOM,2,0.5983462576527543,143,0.4416115594711045
OFFSET_K1,CENTRAL,3,0.6027136795350402,140,0.47825802499817394
CURVE_GP,CENTRAL,2,0.6046909562212732,143,0.4592544574697411
MASSACTION_K1,CENTRAL,5,0.6047160998389749,99,0.522674617347313
NEAREST_OBSERVED,CENTRAL,5,0.6062102267411391,99,0.552478614560202
MASSACTION_POOLED_K1,CENTRAL,3,0.606366435814404,140,0.47762216601930824
CURVE_SPLINE_K1,CENTRAL,5,0.6085223756347328,99,0.5250148924582404
CURVE_SPLINE_K1,RANDOM,5,0.6086420576189002,99,0.5250148924582404
CURVE_SPLINE_K1,CENTRAL,3,0.6088298773809872,140,0.47716459617884066
MASSACTION_POOLED_K1,CENTRAL,5,0.6090385825474594,99,0.5303581711643001
MASSACTION_K1,RANDOM,5,0.609362041366037,99,0.522674617347313
MASSACTION_K1,CENTRAL,3,0.6095685859606457,140,0.4764610152436117
OFFSET_K3,CENTRAL,2,0.6117903599343805,143,0.4643241131819154
CURVE_SPLINE_GP,CENTRAL,2,0.6144925021377636,143,0.45921094619165104
NEAREST_OBSERVED,CENTRAL,3,0.6147843772570644,140,0.5106079837341417
OFFSET_K1,CENTRAL,5,0.6155579923212406,99,0.5384360691663932
CURVE_SPLINE_AMP,RANDOM,2,0.6155742006593291,143,0.45610156216905207
OFFSET_K1,RANDOM,3,0.6157721302203459,140,0.47825802499817394
CURVE_SPLINE_K1,RANDOM,3,0.6161886782410185,140,0.47716459617884066
OFFSET_K2,CENTRAL,2,0.616550587304673,143,0.46728262713167334
MASSACTION_POOLED_K1,RANDOM,5,0.6178661754081685,99,0.5303581711643001
OFFSET_K1,CENTRAL,2,0.6191779523014478,143,0.46976050312423606
MASSACTION_K1,RANDOM,3,0.6209718621951251,140,0.4764610152436117
MASSACTION_WITH_METAL_K1,CENTRAL,5,0.6216755694182857,99,0.5381863345064306
MASSACTION_POOLED_K1,RANDOM,3,0.6217818280058687,140,0.47762216601930824
CURVE_SPLINE_AMP,CENTRAL,2,0.622109776796548,143,0.464420196596938
OFFSET_K1,RANDOM,5,0.6236537231718544,99,0.5384360691663932
MASSACTION_POOLED_K1,CENTRAL,2,0.624447619271514,143,0.4691379838442278
OFFSET_K2,RANDOM,2,0.6248864385867263,143,0.45784522998357274
MASSACTION_WITH_METAL_K1,CENTRAL,3,0.6250403150852547,140,0.48954244115028006
CURVE_SPLINE_W1_K1,RANDOM,5,0.6252541430312357,99,0.5409099790109206
CURVE_SPLINE_W1_K1,CENTRAL,5,0.6264757749357479,99,0.5409099790109206
MASSACTION_WITH_METAL_K1,RANDOM,5,0.6266639757456957,99,0.5381863345064306
CURVE_SPLINE_K1,CENTRAL,2,0.6276851822173735,143,0.4686900133710426
MASSACTION_K1,CENTRAL,2,0.6290991634650082,143,0.4680011928750143
CURVE_SPLINE_W1_K1,CENTRAL,3,0.6333757343744203,140,0.4977883654711944
CURVE_SPLINE_K1,RANDOM,2,0.635007304607859,143,0.4686900133710427
MASSACTION_WITH_METAL_K1,RANDOM,3,0.6362503758516803,140,0.48954244115028006
OFFSET_K1,RANDOM,2,0.6386495336046956,143,0.46976050312423606
CURVE_SPLINE_W1_K1,RANDOM,3,0.6401412726250472,140,0.4977883654711944
MASSACTION_K1,RANDOM,2,0.6416476085909859,143,0.4680011928750143
MASSACTION_POOLED_K1,RANDOM,2,0.6435856856202394,143,0.46913798384422767
MASSACTION_WITH_METAL_K1,CENTRAL,2,0.6436742325219518,143,0.4808039886986736
CURVE_SPLINE_W1_K1,CENTRAL,2,0.6509538977373884,143,0.4888811161747457
CURVE_GP,CENTRAL,1,0.6526952155754434,143,0.46975527215314716
OFFSET_K2,CENTRAL,1,0.6527216328851589,143,0.46976050312423606
OFFSET_K3,CENTRAL,1,0.6527216328851589,143,0.46976050312423606
OFFSET_K1,CENTRAL,1,0.6527216328851589,143,0.46976050312423606
MASSACTION_POOLED_K1,CENTRAL,1,0.6538282278093348,143,0.4691379838442278
MASSACTION_WITH_METAL_K1,RANDOM,2,0.6570447699426429,143,0.48080398869867363
MASSACTION_K1,CENTRAL,1,0.6577369394345286,143,0.4680011928750143
CURVE_SPLINE_W1_K1,RANDOM,2,0.6578023874769513,143,0.4888811161747457
CURVE_SPLINE_GP,CENTRAL,1,0.66126148108347,143,0.4686854061443074
CURVE_SPLINE_K1,CENTRAL,1,0.6612868639608471,143,0.4686900133710426
CURVE_SPLINE_AMP,CENTRAL,1,0.6612868639608471,143,0.4686900133710426
NEAREST_OBSERVED,RANDOM,2,0.6719450572324007,143,0.5172248212849272
MASSACTION_WITH_METAL_K1,CENTRAL,1,0.6729501896564667,143,0.4808039886986736
CURVE_SPLINE_W1_K1,CENTRAL,1,0.6842772274570312,143,0.4888811161747457
NEAREST_OBSERVED,CENTRAL,2,0.6934242213120548,143,0.5356514010070924
NO_MODEL,CENTRAL,3,0.7139530045534407,140,0.5767709937978235
CURVE_SPLINE_GP,RANDOM,1,0.7147627364979247,143,0.4686850389580755
CURVE_SPLINE_K1,RANDOM,1,0.7147949071608362,143,0.4686900133710426
CURVE_SPLINE_AMP,RANDOM,1,0.7147949071608362,143,0.4686900133710426
CURVE_GP,RANDOM,1,0.7206021891247895,143,0.4697548192055539
OFFSET_K2,RANDOM,1,0.720636775630545,143,0.46976050312423606
OFFSET_K1,RANDOM,1,0.720636775630545,143,0.46976050312423606
OFFSET_K3,RANDOM,1,0.720636775630545,143,0.46976050312423606
MASSACTION_K1,RANDOM,1,0.7217034569266657,143,0.4680011928750143
