adapter,policy,k,mae,n_ligands,shape_mae
CURVE_SPLINE_GP,RANDOM,5,0.5041860320998103,99,0.44843485300842295
CURVE_GP,RANDOM,5,0.507121086826687,99,0.4534084986273049
OFFSET_K3,RANDOM,5,0.5295261834412361,99,0.4659402499253219
CURVE_SPLINE_GP,RANDOM,3,0.534304323162924,140,0.4290580571539843
CURVE_GP,RANDOM,3,0.5344665408955462,140,0.4291270208892518
CURVE_SPLINE_GP,CENTRAL,5,0.5380944934227371,99,0.4799382113673829
OFFSET_K3,RANDOM,3,0.5502862019390509,140,0.43729141234668417
CURVE_GP,CENTRAL,5,0.551053218942961,99,0.49206384933822106
CURVE_SPLINE_GP,CENTRAL,3,0.5564857973376991,140,0.4499584331093007
CURVE_GP,CENTRAL,3,0.5609843436201101,140,0.4558945436236632
NEAREST_OBSERVED,RANDOM,5,0.5619447134754055,99,0.522854361445384
OFFSET_K3,CENTRAL,3,0.5807883084444717,140,0.4695331937282537
OFFSET_K3,CENTRAL,5,0.5815510431101822,99,0.5114758573945428
NEAREST_OBSERVED,RANDOM,3,0.5889279207130579,140,0.4929326537345037
OFFSET_K2,RANDOM,5,0.5894847523994561,99,0.5136330572061507
CURVE_SPLINE_AMP,CENTRAL,3,0.5932434646469513,140,0.4742085089152756
CURVE_SPLINE_AMP,RANDOM,3,0.593854745049931,140,0.46908769759697505
CURVE_SPLINE_GP,RANDOM,2,0.5945030829195547,143,0.44770247799999097
OFFSET_K2,RANDOM,3,0.5960439165466586,140,0.46734966029516106
CURVE_GP,RANDOM,2,0.5978945775369857,143,0.4481941997751934
OFFSET_K2,CENTRAL,3,0.6027686150365591,140,0.48281629925020125
OFFSET_K2,CENTRAL,5,0.6050512769308427,99,0.5310153016818421
NEAREST_OBSERVED,CENTRAL,5,0.6062102267411391,99,0.552478614560202
OFFSET_K3,RANDOM,2,0.6097146738917104,143,0.45438106559947367
MASSACTION_K1,CENTRAL,3,0.6120818625309149,140,0.4872219789932239
NEAREST_OBSERVED,CENTRAL,3,0.6147843772570644,140,0.5106079837341417
CURVE_SPLINE_K1,CENTRAL,3,0.6150291918572791,140,0.4901666377138178
CURVE_GP,CENTRAL,2,0.615813170613142,143,0.4729451216999402
OFFSET_K1,CENTRAL,3,0.6158448274122515,140,0.49348436197409334
CURVE_SPLINE_AMP,RANDOM,5,0.6179802560956352,99,0.5358596650806304
CURVE_SPLINE_GP,CENTRAL,2,0.6186501163682476,143,0.47086029779450506
MASSACTION_POOLED_K1,CENTRAL,3,0.6242980570240741,140,0.49631279298582354
OFFSET_K3,CENTRAL,2,0.6244959083447702,143,0.47928393710592254
MASSACTION_K1,RANDOM,3,0.6247751990711574,140,0.4872219789932239
MASSACTION_WITH_METAL_K1,CENTRAL,3,0.6250399349383791,140,0.49865101925604194
CURVE_SPLINE_K1,RANDOM,3,0.6261546630900844,140,0.4901666377138178
CURVE_SPLINE_AMP,RANDOM,2,0.6270551156131513,143,0.47065563277964934
CURVE_SPLINE_AMP,CENTRAL,5,0.6280926484281253,99,0.5429174688975649
OFFSET_K2,CENTRAL,2,0.6285269432688367,143,0.48272120589359463
OFFSET_K1,RANDOM,3,0.6294647400297039,140,0.49348436197409346
CURVE_SPLINE_AMP,CENTRAL,2,0.6300305430534046,143,0.47969744145350196
MASSACTION_K1,CENTRAL,2,0.6319615162564634,143,0.4799302991976331
OFFSET_K1,CENTRAL,2,0.6320110968112166,143,0.4860613035145683
CURVE_SPLINE_K1,CENTRAL,2,0.6336390872286516,143,0.48281318186115163
OFFSET_K2,RANDOM,2,0.6372935234806631,143,0.4717948908395588
MASSACTION_K1,CENTRAL,5,0.6379284013914128,99,0.5526754159471524
MASSACTION_WITH_METAL_K1,RANDOM,3,0.6383728344872209,140,0.49865101925604194
MASSACTION_POOLED_K1,RANDOM,3,0.6397338990308775,140,0.49631279298582354
CURVE_SPLINE_K1,CENTRAL,5,0.6414594494278418,99,0.5542483661109822
MASSACTION_K1,RANDOM,5,0.6424764173106663,99,0.5526754159471524
MASSACTION_POOLED_K1,CENTRAL,2,0.6431661106490876,143,0.48883039681276563
CURVE_SPLINE_K1,RANDOM,5,0.6436054725846261,99,0.5542483661109822
MASSACTION_POOLED_K1,CENTRAL,5,0.6442594136659434,99,0.5597274300108105
MASSACTION_WITH_METAL_K1,CENTRAL,2,0.6446765380047883,143,0.49096196567651984
CURVE_SPLINE_K1,RANDOM,2,0.646981296238458,143,0.48281318186115163
MASSACTION_K1,RANDOM,2,0.6479076878104446,143,0.4799302991976331
CURVE_SPLINE_W1_K1,CENTRAL,3,0.6491683488239512,140,0.5166618872524684
MASSACTION_POOLED_K1,RANDOM,5,0.6508410462514924,99,0.5597274300108105
MASSACTION_WITH_METAL_K1,CENTRAL,5,0.6535789147410788,99,0.5659625537150712
OFFSET_K1,RANDOM,2,0.6536379804845948,143,0.4860613035145683
OFFSET_K1,CENTRAL,5,0.6548683321356094,99,0.5706661718847179
MASSACTION_WITH_METAL_K1,RANDOM,5,0.6581662333737439,99,0.5659625537150712
OFFSET_K1,RANDOM,5,0.6600372385677574,99,0.5706661718847179
CURVE_SPLINE_W1_K1,RANDOM,3,0.6601171447891427,140,0.5166618872524684
CURVE_SPLINE_W1_K1,CENTRAL,5,0.6605268990284072,99,0.5727280197149768
MASSACTION_WITH_METAL_K1,RANDOM,2,0.6611651104510808,143,0.49096196567651984
CURVE_SPLINE_W1_K1,RANDOM,5,0.6630485735752422,99,0.5727280197149768
MASSACTION_POOLED_K1,RANDOM,2,0.6634810717520286,143,0.48883039681276563
MASSACTION_K1,CENTRAL,1,0.6635626017764842,143,0.4799302991976331
CURVE_GP,CENTRAL,1,0.6643588634483341,143,0.48605583221102183
OFFSET_K3,CENTRAL,1,0.6643868945976393,143,0.4860613035145683
OFFSET_K2,CENTRAL,1,0.6643868945976393,143,0.4860613035145683
OFFSET_K1,CENTRAL,1,0.6643868945976393,143,0.4860613035145683
CURVE_SPLINE_GP,CENTRAL,1,0.666273970968973,143,0.4828081319943193
