adapter,k,n_ligands,delta_mae,ci_lo,ci_hi,win_rate
CURVE_GP,1,143,-3.050190773555554e-05,-3.726512684062296e-05,-2.4597962007117977e-05,0.8881118881118881
CURVE_GP,2,143,-0.03367008657290623,-0.041409476088640415,-0.025968265901877566,0.8181818181818182
CURVE_GP,3,140,-0.07269228676657039,-0.09093827974828414,-0.05623071803789173,0.8285714285714286
CURVE_GP,5,99,-0.1131629893989901,-0.14198482093801534,-0.08547854840279974,0.8383838383838383
CURVE_SPLINE_AMP,1,143,0.001361681302989697,-0.030381888713300723,0.03439601216155966,0.2517482517482518
CURVE_SPLINE_AMP,2,143,-0.010071754225133102,-0.039424119462066955,0.019305070680246308,0.2517482517482518
CURVE_SPLINE_AMP,3,140,-0.029873388295019714,-0.05875911865019665,-0.0034202374282249082,0.2785714285714286
CURVE_SPLINE_AMP,5,99,-0.028469639816855966,-0.05222746714240106,-0.006600637497918453,0.29292929292929293
CURVE_SPLINE_GP,1,143,0.0013329045328454294,-0.030409535750501513,0.034365818435847385,0.6853146853146853
CURVE_SPLINE_GP,2,143,-0.028586143809112927,-0.05782457032988568,0.0015476731682896798,0.6713286713286714
CURVE_SPLINE_GP,3,140,-0.06987022634832081,-0.10071739190518908,-0.0412559682765441,0.7214285714285714
CURVE_SPLINE_GP,5,99,-0.119300176393529,-0.15401435956500728,-0.08669600857418126,0.8282828282828283
CURVE_SPLINE_K1,1,143,0.001361681302989697,-0.030381888713300723,0.03439601216155966,0.2517482517482518
CURVE_SPLINE_K1,2,143,0.0024325004595446426,-0.027913676417765678,0.03377557880203859,0.24475524475524477
CURVE_SPLINE_K1,3,140,0.0032663729333097975,-0.025500895543599217,0.032557118620353896,0.2357142857142857
CURVE_SPLINE_K1,5,99,-0.011023641119731085,-0.03476971374835365,0.015243024299693085,0.2727272727272727
CURVE_SPLINE_SHAPEONLY,1,143,0.3424284400288342,0.22683122975280381,0.4662565556959828,0.34965034965034963
CURVE_SPLINE_SHAPEONLY,2,143,0.40019390133361454,0.28414403030223323,0.5232600018716766,0.2937062937062937
CURVE_SPLINE_SHAPEONLY,3,140,0.4240537140841403,0.3109803988198952,0.5481692003764776,0.2785714285714286
CURVE_SPLINE_SHAPEONLY,5,99,0.4772983970817942,0.3456628126080704,0.62212482069723,0.2727272727272727
CURVE_SPLINE_W1_K1,1,143,0.02541106110441759,-0.02403489162842189,0.07369511400983284,0.23776223776223776
CURVE_SPLINE_W1_K1,2,143,0.025464399654098198,-0.0215970513924373,0.07092270069660048,0.22377622377622378
CURVE_SPLINE_W1_K1,3,140,0.02751559862204064,-0.015374806695111962,0.07096028167200737,0.22857142857142856
CURVE_SPLINE_W1_K1,5,99,0.006259101236944311,-0.03057692998803557,0.0486029895948792,0.2727272727272727
MASSACTION_K1,1,143,0.003040993922745156,-0.028167709157485624,0.03643843878609948,0.2727272727272727
MASSACTION_K1,2,143,0.00645964307492535,-0.023000841291362005,0.038407325812959074,0.26573426573426573
MASSACTION_K1,3,140,0.006027319200192362,-0.023006725139542925,0.03715792127011488,0.2785714285714286
MASSACTION_K1,5,99,-0.012566787144041578,-0.035260642933304616,0.01134174430580095,0.26262626262626265
MASSACTION_POOLED_K1,1,143,0.003352230825393176,-0.014926601527000661,0.024522315130261665,0.2727272727272727
MASSACTION_POOLED_K1,2,143,0.005102909492805113,-0.012058035301565921,0.024775089102929002,0.27972027972027974
MASSACTION_POOLED_K1,3,140,0.004831227032443213,-0.013350431879716127,0.023847186194853494,0.2714285714285714
MASSACTION_POOLED_K1,5,99,-0.0061534787687336275,-0.019283838245626506,0.0074599470380801785,0.2828282828282828
MASSACTION_SHAPEONLY,1,143,0.34728785498642123,0.2309824907219333,0.4703644812672881,0.34265734265734266
MASSACTION_SHAPEONLY,2,143,0.40505331629120156,0.2889871419698964,0.5271012427112725,0.3006993006993007
MASSACTION_SHAPEONLY,3,140,0.42901725936224694,0.3151998978522445,0.5529501634586222,0.2785714285714286
MASSACTION_SHAPEONLY,5,99,0.4786237234994457,0.3468296855932957,0.6229533088472518,0.29292929292929293
