adapter,policy,k,mae,n_ligands,shape_mae
CURVE_GP,RANDOM,5,0.48814586348277655,99,0.43731292647634246
CURVE_SPLINE_GP,RANDOM,5,0.4889036599417759,99,0.4369406629104694
OFFSET_K3,RANDOM,5,0.5066955051144078,99,0.44682138811768224
CURVE_SPLINE_GP,RANDOM,3,0.5184385904159393,140,0.41667838775313215
CURVE_GP,RANDOM,3,0.5210324153076732,140,0.41592660633429407
CURVE_SPLINE_GP,CENTRAL,5,0.5228922889051182,99,0.46668781538702625
CURVE_GP,CENTRAL,5,0.5267220621718907,99,0.47203098745902655
OFFSET_K3,RANDOM,3,0.5324435656511717,140,0.41993222757601306
CURVE_SPLINE_GP,CENTRAL,3,0.538251958582938,140,0.4333953751637355
CURVE_GP,CENTRAL,3,0.5423956013892024,140,0.4387606705878043
OFFSET_K3,CENTRAL,5,0.5492811522012985,99,0.4853543981288275
OFFSET_K2,RANDOM,5,0.5551142611086154,99,0.48454145933534265
OFFSET_K3,CENTRAL,3,0.5560042274613767,140,0.44610641492848535
NEAREST_OBSERVED,RANDOM,5,0.5619447134754055,99,0.522854361445384
CURVE_SPLINE_AMP,CENTRAL,3,0.5654550717788979,140,0.4500461145985643
CURVE_SPLINE_AMP,RANDOM,3,0.5662234783761467,140,0.4468299432264874
OFFSET_K2,CENTRAL,5,0.5668407989205143,99,0.4988871348815084
CURVE_SPLINE_GP,RANDOM,2,0.5740610640557642,143,0.4303460612846287
OFFSET_K2,RANDOM,3,0.5754783901911522,140,0.44839887810445384
OFFSET_K2,CENTRAL,3,0.5793878422343467,140,0.4608141464244608
CURVE_GP,RANDOM,2,0.5802768919120298,143,0.4314682076489311
CURVE_SPLINE_AMP,RANDOM,5,0.5855233917876624,99,0.5094076327935263
MASSACTION_K1,CENTRAL,3,0.5867271267373932,140,0.4626920500345945
CURVE_SPLINE_K1,CENTRAL,3,0.58823839938603,140,0.4654257022713269
OFFSET_K3,RANDOM,2,0.5888248184720344,143,0.4347234087640901
NEAREST_OBSERVED,RANDOM,3,0.5889279207130579,140,0.4929326537345037
OFFSET_K1,CENTRAL,3,0.5906637148497574,140,0.4699874600720243
CURVE_GP,CENTRAL,2,0.5942134442344026,143,0.452344473551018
CURVE_SPLINE_AMP,CENTRAL,5,0.5944256105579128,99,0.5166693171868902
MASSACTION_POOLED_K1,CENTRAL,3,0.5951005154193697,140,0.47037695125204565
CURVE_SPLINE_K1,RANDOM,3,0.5955769317033267,140,0.4654257022713269
MASSACTION_K1,RANDOM,3,0.5959471390945302,140,0.4626920500345945
