adapter,split_seed,fold,axis,shrink,n_curves,n_ligands,families,length_scale,amplitude,noise,nll
CURVE_SPLINE_SHAPEONLY,155921,0,ext,1.0,95.0,13,DGA,,,,
CURVE_SPLINE_SHAPEONLY,155921,0,acid,0.8,136.0,45,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,155921,1,ext,1.0,233.0,25,DGA,,,,
CURVE_SPLINE_SHAPEONLY,155921,1,acid,0.6,475.0,66,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,155921,2,ext,1.0,228.0,25,DGA,,,,
CURVE_SPLINE_SHAPEONLY,155921,2,acid,0.6,482.0,64,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,155921,3,ext,1.0,173.0,24,DGA,,,,
CURVE_SPLINE_SHAPEONLY,155921,3,acid,0.8,419.0,64,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,155921,4,ext,1.0,235.0,21,DGA,,,,
CURVE_SPLINE_SHAPEONLY,155921,4,acid,0.8,472.0,57,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,155921,0,ext,1.0,95.0,13,DGA,,,,
CURVE_SPLINE_K1,155921,0,acid,0.8,136.0,45,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,155921,1,ext,1.0,233.0,25,DGA,,,,
CURVE_SPLINE_K1,155921,1,acid,0.6,475.0,66,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,155921,2,ext,1.0,228.0,25,DGA,,,,
CURVE_SPLINE_K1,155921,2,acid,0.6,482.0,64,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,155921,3,ext,1.0,173.0,24,DGA,,,,
CURVE_SPLINE_K1,155921,3,acid,0.8,419.0,64,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,155921,4,ext,1.0,235.0,21,DGA,,,,
CURVE_SPLINE_K1,155921,4,acid,0.8,472.0,57,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,155921,0,ext,1.0,95.0,13,DGA,,,,
CURVE_SPLINE_AMP,155921,0,acid,0.8,136.0,45,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,155921,1,ext,1.0,233.0,25,DGA,,,,
CURVE_SPLINE_AMP,155921,1,acid,0.6,475.0,66,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,155921,2,ext,1.0,228.0,25,DGA,,,,
CURVE_SPLINE_AMP,155921,2,acid,0.6,482.0,64,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,155921,3,ext,1.0,173.0,24,DGA,,,,
CURVE_SPLINE_AMP,155921,3,acid,0.8,419.0,64,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,155921,4,ext,1.0,235.0,21,DGA,,,,
CURVE_SPLINE_AMP,155921,4,acid,0.8,472.0,57,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,155921,0,ext,1.0,95.0,13,DGA,,,,
CURVE_SPLINE_W1_K1,155921,0,acid,1.0,136.0,45,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,155921,1,ext,1.0,233.0,25,DGA,,,,
CURVE_SPLINE_W1_K1,155921,1,acid,1.0,475.0,66,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,155921,2,ext,1.0,228.0,25,DGA,,,,
CURVE_SPLINE_W1_K1,155921,2,acid,1.0,482.0,64,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,155921,3,ext,1.0,173.0,24,DGA,,,,
CURVE_SPLINE_W1_K1,155921,3,acid,1.0,419.0,64,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,155921,4,ext,1.0,235.0,21,DGA,,,,
CURVE_SPLINE_W1_K1,155921,4,acid,1.0,472.0,57,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,155921,0,ext,1.0,95.0,13,DGA,,,,
MASSACTION_SHAPEONLY,155921,0,acid,0.8,136.0,45,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,155921,1,ext,1.0,233.0,25,DGA,,,,
MASSACTION_SHAPEONLY,155921,1,acid,0.6,475.0,66,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,155921,2,ext,1.0,228.0,25,DGA,,,,
MASSACTION_SHAPEONLY,155921,2,acid,0.6,482.0,64,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,155921,3,ext,1.0,173.0,24,DGA,,,,
MASSACTION_SHAPEONLY,155921,3,acid,0.8,419.0,64,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,155921,4,ext,1.0,235.0,21,DGA,,,,
MASSACTION_SHAPEONLY,155921,4,acid,0.6,472.0,57,"DGA,OTHER_N_O",,,,
MASSACTION_K1,155921,0,ext,1.0,95.0,13,DGA,,,,
MASSACTION_K1,155921,0,acid,0.8,136.0,45,"DGA,OTHER_N_O",,,,
MASSACTION_K1,155921,1,ext,1.0,233.0,25,DGA,,,,
MASSACTION_K1,155921,1,acid,0.6,475.0,66,"DGA,OTHER_N_O",,,,
MASSACTION_K1,155921,2,ext,1.0,228.0,25,DGA,,,,
MASSACTION_K1,155921,2,acid,0.6,482.0,64,"DGA,OTHER_N_O",,,,
MASSACTION_K1,155921,3,ext,1.0,173.0,24,DGA,,,,
MASSACTION_K1,155921,3,acid,0.8,419.0,64,"DGA,OTHER_N_O",,,,
MASSACTION_K1,155921,4,ext,1.0,235.0,21,DGA,,,,
MASSACTION_K1,155921,4,acid,0.6,472.0,57,"DGA,OTHER_N_O",,,,
MASSACTION_POOLED_K1,155921,0,ext,1.0,95.0,13,,,,,
MASSACTION_POOLED_K1,155921,0,acid,0.2,136.0,45,,,,,
MASSACTION_POOLED_K1,155921,1,ext,1.0,233.0,25,,,,,
MASSACTION_POOLED_K1,155921,1,acid,0.4,475.0,66,,,,,
MASSACTION_POOLED_K1,155921,2,ext,1.0,228.0,25,,,,,
MASSACTION_POOLED_K1,155921,2,acid,0.4,482.0,64,,,,,
MASSACTION_POOLED_K1,155921,3,ext,1.0,173.0,24,,,,,
MASSACTION_POOLED_K1,155921,3,acid,0.6,419.0,64,,,,,
MASSACTION_POOLED_K1,155921,4,ext,1.0,235.0,21,,,,,
MASSACTION_POOLED_K1,155921,4,acid,0.6,472.0,57,,,,,
MASSACTION_WITH_METAL_K1,155921,0,ext,1.0,95.0,13,DGA,,,,
MASSACTION_WITH_METAL_K1,155921,0,acid,0.8,136.0,45,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,155921,0,metal,0.4,98.0,54,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,155921,1,ext,1.0,233.0,25,DGA,,,,
MASSACTION_WITH_METAL_K1,155921,1,acid,0.6,475.0,66,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,155921,1,metal,0.6,352.0,72,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,155921,2,ext,1.0,228.0,25,DGA,,,,
MASSACTION_WITH_METAL_K1,155921,2,acid,0.6,482.0,64,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,155921,2,metal,0.4,375.0,79,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,155921,3,ext,1.0,173.0,24,DGA,,,,
MASSACTION_WITH_METAL_K1,155921,3,acid,0.8,419.0,64,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,155921,3,metal,0.6,352.0,80,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,155921,4,ext,1.0,235.0,21,DGA,,,,
MASSACTION_WITH_METAL_K1,155921,4,acid,0.6,472.0,57,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,155921,4,metal,0.8,367.0,71,"DGA,OTHER_N_O",,,,
CURVE_GP,155921,0,,,,89,,"0.6,0.6,2",1.0,0.5,320.8886735615127
CURVE_GP,155921,1,,,,123,,"0.6,0.3,2",1.0,0.75,710.8413619155084
CURVE_GP,155921,2,,,,124,,"0.6,0.6,2",1.0,0.75,798.1736920918859
CURVE_GP,155921,3,,,,126,,"0.6,0.6,2",1.0,0.75,701.058838219714
CURVE_GP,155921,4,,,,110,,"0.6,0.6,2",1.0,0.75,719.2665231020843
CURVE_SPLINE_GP,155921,0,,,,89,,"0.6,0.6,2",1.0,0.5,320.8886735615127
CURVE_SPLINE_GP,155921,1,,,,123,,"0.6,0.3,2",1.0,0.75,710.8413619155084
CURVE_SPLINE_GP,155921,2,,,,124,,"0.6,0.6,2",1.0,0.75,798.1736920918859
CURVE_SPLINE_GP,155921,3,,,,126,,"0.6,0.6,2",1.0,0.75,701.058838219714
CURVE_SPLINE_GP,155921,4,,,,110,,"0.6,0.6,2",1.0,0.75,719.2665231020843
