adapter,k,n_ligands,delta_mae,ci_lo,ci_hi,win_rate,n_tied,delta_mae_untied,win_rate_untied
CURVE_GP,1,143,-3.694399624540612e-05,-4.397444917114848e-05,-3.0270025946226995e-05,0.916083916083916,0,-3.694399624540612e-05,0.916083916083916
CURVE_GP,2,143,-0.008360185667497026,-0.012653565795096442,-0.00420077068770766,0.6573426573426573,0,-0.008360185667497026,0.6573426573426573
CURVE_GP,3,140,-0.011193411470648578,-0.017393743769754198,-0.0048661828009461455,0.6857142857142857,0,-0.011193411470648578,0.6857142857142857
CURVE_GP,5,99,-0.016819158025006335,-0.028788549056064993,-0.004823643076571074,0.6666666666666666,0,-0.016819158025006335,0.6666666666666666
CURVE_SPLINE_AMP,1,143,-0.009494917167829861,-0.04254376903369866,0.024510787430240037,0.46853146853146854,71,-0.018857960486106533,0.5694444444444444
CURVE_SPLINE_AMP,2,143,0.014273492846339771,-0.010318570857849893,0.038714995246540526,0.3006993006993007,1,0.014374010401595687,0.3028169014084507
CURVE_SPLINE_AMP,3,140,0.037666617497234225,0.014396460018276297,0.0602904325881009,0.2714285714285714,1,0.03793760035692656,0.2733812949640288
CURVE_SPLINE_AMP,5,99,0.07757756239974795,0.04893756248591238,0.10792884996885681,0.25252525252525254,1,0.07836917017933721,0.25510204081632654
CURVE_SPLINE_GP,1,143,-0.009528806112698884,-0.04257694987557508,0.024475348564155865,0.7272727272727273,0,-0.009528806112698884,0.7272727272727273
CURVE_SPLINE_GP,2,143,-0.013397984222943478,-0.03816004732833459,0.01062173027180546,0.6573426573426573,0,-0.013397984222943478,0.6573426573426573
CURVE_SPLINE_GP,3,140,-0.01350057326941552,-0.034641281530225415,0.007040272212691734,0.6428571428571429,0,-0.01350057326941552,0.6428571428571429
CURVE_SPLINE_GP,5,99,-0.021449807801762217,-0.03921217349415457,-0.0037017500763338283,0.7070707070707071,0,-0.021449807801762217,0.7070707070707071
CURVE_SPLINE_K1,1,143,-0.009494917167829861,-0.04254376903369866,0.024510787430240037,0.46853146853146854,71,-0.018857960486106533,0.5694444444444444
CURVE_SPLINE_K1,2,143,0.03344934754257345,0.005548755936216262,0.06270855283083633,0.27972027972027974,1,0.03368490632808453,0.28169014084507044
CURVE_SPLINE_K1,3,140,0.0707840653089848,0.04199996178009252,0.10048029526759542,0.2357142857142857,1,0.07129330318890556,0.23741007194244604
CURVE_SPLINE_K1,5,99,0.10019687785642291,0.06791558051640473,0.13660892732879015,0.2222222222222222,1,0.10121929497740681,0.22448979591836735
CURVE_SPLINE_SHAPEONLY,1,143,0.2650901570221003,0.15351973436879537,0.3823778296739603,0.3986013986013986,0,0.2650901570221003,0.3986013986013986
CURVE_SPLINE_SHAPEONLY,2,143,0.38992902901480236,0.2848445886809273,0.504188244495922,0.25874125874125875,0,0.38992902901480236,0.25874125874125875
CURVE_SPLINE_SHAPEONLY,3,140,0.4513180731643797,0.34473504220168905,0.570972169226806,0.15714285714285714,0,0.4513180731643797,0.15714285714285714
CURVE_SPLINE_SHAPEONLY,5,99,0.5387138657306189,0.42184384570207345,0.6736343453775723,0.13131313131313133,0,0.5387138657306189,0.13131313131313133
CURVE_SPLINE_W1_K1,1,143,0.019365696766662027,-0.024643706867769025,0.06811181695151285,0.46153846153846156,71,0.038462425522675966,0.5555555555555556
CURVE_SPLINE_W1_K1,2,143,0.059867416511556956,0.02191431209025398,0.09966926347507905,0.26573426573426573,1,0.06028901803628623,0.2676056338028169
CURVE_SPLINE_W1_K1,3,140,0.09724463105908486,0.059495354457164445,0.13659586271161364,0.21428571428571427,1,0.09794423272138045,0.2158273381294964
