adapter,split_seed,fold,axis,shrink,n_curves,n_ligands,families,length_scale,amplitude,noise,nll
CURVE_SPLINE_SHAPEONLY,104729,0,ext,1.0,226.0,24,DGA,,,,
CURVE_SPLINE_SHAPEONLY,104729,0,acid,0.8,470.0,60,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,104729,1,ext,0.8,84.0,6,,,,,
CURVE_SPLINE_SHAPEONLY,104729,1,acid,0.4,127.0,39,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,104729,2,ext,1.0,239.0,26,DGA,,,,
CURVE_SPLINE_SHAPEONLY,104729,2,acid,0.6,487.0,68,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,104729,3,ext,1.0,175.0,26,DGA,,,,
CURVE_SPLINE_SHAPEONLY,104729,3,acid,0.6,422.0,66,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,104729,4,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_SHAPEONLY,104729,4,acid,0.8,478.0,63,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,104729,0,ext,1.0,226.0,24,DGA,,,,
CURVE_SPLINE_K1,104729,0,acid,0.8,470.0,60,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,104729,1,ext,0.8,84.0,6,,,,,
CURVE_SPLINE_K1,104729,1,acid,0.4,127.0,39,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,104729,2,ext,1.0,239.0,26,DGA,,,,
CURVE_SPLINE_K1,104729,2,acid,0.6,487.0,68,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,104729,3,ext,1.0,175.0,26,DGA,,,,
CURVE_SPLINE_K1,104729,3,acid,0.6,422.0,66,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,104729,4,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_K1,104729,4,acid,0.8,478.0,63,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,104729,0,ext,1.0,226.0,24,DGA,,,,
CURVE_SPLINE_AMP,104729,0,acid,0.8,470.0,60,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,104729,1,ext,0.8,84.0,6,,,,,
CURVE_SPLINE_AMP,104729,1,acid,0.4,127.0,39,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,104729,2,ext,1.0,239.0,26,DGA,,,,
CURVE_SPLINE_AMP,104729,2,acid,0.6,487.0,68,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,104729,3,ext,1.0,175.0,26,DGA,,,,
CURVE_SPLINE_AMP,104729,3,acid,0.6,422.0,66,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,104729,4,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_AMP,104729,4,acid,0.8,478.0,63,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,104729,0,ext,1.0,226.0,24,DGA,,,,
CURVE_SPLINE_W1_K1,104729,0,acid,1.0,470.0,60,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,104729,1,ext,1.0,84.0,6,,,,,
CURVE_SPLINE_W1_K1,104729,1,acid,1.0,127.0,39,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,104729,2,ext,1.0,239.0,26,DGA,,,,
