axis,surface,shape_mae,flat,n_ligands
acid,CURVE_SPLINE_SHAPEONLY,0.6006091803155704,0.6854519286237398,72
acid,MASSACTION_SHAPEONLY,0.572489067959473,0.6854519286237398,72
acid,ZERO_SHOT,0.5886995174446134,0.6854519286237398,72
ext,CURVE_SPLINE_SHAPEONLY,0.2783356588765247,0.6263846165750634,26
ext,MASSACTION_SHAPEONLY,0.22997377987431425,0.6263846165750634,26
ext,ZERO_SHOT,0.5397385412579065,0.6263846165750634,26
metal,CURVE_SPLINE_SHAPEONLY,0.2881823522470868,0.38609046127234403,86
metal,MASSACTION_SHAPEONLY,0.28753071792347734,0.38609046127234403,86
metal,ZERO_SHOT,0.2888020021329496,0.38609046127234403,86
temp,CURVE_SPLINE_SHAPEONLY,0.40907018604051637,0.376488921358644,6
temp,MASSACTION_SHAPEONLY,0.4755517056811978,0.376488921358644,6
temp,ZERO_SHOT,0.38807350638560073,0.376488921358644,6
