adapter,k,n_ligands,delta_mae,ci_lo,ci_hi,win_rate,n_tied,delta_mae_untied,win_rate_untied
CURVE_GP,1,143,-3.694399624540723e-05,-4.397444917114999e-05,-3.0270025946226714e-05,0.916083916083916,0,-3.694399624540723e-05,0.916083916083916
CURVE_GP,2,143,-0.04981458053766653,-0.06047119194741853,-0.04015828383856211,0.8881118881118881,0,-0.04981458053766653,0.8881118881118881
CURVE_GP,3,140,-0.08659370288771,-0.10365650310859562,-0.06958216918408791,0.8928571428571429,0,-0.08659370288771,0.8928571428571429
CURVE_GP,5,99,-0.13148719313915894,-0.16220967376699427,-0.1029776536872422,0.8686868686868687,0,-0.13148719313915894,0.8686868686868687
CURVE_SPLINE_AMP,1,143,-0.009494917167829863,-0.04254376903369867,0.02451078743024003,0.2867132867132867,71,-0.01885796048610654,0.5694444444444444
CURVE_SPLINE_AMP,2,143,-0.02718090202382973,-0.05424585284061783,-0.0017071896947285028,0.2727272727272727,71,-0.053984291519550705,0.5416666666666666
CURVE_SPLINE_AMP,3,140,-0.037733673919827196,-0.06316287137959056,-0.01409117759009212,0.2857142857142857,68,-0.07337103262188623,0.5555555555555556
CURVE_SPLINE_AMP,5,99,-0.037090472714404674,-0.05883133550613963,-0.017497237514393648,0.30303030303030304,52,-0.07812674039842686,0.6382978723404256
CURVE_SPLINE_GP,1,143,-0.00952880611269889,-0.04257694987557508,0.024475348564155862,0.7272727272727273,0,-0.00952880611269889,0.7272727272727273
CURVE_SPLINE_GP,2,143,-0.05485237909311299,-0.08360639321588216,-0.027220714030619552,0.7622377622377622,0,-0.05485237909311299,0.7622377622377622
CURVE_SPLINE_GP,3,140,-0.08890086468647694,-0.11793178507791872,-0.0615264338361877,0.7857142857142857,0,-0.08890086468647694,0.7857142857142857
CURVE_SPLINE_GP,5,99,-0.13611784291591486,-0.17056995692798363,-0.10346218721344602,0.8585858585858586,0,-0.13611784291591486,0.8585858585858586
CURVE_SPLINE_K1,1,143,-0.009494917167829863,-0.04254376903369867,0.02451078743024003,0.2867132867132867,71,-0.01885796048610654,0.5694444444444444
CURVE_SPLINE_K1,2,143,-0.008005047327596054,-0.03728341419238446,0.02100451232896946,0.2727272727272727,71,-0.01589891344230883,0.5416666666666666
CURVE_SPLINE_K1,3,140,-0.004616226108076619,-0.03308764655660769,0.02290175437808767,0.2785714285714286,68,-0.008975995210148977,0.5416666666666666
CURVE_SPLINE_K1,5,99,-0.014471157257729718,-0.03977563692731387,0.012341671096594887,0.30303030303030304,52,-0.030481799330111532,0.6382978723404256
CURVE_SPLINE_SHAPEONLY,1,143,0.2650901570221003,0.15351973436879535,0.3823778296739603,0.3986013986013986,0,0.2650901570221003,0.3986013986013986
CURVE_SPLINE_SHAPEONLY,2,143,0.34847463414463287,0.2414324831033813,0.4630110198870542,0.3146853146853147,0,0.34847463414463287,0.3146853146853147
CURVE_SPLINE_SHAPEONLY,3,140,0.3759177817473182,0.26901884830248946,0.4965832600622337,0.2857142857142857,0,0.3759177817473182,0.2857142857142857
CURVE_SPLINE_SHAPEONLY,5,99,0.4240458306164663,0.30483870190835577,0.5613675130888611,0.30303030303030304,0,0.4240458306164663,0.30303030303030304
CURVE_SPLINE_W1_K1,1,143,0.019365696766662027,-0.024643706867769025,0.06811181695151282,0.27972027972027974,71,0.03846242552267595,0.5555555555555556
CURVE_SPLINE_W1_K1,2,143,0.018413021641387462,-0.021281541487350848,0.058746977127211025,0.2517482517482518,71,0.036570306871088976,0.5
CURVE_SPLINE_W1_K1,3,140,0.021844339642023463,-0.01656913916886807,0.06030026927279525,0.25,68,0.04247510485949007,0.4861111111111111
