adapter,split_seed,fold,axis,shrink,n_curves,n_ligands,families,length_scale,amplitude,noise,nll
CURVE_SPLINE_SHAPEONLY,262147,0,ext,1.0,233.0,25,DGA,,,,
CURVE_SPLINE_SHAPEONLY,262147,0,acid,0.8,476.0,62,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,262147,1,ext,0.6,23.0,6,DGA,,,,
CURVE_SPLINE_SHAPEONLY,262147,1,acid,0.6,68.0,40,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,262147,2,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_SHAPEONLY,262147,2,acid,0.4,487.0,68,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,262147,3,ext,1.0,228.0,25,DGA,,,,
CURVE_SPLINE_SHAPEONLY,262147,3,acid,0.4,486.0,66,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,262147,4,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_SHAPEONLY,262147,4,acid,0.8,467.0,60,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,262147,0,ext,1.0,233.0,25,DGA,,,,
CURVE_SPLINE_K1,262147,0,acid,0.8,476.0,62,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,262147,1,ext,0.6,23.0,6,DGA,,,,
CURVE_SPLINE_K1,262147,1,acid,0.6,68.0,40,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,262147,2,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_K1,262147,2,acid,0.4,487.0,68,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,262147,3,ext,1.0,228.0,25,DGA,,,,
CURVE_SPLINE_K1,262147,3,acid,0.4,486.0,66,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,262147,4,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_K1,262147,4,acid,0.8,467.0,60,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,262147,0,ext,1.0,233.0,25,DGA,,,,
CURVE_SPLINE_AMP,262147,0,acid,0.8,476.0,62,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,262147,1,ext,0.6,23.0,6,DGA,,,,
CURVE_SPLINE_AMP,262147,1,acid,0.6,68.0,40,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,262147,2,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_AMP,262147,2,acid,0.4,487.0,68,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,262147,3,ext,1.0,228.0,25,DGA,,,,
CURVE_SPLINE_AMP,262147,3,acid,0.4,486.0,66,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,262147,4,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_AMP,262147,4,acid,0.8,467.0,60,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,262147,0,ext,1.0,233.0,25,DGA,,,,
CURVE_SPLINE_W1_K1,262147,0,acid,1.0,476.0,62,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,262147,1,ext,1.0,23.0,6,DGA,,,,
CURVE_SPLINE_W1_K1,262147,1,acid,1.0,68.0,40,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,262147,2,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_W1_K1,262147,2,acid,1.0,487.0,68,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,262147,3,ext,1.0,228.0,25,DGA,,,,
CURVE_SPLINE_W1_K1,262147,3,acid,1.0,486.0,66,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,262147,4,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_W1_K1,262147,4,acid,1.0,467.0,60,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,262147,0,ext,1.0,233.0,25,DGA,,,,
MASSACTION_SHAPEONLY,262147,0,acid,0.8,476.0,62,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,262147,1,ext,1.0,23.0,6,DGA,,,,
MASSACTION_SHAPEONLY,262147,1,acid,0.4,68.0,40,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,262147,2,ext,1.0,240.0,26,DGA,,,,
MASSACTION_SHAPEONLY,262147,2,acid,0.4,487.0,68,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,262147,3,ext,1.0,228.0,25,DGA,,,,
MASSACTION_SHAPEONLY,262147,3,acid,0.4,486.0,66,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,262147,4,ext,1.0,240.0,26,DGA,,,,
MASSACTION_SHAPEONLY,262147,4,acid,0.8,467.0,60,"DGA,OTHER_N_O",,,,
MASSACTION_K1,262147,0,ext,1.0,233.0,25,DGA,,,,
MASSACTION_K1,262147,0,acid,0.8,476.0,62,"DGA,OTHER_N_O",,,,
MASSACTION_K1,262147,1,ext,1.0,23.0,6,DGA,,,,
MASSACTION_K1,262147,1,acid,0.4,68.0,40,"DGA,OTHER_N_O",,,,
MASSACTION_K1,262147,2,ext,1.0,240.0,26,DGA,,,,
MASSACTION_K1,262147,2,acid,0.4,487.0,68,"DGA,OTHER_N_O",,,,
MASSACTION_K1,262147,3,ext,1.0,228.0,25,DGA,,,,
MASSACTION_K1,262147,3,acid,0.4,486.0,66,"DGA,OTHER_N_O",,,,
MASSACTION_K1,262147,4,ext,1.0,240.0,26,DGA,,,,
MASSACTION_K1,262147,4,acid,0.8,467.0,60,"DGA,OTHER_N_O",,,,
MASSACTION_POOLED_K1,262147,0,ext,1.0,233.0,25,,,,,
MASSACTION_POOLED_K1,262147,0,acid,0.4,476.0,62,,,,,
MASSACTION_POOLED_K1,262147,1,ext,1.0,23.0,6,,,,,
MASSACTION_POOLED_K1,262147,1,acid,0.0,68.0,40,,,,,
MASSACTION_POOLED_K1,262147,2,ext,1.0,240.0,26,,,,,
