axis,surface,shape_mae,flat,n_ligands
acid,CURVE_SPLINE_SHAPEONLY,0.5771759735688675,0.6854519286237398,72
acid,MASSACTION_SHAPEONLY,0.5960624600265676,0.6854519286237398,72
acid,ZERO_SHOT,0.5829935001675687,0.6854519286237398,72
ext,CURVE_SPLINE_SHAPEONLY,0.3817762821320113,0.6263846165750634,26
ext,MASSACTION_SHAPEONLY,0.2628320530377056,0.6263846165750634,26
ext,ZERO_SHOT,0.6060795317938484,0.6263846165750634,26
metal,CURVE_SPLINE_SHAPEONLY,0.28337592323306315,0.38609046127234403,86
metal,MASSACTION_SHAPEONLY,0.2825951444710094,0.38609046127234403,86
metal,ZERO_SHOT,0.2839618753964061,0.38609046127234403,86
temp,CURVE_SPLINE_SHAPEONLY,0.41488016027135516,0.376488921358644,6
temp,MASSACTION_SHAPEONLY,0.4440700289474713,0.376488921358644,6
temp,ZERO_SHOT,0.3881658751935479,0.376488921358644,6
