adapter,k,n_ligands,delta_mae,ci_lo,ci_hi,win_rate
CURVE_GP,1,143,-3.397794021914448e-05,-4.1396282089602695e-05,-2.7298705499179068e-05,0.9020979020979021
CURVE_GP,2,143,-0.03024350797840254,-0.03648525422423214,-0.024170899907954152,0.8531468531468531
CURVE_GP,3,140,-0.06717835750286569,-0.08351860692628453,-0.052571622819940045,0.8642857142857143
CURVE_GP,5,99,-0.10042998427744064,-0.12534689429528828,-0.07704440605518655,0.8585858585858586
CURVE_SPLINE_AMP,1,143,-0.000365402429594115,-0.037998754895835374,0.03709805692262455,0.25874125874125875
CURVE_SPLINE_AMP,2,143,-0.009809672372022234,-0.042274822552752396,0.02166024399152959,0.25874125874125875
CURVE_SPLINE_AMP,3,140,-0.027821108799976006,-0.05792812447856594,0.0005365141018794161,0.2714285714285714
CURVE_SPLINE_AMP,5,99,-0.02729643658929741,-0.05253123541310302,-0.0020999048765437153,0.29292929292929293
CURVE_SPLINE_GP,1,143,-0.0003986111497154622,-0.03803066113565641,0.03706018949080351,0.6993006993006993
CURVE_SPLINE_GP,2,143,-0.028304757788035206,-0.06080414024047184,0.004186205522080562,0.7412587412587412
CURVE_SPLINE_GP,3,140,-0.06797146585480097,-0.09969492525407181,-0.03873352944659033,0.7642857142857142
CURVE_SPLINE_GP,5,99,-0.10301966192783675,-0.13520511988752534,-0.07086921211374951,0.8282828282828283
CURVE_SPLINE_K1,1,143,-0.000365402429594115,-0.037998754895835374,0.03709805692262455,0.25874125874125875
CURVE_SPLINE_K1,2,143,0.0015279445205421732,-0.0331221990349805,0.036296900682184725,0.24475524475524477
CURVE_SPLINE_K1,3,140,0.001783986014456468,-0.030086913372063814,0.034579242901052236,0.25
CURVE_SPLINE_K1,5,99,-0.005676544028908374,-0.03477116066185547,0.028392474813043005,0.26262626262626265
CURVE_SPLINE_SHAPEONLY,1,143,0.2840531652069272,0.1695875457210292,0.40846217812475377,0.4125874125874126
CURVE_SPLINE_SHAPEONLY,2,143,0.3422148731206737,0.22860467042493784,0.46622855345280484,0.34265734265734266
CURVE_SPLINE_SHAPEONLY,3,140,0.3695018568160276,0.2585476885487025,0.4946183021791904,0.32142857142857145
CURVE_SPLINE_SHAPEONLY,5,99,0.40086382506363927,0.27686176116482764,0.5378178492550204,0.32323232323232326
CURVE_SPLINE_W1_K1,1,143,0.02449270269352806,-0.019034319271767554,0.07060126407437727,0.23776223776223776
CURVE_SPLINE_W1_K1,2,143,0.025789234093949374,-0.014870493187215865,0.06860465279241115,0.23776223776223776
CURVE_SPLINE_W1_K1,3,140,0.025809888102146253,-0.012427489026322331,0.06675044093832844,0.2357142857142857
CURVE_SPLINE_W1_K1,5,99,0.00666984399075269,-0.029228696685351774,0.04987808552586746,0.25252525252525254
MASSACTION_K1,1,143,-0.014013887878912886,-0.04243344484656763,0.016582266681349114,0.27972027972027974
MASSACTION_K1,2,143,-0.01061715072501556,-0.03801142900938604,0.01849929897227495,0.2727272727272727
MASSACTION_K1,3,140,-0.010584671383062566,-0.03718087040562047,0.015952867823487323,0.29285714285714287
MASSACTION_K1,5,99,-0.01472833859508716,-0.040748844997304995,0.01428003356323416,0.2828282828282828
MASSACTION_POOLED_K1,1,143,0.0008836907492089686,-0.014594303635591901,0.018292766428041927,0.3146853146853147
MASSACTION_POOLED_K1,2,143,0.0022545443376957314,-0.012122530471073876,0.018122517493369825,0.32167832167832167
MASSACTION_POOLED_K1,3,140,0.001763546971303559,-0.012722290173787055,0.01699627481069524,0.32857142857142857
MASSACTION_POOLED_K1,5,99,-0.007223414063539749,-0.02042557242539464,0.00675884477120638,0.3333333333333333
MASSACTION_SHAPEONLY,1,143,0.28328564028892034,0.16889409633352395,0.4055292236278777,0.3986013986013986
MASSACTION_SHAPEONLY,2,143,0.3414473482026668,0.22920368362591476,0.46569469533384283,0.32167832167832167
MASSACTION_SHAPEONLY,3,140,0.36871788493549196,0.2609706934862572,0.4926974009498565,0.30714285714285716
MASSACTION_SHAPEONLY,5,99,0.40086477373809964,0.2768364675581204,0.5380717928596215,0.32323232323232326
MASSACTION_WITH_METAL_K1,1,143,0.0030244336367285835,-0.028409017919765366,0.036848637698307284,0.46153846153846156
MASSACTION_WITH_METAL_K1,2,143,0.005805681886855423,-0.024395819441834003,0.037700006642060024,0.4405594405594406
MASSACTION_WITH_METAL_K1,3,140,0.006368822786249797,-0.02405431672270962,0.03772313118581278,0.4642857142857143
MASSACTION_WITH_METAL_K1,5,99,0.012750748932817548,-0.019864890994071,0.047331595359124824,0.45454545454545453
NEAREST_OBSERVED,1,143,0.1097244939108206,0.05018585851086174,0.17127274299180242,0.35664335664335667
NEAREST_OBSERVED,2,143,0.048864812559947186,-0.0009486419533038195,0.09825088321791571,0.42657342657342656
NEAREST_OBSERVED,3,140,-0.012377368733488324,-0.06079276818182212,0.03549396218679176,0.4928571428571429
NEAREST_OBSERVED,5,99,-0.03461801750342959,-0.08937384768277241,0.020129438401954407,0.5555555555555556
NO_MODEL,1,143,0.1097244939108206,0.05018585851086174,0.17127274299180242,0.35664335664335667
NO_MODEL,2,143,0.10758524122114058,0.0532789690762462,0.16365660333892135,0.34965034965034963
NO_MODEL,3,140,0.10740050937823246,0.05454334511620585,0.16422083962046244,0.36428571428571427
NO_MODEL,5,99,0.14629225066724927,0.0818697602000187,0.21425574194683078,0.3333333333333333
OFFSET_K2,1,143,6.146339588542533e-19,-2.3453137903649136e-19,1.6174577864585611e-18,0.07692307692307693
OFFSET_K2,2,143,-0.009118259361845326,-0.012850077553520904,-0.005802855328713665,0.43356643356643354
