adapter,policy,k,mae,n_ligands,shape_mae
CURVE_SPLINE_GP,RANDOM,5,0.4876602541785559,99,0.43326767670319993
CURVE_GP,RANDOM,5,0.5012522393322384,99,0.44625186699541664
OFFSET_K3,RANDOM,5,0.5109028440397959,99,0.45130086582564194
CURVE_SPLINE_GP,RANDOM,3,0.5213550271048688,140,0.41296874796729466
CURVE_SPLINE_GP,CENTRAL,5,0.5227900088126081,99,0.4652890438341706
CURVE_GP,RANDOM,3,0.5310467228401444,140,0.4214658610898726
OFFSET_K3,RANDOM,3,0.5365912959676111,140,0.4240832299615465
CURVE_SPLINE_GP,CENTRAL,3,0.540339542964687,140,0.43435350854608634
CURVE_GP,CENTRAL,5,0.5410671429727945,99,0.4832692262498997
CURVE_GP,CENTRAL,3,0.5521142953214946,140,0.44692263920839315
OFFSET_K3,CENTRAL,5,0.5542148895271364,99,0.49239992783531744
OFFSET_K2,RANDOM,5,0.5571612932175167,99,0.4876056271676024
OFFSET_K3,CENTRAL,3,0.5598012645316354,140,0.45250909078856993
CURVE_SPLINE_AMP,CENTRAL,3,0.55981127659445,140,0.4462205290722217
NEAREST_OBSERVED,RANDOM,5,0.5619447134754055,99,0.522854361445384
CURVE_SPLINE_AMP,RANDOM,3,0.5650170734742641,140,0.4425701027976847
OFFSET_K2,CENTRAL,5,0.5704107898470028,99,0.503682576863478
CURVE_SPLINE_AMP,RANDOM,5,0.5773180424952647,99,0.49917862091836057
CURVE_SPLINE_GP,RANDOM,2,0.5774279682923069,143,0.4281692816066332
OFFSET_K2,RANDOM,3,0.578276264258522,140,0.4520813095445257
CURVE_SPLINE_AMP,CENTRAL,5,0.5813023300134355,99,0.5041181312112476
OFFSET_K2,CENTRAL,3,0.5835792035491114,140,0.46681863999411116
CURVE_SPLINE_K1,CENTRAL,3,0.5879606890632052,140,0.4653935290971989
NEAREST_OBSERVED,RANDOM,3,0.5889279207130579,140,0.4929326537345037
CURVE_GP,RANDOM,2,0.5894111901125821,143,0.4372952326584476
OFFSET_K3,RANDOM,2,0.5932694196492152,143,0.43944324407059654
CURVE_SPLINE_GP,CENTRAL,2,0.5944183343646514,143,0.4487419299349317
OFFSET_K1,CENTRAL,3,0.5959418835156458,140,0.47689336120649445
CURVE_SPLINE_K1,CENTRAL,5,0.5967385396446466,99,0.5180343437937693
MASSACTION_K1,CENTRAL,3,0.5980251687586752,140,0.47314390638685505
CURVE_SPLINE_AMP,RANDOM,2,0.5994297720713962,143,0.4448614146345258
CURVE_SPLINE_AMP,CENTRAL,2,0.5998871643522296,143,0.4535777003475276
CURVE_SPLINE_K1,RANDOM,5,0.6000941651206304,99,0.5180343437937693
CURVE_SPLINE_K1,RANDOM,3,0.6001524857584098,140,0.4653935290971989
CURVE_GP,CENTRAL,2,0.6011216497028804,143,0.459748034414725
MASSACTION_K1,CENTRAL,5,0.6012882593456454,99,0.5243997773700113
OFFSET_K3,CENTRAL,2,0.6043720558172251,143,0.46314629773946164
CURVE_SPLINE_K1,CENTRAL,2,0.6055050145723124,143,0.45802564935200324
NEAREST_OBSERVED,CENTRAL,5,0.6062102267411391,99,0.552478614560202
MASSACTION_K1,RANDOM,5,0.6077091721459121,99,0.5243997773700113
OFFSET_K2,CENTRAL,2,0.6090626270554192,143,0.4662802676811689
MASSACTION_POOLED_K1,CENTRAL,3,0.6092667948669575,140,0.48465831275431603
MASSACTION_POOLED_K1,CENTRAL,5,0.6093242423254053,99,0.5342644294496547
OFFSET_K1,RANDOM,3,0.6106141523323245,140,0.47689336120649445
OFFSET_K1,CENTRAL,2,0.6121211201728264,143,0.4692842262422227
MASSACTION_K1,RANDOM,3,0.6123526953958155,140,0.47314390638685505
CURVE_SPLINE_W1_K1,CENTRAL,3,0.6135766575800777,140,0.4858916036188727
OFFSET_K1,CENTRAL,5,0.6143151714096027,99,0.5384705159844102
NEAREST_OBSERVED,CENTRAL,3,0.6147843772570644,140,0.5106079837341417
CURVE_SPLINE_W1_K1,CENTRAL,5,0.6149724461087357,99,0.5343728141630423
CURVE_SPLINE_W1_K1,RANDOM,5,0.6160388662655222,99,0.5343728141630423
MASSACTION_K1,CENTRAL,2,0.6163801809216005,143,0.46561343131390454
MASSACTION_POOLED_K1,RANDOM,5,0.6192587106180035,99,0.5342644294496547
OFFSET_K2,RANDOM,2,0.6192753629899871,143,0.45569986239089433
MASSACTION_WITH_METAL_K1,CENTRAL,3,0.6200153378716877,140,0.4913716121831575
CURVE_SPLINE_K1,RANDOM,2,0.6207971846618294,143,0.45802564935200324
OFFSET_K1,RANDOM,5,0.6211718681854109,99,0.5384705159844102
CURVE_SPLINE_W1_K1,RANDOM,3,0.6237959659214672,140,0.4858916036188727
MASSACTION_POOLED_K1,RANDOM,3,0.6271160828679919,140,0.48465831275431603
MASSACTION_POOLED_K1,CENTRAL,2,0.6273158077823265,143,0.4768862767086216
MASSACTION_WITH_METAL_K1,CENTRAL,5,0.6300158019822343,99,0.548448246346532
CURVE_SPLINE_W1_K1,CENTRAL,2,0.6316222856059016,143,0.47809369433825744
MASSACTION_WITH_METAL_K1,RANDOM,3,0.6340264386198007,140,0.4913716121831575
MASSACTION_K1,RANDOM,2,0.6347149610118075,143,0.46561343131390454
OFFSET_K1,RANDOM,2,0.6348992720363498,143,0.4692842262422227
MASSACTION_WITH_METAL_K1,RANDOM,5,0.6355402988265784,99,0.548448246346532
MASSACTION_WITH_METAL_K1,CENTRAL,2,0.6376292278002259,143,0.48350305902999724
