axis,surface,shape_mae,flat,n_ligands
acid,CURVE_SPLINE_SHAPEONLY,0.5778912328674556,0.6854519286237398,72
acid,MASSACTION_SHAPEONLY,0.565390689764112,0.6854519286237398,72
acid,ZERO_SHOT,0.570401754385241,0.6854519286237398,72
ext,CURVE_SPLINE_SHAPEONLY,0.23511923958715453,0.6263846165750634,26
ext,MASSACTION_SHAPEONLY,0.21168685385017272,0.6263846165750634,26
ext,ZERO_SHOT,0.5289556615598717,0.6263846165750634,26
metal,CURVE_SPLINE_SHAPEONLY,0.2761534323366584,0.38609046127234403,86
metal,MASSACTION_SHAPEONLY,0.27567931319838984,0.38609046127234403,86
metal,ZERO_SHOT,0.27711465915845446,0.38609046127234403,86
temp,CURVE_SPLINE_SHAPEONLY,0.41529613826501116,0.376488921358644,6
temp,MASSACTION_SHAPEONLY,0.46249777121596153,0.376488921358644,6
temp,ZERO_SHOT,0.3800751585189767,0.376488921358644,6
