axis,surface,shape_mae,flat,n_ligands
acid,CURVE_SPLINE_SHAPEONLY,0.5918024575584083,0.6854519286237398,72
acid,MASSACTION_SHAPEONLY,0.5796524186218935,0.6854519286237398,72
acid,ZERO_SHOT,0.5769671830561193,0.6854519286237398,72
ext,CURVE_SPLINE_SHAPEONLY,0.22683286455198373,0.6263846165750634,26
ext,MASSACTION_SHAPEONLY,0.20469937139532235,0.6263846165750634,26
ext,ZERO_SHOT,0.5344521187335284,0.6263846165750634,26
metal,CURVE_SPLINE_SHAPEONLY,0.30587127137908,0.38609046127234403,86
metal,MASSACTION_SHAPEONLY,0.30571434816381776,0.38609046127234403,86
metal,ZERO_SHOT,0.30704446162196847,0.38609046127234403,86
temp,CURVE_SPLINE_SHAPEONLY,0.39785387360749397,0.376488921358644,6
temp,MASSACTION_SHAPEONLY,0.4292852376017861,0.376488921358644,6
temp,ZERO_SHOT,0.3467527384554878,0.376488921358644,6
