design,model,n_units,n_chemotypes,macro_accuracy,ci_low,ci_high,pooled_accuracy,seconds,gain,gain_lo,gain_hi,p_two_sided,units_better,units_worse
B,LOGIT_TOPO39,82,40,0.8400158378207159,0.7370347707847706,0.9153351758289298,0.7937716262975778,0.8,0.2814634146341463,0.12236946326211569,0.5323333333333329,0.0,28.0,6.0
B,G13_ET_TOPO39,82,40,0.8219670573329112,0.7066776094276094,0.8984649295851826,0.7847750865051903,14.6,0.2634146341463415,0.10706937799043063,0.5069027093596058,0.0004,28.0,6.0
B,BITE6_LOGIT,82,40,0.7834304719670574,0.6588478260869566,0.8708333333333332,0.7681660899653979,0.8,0.2248780487804878,0.0870551924473493,0.45357142857142857,0.0,26.0,5.0
B,LEAN209_ET,82,40,0.7671092457677823,0.6469244829244829,0.8489571283334271,0.7750865051903114,14.5,0.2085568225812128,0.05293160557611666,0.45764282374941545,0.0064,30.0,14.0
B,CHEM137_ET,82,40,0.7493432583676486,0.6351557340521902,0.8320155151495653,0.7640138408304499,14.4,0.1907908351810791,0.03689561468341956,0.4465912356321839,0.0112,27.0,10.0
B,DONORS13_ET,82,40,0.7302597402597402,0.5831428467365967,0.8152979347041847,0.7439446366782007,14.7,0.17170731707317075,0.02535670731707319,0.3898707405724669,0.022,25.0,17.0
B,ALWAYS_HEAVY,82,40,0.5585524231865696,0.31571861843131144,0.7118270604130477,0.7024221453287197,0.5,,,,,,
B,DONORS13_LOGIT,82,40,0.4474110442403125,0.3500859317900714,0.601163722096694,0.40415224913494807,0.8,-0.11114137894625699,-0.34564341874811944,0.26327409948542024,0.5816,32.0,45.0
B,TRAIN_MAJORITY,82,40,0.34778904022806467,0.2386962481962482,0.5213798840330282,0.26782006920415224,0.5,-0.21076338295850483,-0.47077119938884654,0.19898419343814078,0.3516,34.0,45.0
BR,LOGIT_TOPO39,82,40,0.8346499841621794,0.7295702212547179,0.9104255411255412,0.797923875432526,0.8,0.2760975609756098,0.11770892857142858,0.5250105932203388,0.0,28.0,5.0
BR,G13_ET_TOPO39,82,40,0.8156255939182768,0.6981392061370002,0.8922455840046029,0.7792387543252595,14.5,0.2570731707317073,0.10085184331797235,0.5,0.0006,28.0,7.0
BR,BITE6_LOGIT,82,40,0.7878207158694964,0.6685153256704981,0.8727272727272726,0.7737024221453287,0.7,0.22926829268292678,0.09310225095785442,0.45806451612903215,0.0,25.0,4.0
BR,LEAN209_ET,82,40,0.7656329849012776,0.6454545454545455,0.8417535605767311,0.7757785467128028,14.6,0.20708056171470807,0.05646904622459383,0.4450645711500974,0.0054,30.0,13.0
