  straw A   extractant      0.4755 +-0.0540  (real 0.8346, const 0.5586)
  straw A   chemotype       0.7150 +-0.0264  (real 0.8346, const 0.5586)
  straw A   publication_id  0.6806 +-0.0254  (real 0.8346, const 0.5586)
  straw B   extractant      0.4611 +-0.0565  (real 0.8400, const 0.5586)
  straw B   chemotype       0.4757 +-0.0876  (real 0.8400, const 0.5586)
  straw B   publication_id  0.5875 +-0.0331  (real 0.8400, const 0.5586)
  straw BR  extractant      0.4641 +-0.0471  (real 0.8346, const 0.5586)
  straw BR  chemotype       0.4610 +-0.0799  (real 0.8346, const 0.5586)
  straw BR  publication_id  0.5683 +-0.0356  (real 0.8346, const 0.5586)
  straw BQ  extractant      0.4624 +-0.0579  (real 0.8400, const 0.5586)
  straw BQ  chemotype       0.4682 +-0.0812  (real 0.8400, const 0.5586)
  straw BQ  publication_id  0.5820 +-0.0327  (real 0.8400, const 0.5586)
  straw BP  extractant      0.4449 +-0.0411  (real 0.8205, const 0.5586)
  straw BP  chemotype       0.4366 +-0.0753  (real 0.8205, const 0.5586)
  straw BP  publication_id  0.4462 +-0.0675  (real 0.8205, const 0.5586)

 control design          level   mean     sd  n     lo     hi
    real      A         TOPO39 0.8346 0.0000  1    NaN    NaN
constant      A              - 0.5586 0.0000  1    NaN    NaN
   straw      A     extractant 0.4755 0.0540 20 0.3899 0.5638
   straw      A      chemotype 0.7150 0.0264 20 0.6738 0.7622
   straw      A publication_id 0.6806 0.0254 20 0.6260 0.7172
    real      B         TOPO39 0.8400 0.0000  1    NaN    NaN
constant      B              - 0.5586 0.0000  1    NaN    NaN
   straw      B     extractant 0.4611 0.0565 20 0.3512 0.5522
   straw      B      chemotype 0.4757 0.0876 20 0.3140 0.6355
   straw      B publication_id 0.5875 0.0331 20 0.5281 0.6356
    real     BR         TOPO39 0.8346 0.0000  1    NaN    NaN
constant     BR              - 0.5586 0.0000  1    NaN    NaN
   straw     BR     extractant 0.4641 0.0471 20 0.3771 0.5396
   straw     BR      chemotype 0.4610 0.0799 20 0.3099 0.5984
   straw     BR publication_id 0.5683 0.0356 20 0.5048 0.6359
    real     BQ         TOPO39 0.8400 0.0000  1    NaN    NaN
constant     BQ              - 0.5586 0.0000  1    NaN    NaN
   straw     BQ     extractant 0.4624 0.0579 20 0.3822 0.5659
   straw     BQ      chemotype 0.4682 0.0812 20 0.3116 0.6121
   straw     BQ publication_id 0.5820 0.0327 20 0.5020 0.6234
    real     BP         TOPO39 0.8205 0.0000  1    NaN    NaN
constant     BP              - 0.5586 0.0000  1    NaN    NaN
   straw     BP     extractant 0.4449 0.0411 20 0.3643 0.5127
   straw     BP      chemotype 0.4366 0.0753 20 0.2972 0.5673
   straw     BP publication_id 0.4462 0.0675 20 0.3201 0.5316
