band,n_cells,n_extractants,macro_accuracy,ceiling_fit,ceiling_floor
0-0.05,270,18,0.5876623376623377,0.7220845257054558,0.5988831463766847
0.05-0.1,280,25,0.6733333333333333,0.8726102178273578,0.7762675833870016
0.1-0.2,185,15,0.8049999999999999,0.9570623717501194,0.9213826709877762
0.2-0.5,300,29,0.9172413793103449,0.9891146481477736,0.9963208481660419
0.5-99,410,24,0.9333333333333332,0.9998471028491096,0.9999997772844503
