design,reference,candidate,gain,ci_low,ci_high,p_two_sided,n_units,units_better,units_worse,loco_min,loco_max,loco_sign_stable
B,ALWAYS_HEAVY,TRAIN_MAJORITY,-0.21076338295850483,-0.47077119938884654,0.19898419343814078,0.3516,82,34,45,-0.26259740259740255,-0.018099640472521814,True
B,ALWAYS_HEAVY,DONORS13_ET,0.17170731707317075,0.02535670731707319,0.3898707405724669,0.022,82,25,17,0.12923076923076923,0.2352542372881356,True
B,ALWAYS_HEAVY,DONORS13_LOGIT,-0.11114137894625699,-0.34564341874811944,0.26327409948542024,0.5816,82,32,45,-0.1655588855588856,0.053867488443759645,False
B,ALWAYS_HEAVY,BITE6_LOGIT,0.2248780487804878,0.0870551924473493,0.45357142857142857,0.0,82,26,5,0.18512820512820513,0.311864406779661,True
B,ALWAYS_HEAVY,G13_ET_TOPO39,0.2634146341463415,0.10706937799043063,0.5069027093596058,0.0004,82,28,6,0.22564102564102567,0.36271186440677966,True
B,ALWAYS_HEAVY,LOGIT_TOPO39,0.2814634146341463,0.12236946326211569,0.5323333333333329,0.0,82,28,6,0.2446153846153846,0.3898305084745763,True
B,ALWAYS_HEAVY,LEAN209_ET,0.2085568225812128,0.05293160557611666,0.45764282374941545,0.0064,82,30,14,0.16796999296999296,0.28624550590652287,True
B,ALWAYS_HEAVY,CHEM137_ET,0.1907908351810791,0.03689561468341956,0.4465912356321839,0.0112,82,27,10,0.1492929292929293,0.28279404211607606,True
B,DONORS13_ET,ALWAYS_HEAVY,-0.17170731707317075,-0.38987074057246707,-0.025356707317073315,0.022,82,17,25,-0.2352542372881356,-0.12923076923076923,True
B,DONORS13_ET,TRAIN_MAJORITY,-0.3824707000316756,-0.5413118150078495,-0.12666399286987526,0.0002,82,14,57,-0.40205819496958733,-0.25335387776065743,True
B,DONORS13_ET,DONORS13_LOGIT,-0.2828486960194277,-0.4188780067050743,-0.053953831168831276,0.01,82,11,51,-0.30991991341991343,-0.18138674884437597,True
B,DONORS13_ET,BITE6_LOGIT,0.053170731707317065,-0.01902497096399536,0.15319189080690485,0.1576,82,21,7,0.04148148148148147,0.08,True
B,DONORS13_ET,G13_ET_TOPO39,0.09170731707317073,0.035554166666666664,0.1857154963680387,0.0,82,21,2,0.08049382716049382,0.12745762711864406,True
B,DONORS13_ET,LOGIT_TOPO39,0.10975609756097561,0.04813532838983051,0.21125044014084507,0.0,82,24,2,0.09876543209876543,0.15457627118644068,True
B,DONORS13_ET,LEAN209_ET,0.036849505508042085,-0.03118469635294602,0.13062529247275004,0.2616,82,20,12,0.024958758662462357,0.06261895391765522,True
B,DONORS13_ET,CHEM137_ET,0.019083518107908346,-0.05264285714285716,0.12490044375006776,0.5814,82,18,10,0.006973438084549194,0.04889413616686344,True
B,DONORS13_LOGIT,ALWAYS_HEAVY,0.11114137894625699,-0.26327409948542024,0.34564341874811944,0.5816,82,45,32,-0.053867488443759645,0.1655588855588856,False
B,DONORS13_LOGIT,TRAIN_MAJORITY,-0.09962200401224791,-0.17179322991822993,-0.0045472385547013746,0.0392,82,16,43,-0.11128577050654971,-0.07196712891628147,True
B,DONORS13_LOGIT,DONORS13_ET,0.2828486960194277,0.05395383116883118,0.41887800670507425,0.01,82,51,11,0.18138674884437597,0.30991991341991343,True
B,DONORS13_LOGIT,BITE6_LOGIT,0.33601942772674476,0.12916152597402597,0.4725649133678403,0.0002,82,54,9,0.2579969183359014,0.3594199134199134,True
B,DONORS13_LOGIT,G13_ET_TOPO39,0.37455601309259845,0.16621054888507722,0.5018321181742234,0.0002,82,55,10,0.30884437596302006,0.40391991341991335,True
B,DONORS13_LOGIT,LOGIT_TOPO39,0.3926047935804033,0.19738837371355064,0.5157344095820424,0.0,82,58,8,0.3359630200308167,0.4224199134199134,True
B,DONORS13_LOGIT,LEAN209_ET,0.3196982015274698,0.12728355895516913,0.4412863375603865,0.0006,82,53,11,0.23237801746276324,0.34769065656565656,True
B,DONORS13_LOGIT,CHEM137_ET,0.30193221412733606,0.11297560307017543,0.4245056559580769,0.0008,82,51,10,0.22892655367231637,0.3294805194805195,True
B,G13_ET_TOPO39,ALWAYS_HEAVY,-0.2634146341463415,-0.5069027093596059,-0.10706937799043065,0.0004,82,6,28,-0.36271186440677966,-0.22564102564102567,True
B,G13_ET_TOPO39,TRAIN_MAJORITY,-0.47417801710484647,-0.6120814007421151,-0.24525574818263507,0.0,82,10,63,-0.49603246753246755,-0.38081150487930143,True
B,G13_ET_TOPO39,DONORS13_ET,-0.09170731707317073,-0.18571549636803872,-0.035554166666666685,0.0,82,2,21,-0.12745762711864406,-0.08049382716049382,True
B,G13_ET_TOPO39,DONORS13_LOGIT,-0.37455601309259845,-0.5018321181742235,-0.16621054888507739,0.0002,82,10,55,-0.40391991341991335,-0.30884437596302006,True
B,G13_ET_TOPO39,BITE6_LOGIT,-0.03853658536585366,-0.1346153846153846,0.03874569377990418,0.3368,82,9,11,-0.05135802469135803,-0.009870129870129871,True
B,G13_ET_TOPO39,LOGIT_TOPO39,0.018048780487804877,-0.011358024691358024,0.06666666666666667,0.2618,82,6,5,0.008395061728395062,0.027118644067796613,True
B,G13_ET_TOPO39,LEAN209_ET,-0.054857811565128645,-0.1429415954984436,0.008592979891681186,0.105,82,7,13,-0.0764663585002568,-0.027251175952474654,True
B,G13_ET_TOPO39,CHEM137_ET,-0.07262379896526237,-0.15675398048279404,-0.0028886145506525746,0.042,82,5,14,-0.08092779648335204,-0.04097599370326643,True
BR,ALWAYS_HEAVY,TRAIN_MAJORITY,-0.21076338295850483,-0.47077119938884654,0.19898419343814078,0.3516,82,34,45,-0.26259740259740255,-0.018099640472521814,True
BR,ALWAYS_HEAVY,DONORS13_ET,0.13167141801288143,-0.02619775293684688,0.3761436217662801,0.1086,82,26,33,0.08714174714174716,0.2216949152542373,True
BR,ALWAYS_HEAVY,DONORS13_LOGIT,-0.1062992292260585,-0.35312996094814275,0.2858251748251747,0.6312,82,31,45,-0.16303252303252305,0.0742064714946071,False
BR,ALWAYS_HEAVY,BITE6_LOGIT,0.22926829268292678,0.09310225095785442,0.45806451612903215,0.0,82,25,4,0.18974358974358976,0.3186440677966102,True
BR,ALWAYS_HEAVY,G13_ET_TOPO39,0.2570731707317073,0.10085184331797235,0.5,0.0006,82,28,7,0.21897435897435896,0.3559322033898305,True
BR,ALWAYS_HEAVY,LOGIT_TOPO39,0.2760975609756098,0.11770892857142858,0.5250105932203388,0.0,82,28,5,0.23897435897435898,0.38305084745762713,True
BR,ALWAYS_HEAVY,LEAN209_ET,0.20708056171470807,0.05646904622459383,0.4450645711500974,0.0054,82,30,13,0.1664180264180264,0.2840780688238315,True
BR,ALWAYS_HEAVY,CHEM137_ET,0.17056910569105693,0.017980708180708186,0.41905219780219777,0.0266,82,27,14,0.12803418803418803,0.2553672316384181,True
BR,DONORS13_ET,ALWAYS_HEAVY,-0.13167141801288143,-0.37614362176628013,0.026197752936846813,0.1086,82,33,26,-0.2216949152542373,-0.08714174714174716,True
BR,DONORS13_ET,TRAIN_MAJORITY,-0.3424348009713863,-0.47818006321344214,-0.11650928554050771,0.0006,82,15,57,-0.360995670995671,-0.2397945557267591,True
BR,DONORS13_ET,DONORS13_LOGIT,-0.2379706472389399,-0.3683173326379416,-0.013582695606280558,0.0362,82,9,50,-0.2639199134199134,-0.1474884437596302,True
BR,DONORS13_ET,BITE6_LOGIT,0.0975968746700454,0.009282380192906512,0.1845172608941709,0.0326,82,36,8,0.0864560953449842,0.12731095744082757,True
BR,DONORS13_ET,G13_ET_TOPO39,0.1254017527188259,0.0748422630760293,0.19428652300080873,0.0,82,37,4,0.11460424349313238,0.1342372881355932,True
BR,DONORS13_ET,LOGIT_TOPO39,0.1444261429627283,0.09805388837353121,0.21785714285714283,0.0,82,40,2,0.13386350275239164,0.16135593220338978,True
BR,DONORS13_ET,LEAN209_ET,0.07540914370182662,0.0016145324209840208,0.14188699020277964,0.0458,82,36,9,0.062383153569594244,0.09848765952662056,True
BR,DONORS13_ET,CHEM137_ET,0.03889768767817547,-0.04467524200721133,0.11836227643862184,0.308,82,30,12,0.02703222703222703,0.06999494012481025,True
