design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds,family
A,DIR_ORACLE,0.47838071332269827,0.0036397252913509355,0.521962862627164,0.19101592988618918,0.631565598990842,0.8413786326697312,0.5227572694667353,0.4867815846335209,0.1702039431794973,0.7231159271299324,0.9049066864417253,90,83,88,86,5,DIR_ORACLE
A,REAL_1BIT,0.49213393784744824,0.010436668747165393,0.5444543521521373,0.1884761577560658,0.6451991179908991,0.8084723143535989,0.5111303834901167,0.4937334554735816,0.1635088768451623,0.7453321878071688,0.9130638981584477,90,83,88,86,5,REAL_1BIT
A,STRAW1BIT_chemotype_0,0.5668301549515419,0.025985944768992908,0.6848748585085287,0.2044383564413307,0.7714353143315004,0.6756847635715684,0.29489948307798175,0.5502784384604169,0.17271915720298384,0.8395430082654539,0.7990854035347917,90,83,88,86,5,STRAW1BIT_chemotype
A,STRAW1BIT_publication_id_2,0.5671172210501025,0.006778474651741698,0.6265648954901514,0.20231702928933926,0.7631703908949337,0.6659104320185838,0.32190447516080695,0.6456739419175663,0.19450809189322277,0.9846527696476264,0.5979730564825114,90,83,88,86,5,STRAW1BIT_publication_id
A,STRAW1BIT_chemotype_2,0.5689606958872038,0.011870018274551121,0.6784528887560553,0.2033731248158522,0.7679603942138639,0.6610864946363165,0.30159088332067385,0.5500412461097232,0.1725777514307746,0.837934815350662,0.7980966505994315,90,83,88,86,5,STRAW1BIT_chemotype
A,STRAW1BIT_chemotype_1,0.576356440868009,0.011834821777240073,0.7024134664896894,0.20419004316008124,0.778168302306471,0.6617958137635152,0.2915435245991356,0.5521950707931029,0.17255709794167526,0.8427329669356798,0.792806822395254,90,83,88,86,5,STRAW1BIT_chemotype
A,STRAW1BIT_publication_id_1,0.5775102774060352,0.011879066686731837,0.6349829921551953,0.2046172223799208,0.7906810712519614,0.6465709197775003,0.2928853977178451,0.6588790203239245,0.19355322829140492,1.01547827398051,0.5854406130268199,90,83,88,86,5,STRAW1BIT_publication_id
A,MEAN_CURVE,0.5831886108961208,0.002495521599002778,0.6194545435177782,0.2014511601245498,0.793442240943697,0.6085874695569309,0.28926376268141074,0.6008281834322248,0.17762917732667283,0.9279541799948872,0.735459152144358,90,83,88,86,5,MEAN_CURVE
A,STRAW1BIT_publication_id_0,0.5847314340779624,0.012401797988935715,0.6284020877055754,0.20580962064187708,0.8021533505056635,0.6260514350705012,0.27560454964080594,0.7063465206765449,0.20239687329656147,1.0919794986876599,0.471462118403164,90,83,88,86,5,STRAW1BIT_publication_id
B,DIR_ORACLE,0.4782612311303952,0.0030518784770146665,0.5218383626377598,0.1906089365886055,0.6313809820224974,0.8445207755495536,0.5277229792231763,0.4884192122674065,0.16983437381127753,0.7266089575551511,0.9059201582004697,90,83,88,86,5,DIR_ORACLE
