design,model,n_units,n_chemotypes,macro_accuracy,ci_low,ci_high,pooled_accuracy,seconds,gain,gain_lo,gain_hi,p_two_sided,units_better,units_worse
B,LOGIT_TOPO39,82,40,0.8400158378207159,0.7370347707847706,0.9153351758289298,0.7937716262975778,0.9,0.2814634146341463,0.12236946326211569,0.5323333333333329,0.0,28.0,6.0
B,LOGIT_TOPO_STERIC,82,40,0.7833417801710484,0.6708032421251993,0.8564903706350575,0.7058823529411765,0.9,0.22478935698447894,0.06960414369853898,0.47085209461385,0.005,28.0,12.0
B,ET_TOPO_STERIC,82,40,0.7491215288776265,0.640432521235078,0.8298377048546691,0.7577854671280276,15.5,0.19056910569105692,0.028211851620623275,0.4523846815834768,0.0166,26.0,11.0
B,ALWAYS_HEAVY,82,40,0.5585524231865696,0.31571861843131144,0.7118270604130477,0.7024221453287197,0.6,,,,,,
B,LOGIT_STERIC7,82,40,0.4390085524231866,0.3341869755633775,0.6114443384004477,0.3467128027681661,0.8,-0.11954387076338294,-0.35943735242030694,0.2633775052108385,0.5738,30.0,39.0
BR,LOGIT_TOPO39,82,40,0.8346499841621794,0.7295702212547179,0.9104255411255412,0.797923875432526,0.9,0.2760975609756098,0.11770892857142858,0.5250105932203388,0.0,28.0,5.0
BR,LOGIT_TOPO_STERIC,82,40,0.7695502058916692,0.6597452284076899,0.8405853402921067,0.6996539792387543,0.9,0.21099778270509978,0.056096431307456604,0.4569740259740259,0.0066,30.0,17.0
BR,ET_TOPO_STERIC,82,40,0.7559507971703093,0.6485264842720685,0.8337711101159376,0.7522491349480969,15.2,0.19739837398373986,0.03772284369460236,0.4544543010752687,0.0124,29.0,11.0
BR,ALWAYS_HEAVY,82,40,0.5585524231865696,0.31571861843131144,0.7118270604130477,0.7024221453287197,0.5,,,,,,
BR,LOGIT_STERIC7,82,40,0.43494351177278,0.3338698057176318,0.6043504560915275,0.356401384083045,0.9,-0.12360891141378948,-0.35862389866988736,0.2545454545454545,0.5582,29.0,42.0
BQ,LOGIT_TOPO39,82,40,0.8400158378207159,0.7376664483177641,0.9148332664995824,0.8,0.9,0.2814634146341463,0.12315629543471938,0.5320786696514231,0.0,28.0,5.0
BQ,LOGIT_TOPO_STERIC,82,40,0.7906588533417802,0.6803545254649149,0.8612053923308022,0.7190311418685121,0.9,0.23210643015521062,0.07821413573941663,0.4778893529511532,0.0032,28.0,15.0
BQ,ET_TOPO_STERIC,82,40,0.7520483581459191,0.6458961155474489,0.8296892270553899,0.7619377162629758,15.3,0.1934959349593496,0.032405303030303034,0.45185858585858574,0.0148,28.0,12.0
BQ,ALWAYS_HEAVY,82,40,0.5585524231865696,0.31571861843131144,0.7118270604130477,0.7024221453287197,0.6,,,,,,
BQ,LOGIT_STERIC7,82,40,0.4539679020166825,0.3532190652122919,0.5978294143744454,0.372318339100346,0.8,-0.10458452116988703,-0.32152314692110606,0.24965980853077624,0.5738,28.0,41.0
A,LOGIT_TOPO39,82,40,0.8346499841621794,0.7317930267930267,0.9090923120089786,0.7986159169550173,0.9,0.2760975609756098,0.11972160052049446,0.5218789724576272,0.0,28.0,4.0
A,LOGIT_TOPO_STERIC,82,40,0.8009914475768134,0.7009078471279964,0.8672911796536794,0.7224913494809688,0.9,0.24243902439024392,0.09768755516328333,0.47400827183521194,0.0002,29.0,11.0
A,ET_TOPO_STERIC,82,40,0.798877626438602,0.7219721996753247,0.8647296234772978,0.7730103806228373,15.2,0.24032520325203252,0.07797732289785271,0.4994157002676182,0.0004,31.0,12.0
A,ALWAYS_HEAVY,82,40,0.5585524231865696,0.31571861843131144,0.7118270604130477,0.7024221453287197,0.6,,,,,,
A,LOGIT_STERIC7,82,40,0.4978703410410727,0.40278159371492706,0.6579776355719752,0.3612456747404844,0.8,-0.060682082145496787,-0.2915208091638555,0.3143313430919363,0.7914,29.0,41.0
BP,LOGIT_TOPO39,82,40,0.8205036426987645,0.7036516858962746,0.9000004833354347,0.7820069204152249,0.9,0.26195121951219513,0.10505194805194806,0.5060653409090907,0.0008,26.0,5.0
BP,ET_TOPO_STERIC,82,40,0.7481754830535319,0.6301276881720431,0.8302893447797067,0.7217993079584775,16.5,0.1896230598669623,0.034973939393939404,0.4301824410713699,0.0134,26.0,13.0
BP,LOGIT_TOPO_STERIC,82,40,0.7203727167141801,0.6226382422608837,0.8327541259450488,0.6214532871972318,0.9,0.1618202935276106,-0.03495836994169791,0.45848012889366274,0.1238,29.0,29.0
BP,ALWAYS_HEAVY,82,40,0.5585524231865696,0.31571861843131144,0.7118270604130477,0.7024221453287197,0.5,,,,,,
BP,LOGIT_STERIC7,82,40,0.3918540808784711,0.2748441767265174,0.5690924242424242,0.3079584775086505,0.9,-0.1666983423080984,-0.4229627210962438,0.21785815746753243,0.489,31.0,43.0
