coverage,conf_threshold,n_cells,n_extractants,macro_accuracy,pooled_accuracy,mean_abs_amp
1.0,0.006229210662613394,1445,82,0.8205036426987645,0.7820069204152249,0.3236783766584308
0.9,0.06453302409930717,1402,82,0.8268451061133987,0.7931526390870185,0.3298699371452104
0.75,0.09277646407933182,1229,82,0.8268451061133987,0.7941415785191213,0.3286522617539137
0.5,0.5020819630084845,790,81,0.8226497782053338,0.769620253164557,0.32485425011464375
0.25,0.7061633550732174,437,70,0.8500185528756957,0.8627002288329519,0.3580487239976487
