design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
B,G14hard_vs_MEANCURVE,mae_all,MEAN_CURVE,G14_DIR_HARD,0.10364990275379626,0.03632711829681963,0.1475089820162657,0.04100894592576857,0.15013996093887347,0.0024,0.02865281434073906,0.08022788015406937,0.0824425082764783,90,63,5,5,0.08422730751331578,0.11294481939021773,True,0.02,True,True
B,G14hard_vs_G13dir,mae_all,G13_DIR_HARD,G14_DIR_HARD,-0.00020269044189584628,-0.018912388866926873,0.024376641682707978,-0.01917790402932334,0.02406144062934245,0.992,0.01090755043102925,0.0305411412068819,0.004988771197326674,90,7,2,5,-0.0050065124240461795,0.004591572018419312,False,0.02,False,False
B,G14hard_vs_FULL,mae_all,G13_FULL_MODEL,G14_DIR_HARD,-0.010913035800529072,-0.049985583648829345,0.023837522893370093,-0.048712122835482846,0.02487442722821956,0.5264,0.018631925395369824,0.05216939110703551,-0.019964147959168656,90,41,1,5,-0.017940142281248742,-0.005395001755234624,True,0.02,False,False
B,G14exp_vs_G14hard,mae_all,G14_DIR_HARD,G14_DIR_EXPECTED,-0.02046356665842751,-0.0508376761240542,0.021259129175096717,-0.06339560560393687,0.011738080019528734,0.4596,0.019549053891260347,0.05473735089552897,-0.001635620737278867,90,43,0,5,-0.024939962805401523,0.003216717578213268,False,0.02,False,False
B,G14exp_vs_FULL,mae_all,G13_FULL_MODEL,G14_DIR_EXPECTED,-0.031376602458956585,-0.07269684885883185,0.022373953712894974,-0.08193016053320587,0.01383834220771932,0.3064,0.02518894597091684,0.07052904871856715,-0.021599768696447513,90,47,0,5,-0.040111057683525374,-0.006432059674857776,True,0.02,False,False
B,G14exp_vs_MEANCURVE,mae_all,MEAN_CURVE,G14_DIR_EXPECTED,0.08318633609536875,0.04290325079873739,0.12688594212898607,0.042694542108051126,0.12649576795999243,0.0004,0.02065515220274231,0.05783442616767846,0.08080688753919942,90,71,5,5,0.07509479528819944,0.0905892398567847,True,0.02,True,True
B,MAGREGexp_vs_G14exp,mae_all,G14_DIR_EXPECTED,G14_MAGREG_EXP,-1.154290497579172,-4.209345998458594,-0.04481823685125698,-6.41262214346023,-0.08807548879337546,0.0034,1.1582131439824297,3.242996803150803,-2.2282280927836084,90,28,0,5,-1.546595909011338,-0.15629159693624942,True,0.02,False,False
B,ORACLE_vs_G14hard,mae_all,G14_DIR_HARD,DIR_ORACLE,0.01494672591903946,-0.010212398773652676,0.05964696971236861,-0.012506643756475137,0.0543760505145522,0.3082,0.017878999136631678,0.050061197582568696,0.025981275935337524,90,20,5,5,0.004706133860702493,0.029568999389703744,True,0.02,False,False
B,ORACLE_vs_FULL,mae_all,G13_FULL_MODEL,DIR_ORACLE,0.00403369011851039,-0.03652125079546556,0.05649178088369341,-0.04041240467751023,0.050974957568954996,0.8366,0.02378067911564558,0.06658590152380761,0.006017127976168871,90,45,4,5,-0.0034709414215118558,0.0199202221366327,False,0.02,False,False
