design,seed,fold,mag_mean,mag_median,mag_loss_oracle,mag_loss_inner,mag_heavy,mag_light,bmean,inner_dir_acc
BP,104729,0,0.15385791793056938,0.1650351883595802,0.215,0.2,0.245,0.195,-0.09510681822889551,0.868421052631579
BP,104729,1,0.3307166798795092,0.21045436241059226,0.29,0.265,0.4,0.175,-0.11650813292535642,0.7474541751527495
BP,104729,2,0.3745789360878021,0.2102222930179682,0.26,0.23,0.47,0.12,-0.09737709362992061,0.7415966386554622
BP,104729,3,0.3227709314859871,0.1549808631595901,0.275,0.215,0.435,0.12,-0.04588438598273517,0.7770419426048565
BP,104729,4,0.2802784817982694,0.17686340549228502,0.235,0.2,0.345,0.175,-0.0781834556471003,0.7810026385224275
BP,130363,0,0.33476684196123024,0.17277291823227597,0.235,0.265,0.48,0.12,-0.052737565465319824,0.7435897435897436
BP,130363,1,0.2746529258917926,0.11245358162512431,0.155,0.12,0.155,0.11,-0.10099925455301215,0.7251908396946565
BP,130363,2,0.2785192178839039,0.24789506971152117,0.25,0.225,0.37,0.125,-0.10719599423856623,0.7695749440715883
BP,130363,3,0.30586636531265304,0.3156033155331814,0.29,0.23,0.395,0.215,-0.07040210790240925,0.8979591836734694
BP,130363,4,0.25567043778625365,0.20466420004818492,0.24,0.235,0.23,0.25,-0.1363342093138201,0.741869918699187
BP,155921,0,0.31386960159114174,0.2094181407437715,0.31,0.29,0.385,0.22,-0.08303913097434633,0.7474541751527495
BP,155921,1,0.2848451673159424,0.1583483344663942,0.185,0.155,0.32,0.105,-0.06785867795399438,0.7531120331950207
BP,155921,2,0.3041894610376932,0.14250625239331546,0.22,0.155,0.255,0.115,-0.10201219984977337,0.7362637362637363
BP,155921,3,0.22075141951500005,0.1649673920867853,0.225,0.2,0.36,0.17,-0.08573576424559007,0.9146341463414634
BP,155921,4,0.33379350476417174,0.2575356950485556,0.255,0.225,0.38,0.125,-0.09383446888069391,0.7713004484304933
BP,196613,0,0.25684124231505273,0.23116516985553137,0.245,0.23,0.3,0.205,-0.0755087357067904,0.7855530474040632
BP,196613,1,0.27890491989667465,0.19720526694684745,0.245,0.185,0.24,0.15,-0.10206038424672843,0.8705882352941177
BP,196613,2,0.30128988489965697,0.19346405287427576,0.28,0.285,0.505,0.15,-0.041532498366635515,0.7593360995850622
BP,196613,3,0.30108695948812975,0.13627008261214432,0.19,0.19,0.535,0.12,-0.08727269978703005,0.7582938388625592
BP,196613,4,0.424762002371712,0.2570136204740393,0.32,0.255,0.44,0.14,-0.12689527272176607,0.7596899224806202
BP,262147,0,0.3006521826697085,0.15743346479680775,0.26,0.25,0.37,0.21,-0.06006119266743346,0.7366167023554604
BP,262147,1,0.29850349485482125,0.18095389275229404,0.265,0.235,0.395,0.17,-0.06052945923813994,0.7479674796747967
BP,262147,2,0.2324086024644148,0.20094648101941914,0.2,0.175,0.24,0.14,-0.08629339579120343,0.8235294117647058
BP,262147,3,0.3639860264767733,0.22040369394033205,0.295,0.115,0.395,0.07,-0.11812480194076952,0.7729591836734694
BP,262147,4,0.3275976219894609,0.21206266695898568,0.275,0.285,0.405,0.175,-0.12542754570163292,0.7541322314049587
