design,features,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
BP,LEAN209,DIR_ORACLE,0.4864300947790248,0.011500060723747783,0.5286137648696313,0.19168981778995092,0.644343734947004,0.8521133732755206,0.5238400997462688,0.5014630463659392,0.170773261410648,0.7494558164824765,0.9090841675936225,90,83,88,86,5
BP,LEAN209,ANCH_g4_SIGN,0.5991142815120171,0.04096137752429941,0.627776132424047,0.20118220251983857,0.8233272047303029,0.6424654502454952,0.3139924715993724,0.5710598736269819,0.1724853805350571,0.8777840725014596,0.7778024966011617,90,83,88,86,5
BP,LEAN209,ANCH_g16_SIGN,0.6017449718847612,0.04163892479756746,0.6301278593038145,0.20236831854027923,0.8278818261421875,0.6384183931603047,0.3048392648627384,0.5707037425928048,0.17223778810010382,0.8774219797306378,0.7740205166234088,90,83,88,86,5
BP,LEAN209,ANCH_g0.35_SIGN,0.6042483360576124,0.026568390495161794,0.6329080201215852,0.20293752914840107,0.8256592982213974,0.637363700772727,0.29961326365357765,0.5776595767613423,0.1749425394978211,0.8866211944302229,0.7680138425410951,90,83,88,86,5
BP,LEAN209,ANCH_g0_SIGN,0.6051164883476788,0.028086211410601702,0.653292442617666,0.2064688505386308,0.833501186296542,0.6231429276912883,0.25190931344382217,0.6183442369441476,0.18261514973501816,0.952519401675541,0.6818440242244469,90,83,88,86,5
BP,LEAN209,ANCH_g0.6_SIGN,0.60714098384599,0.03197993981861356,0.6381325060597449,0.20318515728839373,0.8313409540184356,0.63142160260654,0.2967607665654798,0.5758826895713619,0.174201485418237,0.884558284274332,0.7683846248918551,90,83,88,86,5
BP,LEAN209,ANCH_g1_SIGN,0.6076014277181857,0.033991523582339034,0.6379531397492384,0.2032785013863821,0.8320108125798328,0.6315788889640748,0.2973752679436068,0.5728084210773648,0.17341366235047803,0.8799209791805073,0.7780744036583859,90,83,88,86,5
BP,LEAN209,ANCH_g2_SIGN,0.6082838809574602,0.04040477649937312,0.6403432043191437,0.2030456493253329,0.8350507263828664,0.6290768780732412,0.29957410183812827,0.572583367698491,0.17290725419634093,0.8800566995317807,0.7775800271907057,90,83,88,86,5
BP,LEAN209,ANCH_g0.15_SIGN,0.6088059305756565,0.03863840150607169,0.6444192437178723,0.20493999010685043,0.8300538103278902,0.6284968958619582,0.2842330459441971,0.5794572409205704,0.1764610740215869,0.8870697052448626,0.7629712025707577,90,83,88,86,5
BP,LEAN209,ANCH_g1e+06_SIGN,0.6091646844216981,0.05950325581560783,0.6303626311732614,0.20520103476839996,0.8414546094606287,0.6263700900887297,0.27606865209643894,0.583974910100009,0.17407889059228596,0.9005160514819746,0.7467062167840811,90,83,88,86,5
