model,mae,mae_sd,macro_mae,r2,n_folds
1NN_tanimoto,0.9887657485316332,0.20601666130115948,0.9729451542641081,0.10313464640114768,25
ET_mech,1.0094496056553546,0.20418100303673603,1.003122408351662,0.10678120480791982,25
3NN_tanimoto,1.0222097447848641,0.2224262886404168,1.0236835413987377,0.08680460062015345,25
KERNEL_donors,1.024456132778458,0.22259240639767522,1.0191974599706113,0.09643655860092135,25
ET_donors,1.0350588852238087,0.20861753202648123,1.0287762173652637,0.07900287239612389,25
5NN_mechanism,1.039556526924701,0.21137355030591293,1.0385419142308892,0.07451090192044943,25
1NN_donors,1.0421474805672628,0.20458829321822686,1.0371169967710585,0.03615726968002034,25
5NN_tanimoto,1.0479998684537764,0.22460828347673994,1.0489073537536866,0.057735918574135126,25
3NN_donors,1.0510863792787475,0.20155605359200593,1.0471826778368891,0.047353752641519156,25
RIDGE_donors,1.0516456765067503,0.21107580281905233,1.046794185489009,0.03475299400581631,25
3NN_mechanism,1.0556486556328204,0.20444499022492993,1.0501203225705575,0.061712314059181546,25
KERNEL_mechanism,1.0642856104101535,0.22206684514970634,1.0593596246424504,0.023700375844912892,25
5NN_donors,1.0696966940703663,0.22161299165760456,1.0661139131527069,0.019097198629673295,25
KERNEL_tanimoto,1.0701740031680078,0.22243595126228283,1.0663718947503684,0.008004577772208412,25
NULL_global_mean,1.0743227740799464,0.22228052482616734,1.0697396066942486,0.0,25
RIDGE_mech,1.074857860946466,0.21588205754190185,1.0709021444668136,0.0008238493040988359,25
1NN_mechanism,1.0766776938543199,0.21587025342996038,1.0663658025308071,-0.00830554242254181,25
