seed,fold,model,mae,macro_mae,n_test,r2
104729,0,NULL_global_mean,1.5674442711526757,1.622397022731145,22,0.0
104729,0,1NN_tanimoto,1.3857188698367853,1.4320180308764026,22,0.19334593970286584
104729,0,3NN_tanimoto,1.539840500482436,1.593478786790894,22,0.06135647233568908
104729,0,5NN_tanimoto,1.5848570915597995,1.6406390250624174,22,0.0024648924381761583
104729,0,KERNEL_tanimoto,1.576205171396215,1.6315751087005672,22,-0.0062585649386099895
104729,0,1NN_mechanism,1.5071935551821027,1.559277225047688,22,0.024517282266421803
104729,0,3NN_mechanism,1.5110191184183193,1.563284957961819,22,0.06265749752404048
104729,0,5NN_mechanism,1.5107869109198653,1.5631325725740113,22,0.0598774783359689
104729,0,KERNEL_mechanism,1.5592944888364393,1.6133942785585642,22,0.01173212253932232
104729,0,1NN_donors,1.3236977999224913,1.3698380860624901,22,0.25605739111954406
104729,0,3NN_donors,1.4923490381911961,1.5500141946724348,22,0.085369063312698
104729,0,5NN_donors,1.56101171555919,1.6200847914937804,22,0.021859826804410787
104729,0,KERNEL_donors,1.5026513132880124,1.5578827509084827,22,0.10044823223216381
104729,0,RIDGE_mech,1.5526430881948208,1.6069030148484624,22,0.007185898754897724
104729,0,ET_mech,1.4812406732009649,1.5314496445181915,22,0.09102308087567046
104729,0,RIDGE_donors,1.5132887226510292,1.5703209019737787,22,0.05143311991545663
104729,0,ET_donors,1.5305276703622903,1.5875413521563566,22,0.07605864006024032
104729,1,NULL_global_mean,1.1087880068997638,1.0521202197342503,70,0.0
104729,1,1NN_tanimoto,1.1255922273131762,1.075644125271885,70,-0.05404848852681621
104729,1,3NN_tanimoto,0.999139900725767,0.9826725975084446,70,0.14610333244327856
104729,1,5NN_tanimoto,1.0228166091853963,0.9914745222030543,70,0.14227485087059455
104729,1,KERNEL_tanimoto,1.1126874457065417,1.0563952570045183,70,-0.008959347777391713
104729,1,1NN_mechanism,1.1151979160106398,1.0796388905613323,70,0.08636997148610781
104729,1,3NN_mechanism,1.1278548146460825,1.0652928788457194,70,0.022272333830090196
104729,1,5NN_mechanism,1.1056829949870444,1.058637932591374,70,0.02449292994404284
104729,1,KERNEL_mechanism,1.1132338695334285,1.0557163863248724,70,-0.006633661161122628
104729,1,1NN_donors,0.9357782622303532,0.9243636323953877,70,0.3927622990422577
104729,1,3NN_donors,1.0370820586891716,0.9971324800256247,70,0.11191388081096587
104729,1,5NN_donors,1.127971844517929,1.0722458820266108,70,-0.026916445589406868
104729,1,KERNEL_donors,1.101034713229015,1.0498526327802689,70,0.022079629225515873
104729,1,RIDGE_mech,1.1254503898200712,1.0658906086023539,70,-0.02014357368779307
104729,1,ET_mech,1.0924368670479427,1.0548044759802808,70,0.06498144356618385
104729,1,RIDGE_donors,1.113161959735214,1.0610859272909896,70,0.005686755831209145
104729,1,ET_donors,1.098644442762235,1.050660291915587,70,0.020756606875512285
104729,2,NULL_global_mean,0.8875214222993972,0.8875214222993973,18,0.0
104729,2,1NN_tanimoto,0.8213882532090621,0.8213882532090622,18,0.08127814050777837
104729,2,3NN_tanimoto,0.8036618351273607,0.8036618351273607,18,0.05961531776177098
104729,2,5NN_tanimoto,0.8588872356747871,0.8588872356747872,18,-0.034535272639663495
104729,2,KERNEL_tanimoto,0.8821818137141157,0.8821818137141159,18,0.006758152744282264
104729,2,1NN_mechanism,1.1492266904713542,1.149226690471354,18,-0.4787473092607111
104729,2,3NN_mechanism,0.9531047460693292,0.9531047460693292,18,-0.08546345937422606
