group_id,safe_exp_id,publication_id,canonical_smiles,metal,D,log_D,system_id,cond__acid_concentration_M,cond__extractant_concentration_M,cond__metal_concentration_mM,cond__temperature_C,tier,duplicate_flag,kept,series_residual
009f1a68f8208139,Eu_SAFE:15161,pub_e287124c22,CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,Eu,0.0100000000000002,-1.9999999999999913,sys_cc7b84baeb2f0f09,1.0,0.2,,20.0,tied_d,TIED_D,True,
009f1a68f8208139,Eu_SAFE:15163,pub_e287124c22,CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,Eu,0.0100000000000002,-1.9999999999999913,sys_cc7b84baeb2f0f09,4.0,0.2,,20.0,tied_d,TIED_D,True,
06082ea5f5a19350,Er_SAFE:13984,pub_51ddfefa0c,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,Pr,0.0817995910023938,-1.087248867793806,sys_50d8d582795f2692,1.0,0.02,1.0,25.0,tied_d,TIED_D,True,
06082ea5f5a19350,Er_SAFE:13985,pub_51ddfefa0c,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,Pr,0.0817995910023796,-1.0872488677938814,sys_50d8d582795f2692,2.0,0.02,1.0,25.0,tied_d,TIED_D,True,
06082ea5f5a19350,Er_SAFE:13986,pub_51ddfefa0c,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,Pr,0.0817995910023796,-1.0872488677938814,sys_50d8d582795f2692,3.0,0.02,1.0,25.0,tied_d,TIED_D,True,
064ade8f9c64ea00,La_SAFE:3883,pub_0a8da089ad,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,La,0.355555555555583,-0.4490925311193854,sys_81e3169a7f85c2b9,0.490141,0.05,5.0,25.0,tied_d,TIED_D,True,
064ade8f9c64ea00,La_SAFE:3885,pub_0a8da089ad,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,La,0.355555555555583,-0.4490925311193854,sys_81e3169a7f85c2b9,1.59728,0.05,5.0,25.0,tied_d,TIED_D,True,
0799270f513d25b3,Ca_SAFE:2262,pub_92d20246e9,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,Eu,0.002,-2.6989700043360187,sys_a7195d8a9d8696e0,0.187442,0.1,3.0,25.0,tied_d,TIED_D,True,
0799270f513d25b3,Ca_SAFE:2273,pub_92d20246e9,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,Eu,0.002,-2.6989700043360187,sys_a7195d8a9d8696e0,2.5,,3.0,25.0,tied_d,TIED_D,True,
0a4426ce79b887e0,Am_SAFE:15261,pub_e287124c22,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,Eu,0.0001,-4.0,sys_33679851b1a145c7,0.01,0.01,,23.0,tied_d,TIED_D,True,
0a4426ce79b887e0,Am_SAFE:15263,pub_e287124c22,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,Eu,0.0001,-4.0,sys_33679851b1a145c7,0.1,0.01,,23.0,tied_d,TIED_D,True,
0a4426ce79b887e0,Am_SAFE:15265,pub_e287124c22,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,Eu,0.0001,-4.0,sys_33679851b1a145c7,1.0,0.01,,23.0,tied_d,TIED_D,True,
0a4426ce79b887e0,Am_SAFE:15271,pub_e287124c22,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,Eu,0.0001,-4.0,sys_f2d38ecb0da2b0d9,0.1,0.01,,23.0,tied_d,TIED_D,True,
0a4426ce79b887e0,Am_SAFE:15273,pub_e287124c22,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,Eu,0.0001,-4.0,sys_f2d38ecb0da2b0d9,1.0,0.01,,23.0,tied_d,TIED_D,True,
0a4426ce79b887e0,Am_SAFE:15277,pub_e287124c22,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,Eu,0.0001,-4.0,sys_f12772ba084e4597,0.01,0.01,,23.0,tied_d,TIED_D,True,
0a4426ce79b887e0,Am_SAFE:15279,pub_e287124c22,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,Eu,0.0001,-4.0,sys_f12772ba084e4597,0.1,0.01,,23.0,tied_d,TIED_D,True,
0b0a7846afd44ded,Ca_SAFE:2691,pub_0e7f3e0563,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Nd,0.613362636091548,-0.21228268325000746,sys_81bcc3c06cbf0b4c,1.0,0.2,141.105,25.0,unit_slip,,True,-0.11132927833414433
0b0a7846afd44ded,Ca_SAFE:2698,pub_0e7f3e0563,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Nd,0.613362636091548,-0.21228268325000746,sys_81bcc3c06cbf0b4c,3.0,0.2,0.9782630000000001,25.0,unit_slip,UNIT_SLIP_DUPLICATE,False,-3.3567065346328455
0b82753ffa662180,Am_SAFE:12714,pub_cdc2243314,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,Eu,0.0232995181051538,-1.6326530612244883,sys_69704e84cfc4c541,2.0557,0.1,,22.0,tied_d,TIED_D,True,
0b82753ffa662180,Am_SAFE:12716,pub_cdc2243314,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,Eu,0.0232995181051538,-1.6326530612244883,sys_69704e84cfc4c541,4.12678,0.1,,22.0,tied_d,TIED_D,True,
0bb18d038446c877,Eu_SAFE:15759,pub_e287124c22,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,Eu,0.002,-2.6989700043360187,sys_a0a20bdf08a56c48,0.01,0.01,,22.0,tied_d,TIED_D,True,
0bb18d038446c877,Eu_SAFE:15763,pub_e287124c22,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,Eu,0.002,-2.6989700043360187,sys_a0a20bdf08a56c48,1.02,0.01,,22.0,tied_d,TIED_D,True,
0d6c7c5d66133aec,Er_SAFE:13973,pub_51ddfefa0c,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,Pr,0.04,-1.3979400086720375,sys_c05a0c2b6de01295,1.0,0.02,1.0,25.0,tied_d,TIED_D,True,
0d6c7c5d66133aec,Er_SAFE:13974,pub_51ddfefa0c,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,Pr,0.04,-1.3979400086720375,sys_c05a0c2b6de01295,2.0,0.02,1.0,25.0,tied_d,TIED_D,True,
0fa7a57c393f9174,Ca_SAFE:12956,pub_1605e436d7,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Ce,1.26,0.10037054511756291,sys_5cb78e5000d40860,0.00933254,0.1,0.0001,25.0,tied_d,TIED_D,True,
0fa7a57c393f9174,Ca_SAFE:13088,pub_1605e436d7,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Ce,1.26,0.10037054511756291,sys_5cb78e5000d40860,0.016,0.2,0.0001,25.0,tied_d,TIED_D,True,
10b06cbf3aab2a54,Er_SAFE:9060,pub_19783c039b,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,Tb,150.583635427983,2.177777777777775,sys_1419f400c83e9ad8,4.9913,0.024,3.0,25.0,tied_d,TIED_D,True,
10b06cbf3aab2a54,Er_SAFE:9061,pub_19783c039b,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,Tb,150.583635427983,2.177777777777775,sys_1419f400c83e9ad8,5.9942,0.024,3.0,25.0,tied_d,TIED_D,True,
13ba203fb5d65955,Lu_SAFE:14006,pub_51ddfefa0c,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,Pr,0.0390243902439033,-1.4086638740638011,sys_6465ea8d24c9cc3e,2.0,0.02,1.0,25.0,tied_d,TIED_D,True,
13ba203fb5d65955,Lu_SAFE:14009,pub_51ddfefa0c,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,Pr,0.0390243902439033,-1.4086638740638011,sys_6465ea8d24c9cc3e,5.0,0.02,1.0,25.0,tied_d,TIED_D,True,
13bab829627090b6,Eu_SAFE:15810,pub_515c63b970,CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1,Eu,0.1,-1.0,sys_b8f81fa04bff30f5,0.1,0.2,,20.0,tied_d,TIED_D,True,
13bab829627090b6,Eu_SAFE:15811,pub_515c63b970,CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1,Eu,0.1,-1.0,sys_b8f81fa04bff30f5,1.0,0.2,,20.0,tied_d,TIED_D,True,
1521f7b3fa3e90b9,Er_SAFE:3716,pub_7bbf4ac140,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,Eu,0.022,-1.6575773191777938,sys_a9fea6791c7a14d6,0.482,0.75,0.00256,21.85000000000002,tied_d,TIED_D,True,
1521f7b3fa3e90b9,Er_SAFE:3766,pub_7bbf4ac140,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,Eu,0.022,-1.6575773191777938,sys_a9fea6791c7a14d6,0.311,1.0,0.00256,21.85000000000002,tied_d,TIED_D,True,
158cae0a781c7f2a,Eu_SAFE:15529,pub_e287124c22,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,Eu,0.001,-3.0,sys_af1f92585fd4a713,0.1,0.01,,21.0,tied_d,TIED_D,True,
158cae0a781c7f2a,Eu_SAFE:15531,pub_e287124c22,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,Eu,0.001,-3.0,sys_af1f92585fd4a713,0.2,0.01,,21.0,tied_d,TIED_D,True,
158cae0a781c7f2a,Eu_SAFE:15533,pub_e287124c22,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,Eu,0.001,-3.0,sys_af1f92585fd4a713,0.5,0.01,,21.0,tied_d,TIED_D,True,
158cae0a781c7f2a,Eu_SAFE:15535,pub_e287124c22,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,Eu,0.001,-3.0,sys_af1f92585fd4a713,1.0,0.01,,21.0,tied_d,TIED_D,True,
158cae0a781c7f2a,Eu_SAFE:15537,pub_e287124c22,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,Eu,0.001,-3.0,sys_af1f92585fd4a713,2.0,0.01,,21.0,tied_d,TIED_D,True,
158cae0a781c7f2a,Eu_SAFE:15539,pub_e287124c22,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,Eu,0.001,-3.0,sys_af1f92585fd4a713,4.0,0.01,,21.0,tied_d,TIED_D,True,
1734e88125b7e708,Lu_SAFE:14010,pub_51ddfefa0c,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,Pr,0.003547671840355,-2.4500565592220074,sys_a97d5693964cd918,1.0,0.02,1.0,25.0,tied_d,TIED_D,True,
1734e88125b7e708,Lu_SAFE:14014,pub_51ddfefa0c,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,Pr,0.003547671840355,-2.4500565592220074,sys_a97d5693964cd918,5.0,0.02,1.0,25.0,tied_d,TIED_D,True,
17477e461caaa777,Eu_SAFE:14853,pub_e287124c22,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,Eu,0.001,-3.0,sys_9ea6140a65fad383,0.001,0.1,,22.0,tied_d,TIED_D,True,
17477e461caaa777,Eu_SAFE:14855,pub_e287124c22,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,Eu,0.001,-3.0,sys_9ea6140a65fad383,4.0,0.1,,22.0,tied_d,TIED_D,True,
