loading_series_id,definition,system_id,ligand_name,metal,publication_id,acid_nominal_M,ligand_M,n_points,n_distinct_mM,mM_min,mM_max,log_d_tracer,log_d_min,log_d_max,log_d_range,loading_active,tracer_record_id,record_ids
ls_sys_07ee9637c98c1e20_Ce_pub_917a4583d4_3_0.1,publication_aware,sys_07ee9637c98c1e20,TODGA,Ce,pub_917a4583d4,3.0,0.1,8,8,0.011,52.417,1.0,1.0,1.6501807773315609,0.6501807773315609,True,Ce_SAFE:3671,Ce_SAFE:3647;Ce_SAFE:3648;Ce_SAFE:3649;Ce_SAFE:3650;Ce_SAFE:3651;Ce_SAFE:3652;Ce_SAFE:3653;Ce_SAFE:3671
ls_sys_5cb78e5000d40860_Nd_pub_5a68dc5665_3_0.1,publication_aware,sys_5cb78e5000d40860,TODGA,Nd,pub_5a68dc5665,3.0,0.1,6,6,4.9,12.0,1.3710678622717363,-0.2218487496163564,1.3710678622717363,1.5929166118880926,True,Ca_SAFE:2222,Ca_SAFE:2217;Ca_SAFE:2219;Ca_SAFE:2220;Ca_SAFE:2221;Ca_SAFE:2222;Ca_SAFE:2224
ls_sys_5cb78e5000d40860_Nd_pub_d3c970567f_3_0.1,publication_aware,sys_5cb78e5000d40860,TODGA,Nd,pub_d3c970567f,3.0,0.1,4,4,4.2,6.8,-0.032184683371401034,-0.032184683371401034,-0.019595556063380523,0.01258912730802051,False,Ca_SAFE:2810,Ca_SAFE:2806;Ca_SAFE:2808;Ca_SAFE:2809;Ca_SAFE:2810
ls_sys_5cb78e5000d40860_Nd_pub_d3c970567f_3_0.2,publication_aware,sys_5cb78e5000d40860,TODGA,Nd,pub_d3c970567f,3.0,0.2,4,4,9.7,13.0,-0.022983906920689447,-0.027583521632088284,-0.02039315864184351,0.007190362990244774,False,Ca_SAFE:2807,Ca_SAFE:2803;Ca_SAFE:2805;Ca_SAFE:2807;Ca_SAFE:2813
ls_sys_5cb78e5000d40860_Nd_pub_d3c970567f_3_0.3,publication_aware,sys_5cb78e5000d40860,TODGA,Nd,pub_d3c970567f,3.0,0.3,8,8,20.0,30.4,-0.03151705144606486,-0.03266911675336814,0.0015427884142812471,0.03421190516764938,False,Ca_SAFE:2802,Ca_SAFE:2801;Ca_SAFE:2802;Ca_SAFE:2804;Ca_SAFE:2812;Ca_SAFE:2817;Ca_SAFE:2818;Ca_SAFE:2819;Ca_SAFE:2820
ls_sys_740f07a521006be1_Nd_pub_5a68dc5665_3_0.1,publication_aware,sys_740f07a521006be1,TDDGA,Nd,pub_5a68dc5665,3.0,0.1,6,6,20.0,30.0,0.9542425094393243,0.6020599913279624,0.9542425094393243,0.3521825181113619,True,Ca_SAFE:2216,Ca_SAFE:2212;Ca_SAFE:2213;Ca_SAFE:2214;Ca_SAFE:2215;Ca_SAFE:2216;Ca_SAFE:2225
ls_sys_81bcc3c06cbf0b4c_Nd_pub_0e7f3e0563_1_0.2,publication_aware,sys_81bcc3c06cbf0b4c,D3DODGA,Nd,pub_0e7f3e0563,1.0,0.2,18,18,7.34071,289.7,0.7134039428374281,-0.6080815017509025,1.8195171313770626,2.427598633127965,True,Ca_SAFE:2689,Ca_SAFE:2673;Ca_SAFE:2674;Ca_SAFE:2675;Ca_SAFE:2677;Ca_SAFE:2678;Ca_SAFE:2679;Ca_SAFE:2680;Ca_SAFE:2681;Ca_SAFE:2683;Ca_SAFE:2684;Ca_SAFE:2685;Ca_SAFE:2686;Ca_SAFE:2687;Ca_SAFE:2688;Ca_SAFE:2689;Ca_SAFE:2690;Ca_SAFE:2691;Ca_SAFE:2692
ls_sys_81bcc3c06cbf0b4c_Nd_pub_0e7f3e0563_3_0.2,publication_aware,sys_81bcc3c06cbf0b4c,D3DODGA,Nd,pub_0e7f3e0563,3.0,0.2,8,8,8.2,289.3,1.6020599913279614,-0.5588771869160883,1.6020599913279614,2.16093717824405,True,Ca_SAFE:2682,Ca_SAFE:2667;Ca_SAFE:2668;Ca_SAFE:2669;Ca_SAFE:2670;Ca_SAFE:2671;Ca_SAFE:2672;Ca_SAFE:2676;Ca_SAFE:2682
ls_sys_a7195d8a9d8696e0_Nd_pub_15b174237f_1_0.2,publication_aware,sys_a7195d8a9d8696e0,TEHDGA,Nd,pub_15b174237f,1.0,0.2,3,3,6.93279,41.5968,1.1723990414341974,0.12757883277450952,1.1723990414341974,1.0448202086596878,True,Ca_SAFE:2347,Ca_SAFE:2345;Ca_SAFE:2346;Ca_SAFE:2347
ls_sys_a7195d8a9d8696e0_Nd_pub_5a68dc5665_3_0.1,publication_aware,sys_a7195d8a9d8696e0,TEHDGA,Nd,pub_5a68dc5665,3.0,0.1,6,6,2.3,9.7,0.27300127206373764,-0.7729500566978352,0.27300127206373764,1.045951328761573,True,Ca_SAFE:2204,Ca_SAFE:2200;Ca_SAFE:2201;Ca_SAFE:2202;Ca_SAFE:2204;Ca_SAFE:2208;Ca_SAFE:2223
lsb_sys_07ee9637c98c1e20_Ce_3_0.1,publication_blind,sys_07ee9637c98c1e20,TODGA,Ce,pub_917a4583d4,3.0,0.1,8,8,0.011,52.417,1.0,1.0,1.6501807773315609,0.6501807773315609,True,Ce_SAFE:3671,Ce_SAFE:3647;Ce_SAFE:3648;Ce_SAFE:3649;Ce_SAFE:3650;Ce_SAFE:3651;Ce_SAFE:3652;Ce_SAFE:3653;Ce_SAFE:3671
