design,check,point,e_random,e_model,n_tasks,median_candidates,frac_tasks_constant_call,saved_frac,ci_low,ci_high,p_block,p_perm,null_sd,n_groups,n_task_slots_before,n_dropped,baseline_pooled,loco_min,loco_max,worst_block,n_sign_flips,n_ext,null_mean
B,headline_reproduced,2.2065445536908452,6.905645338426908,4.699100784736062,455.0,58.0,0.0,0.3195276394245714,0.5207022547142526,4.117731795599427,0.007,0.0,0.15240385943617352,,,,,,,,,,
B,within_publication_min5,0.009434818794574893,6.237882634528976,6.228447815734401,1230.0,6.0,0.8504065040650407,0.0015125034161992243,-0.0019461154532750997,0.027043523606023606,0.8814855270344074,0.0015,0.0026939609094171427,4.0,13770.0,12540.0,2.2065445536908452,,,,,,
B,within_publication_min4,0.07570989110196531,4.702533661766376,4.626823770664412,2965.0,4.0,0.7524451939291736,0.016099808432530602,-0.002574268475954738,0.22359417495655812,0.33933933933933935,0.0,0.0035814161891190963,11.0,13770.0,10805.0,2.2065445536908452,,,,,,
B,within_publication_min3,0.056190194522484894,4.256907544548345,4.20071735002586,3995.0,4.0,0.8160200250312891,0.013199768595971852,-0.0010891334374249339,0.15407341674765132,0.249,0.0,0.002656981778047378,13.0,13770.0,9775.0,2.2065445536908452,,,,,,
B,within_chemotype_min5,0.37470864257024555,5.506297815238748,5.131589172668503,1335.0,5.0,0.5797752808988764,0.06805092189769227,0.0,0.7774010116867259,0.2040603852160333,0.0,0.013792086246938985,3.0,13395.0,12060.0,2.2065445536908452,,,,,,
B,within_chemotype_min4,0.35352370164754615,5.405823969383083,5.052300267735537,1415.0,5.0,0.6035335689045936,0.06539682084540584,0.0,0.7004306144900204,0.24784154393092941,0.0,0.012634660422985285,4.0,13395.0,11980.0,2.2065445536908452,,,,,,
B,within_chemotype_min3,0.23607686592673782,4.753731157640589,4.517654291713852,2030.0,5.0,0.5039408866995074,0.04966138346870871,-0.11453900709219851,0.5775773195876288,0.29,0.0,0.008985425668034886,7.0,13395.0,11365.0,2.2065445536908452,,,,,,
B,lopo_publication_rerun,2.2065445536908452,,,,,,,,,,,,58.0,,,,1.5427255271750302,2.6006800272154047,pub_126bbe7976,0.0,,
B,lopo_worst_publication_ci,1.5427255271750302,,,,,,,0.316000673814389,2.4788513201153184,0.01,,,1.0,,,,,,pub_126bbe7976,,,
B,drop_sc009_altseed_ci,1.4906163830083377,,,,,,,0.2807181875890753,2.448477487181074,0.01,,,44.0,,,,,,,,67.0,
