design,check,point,null_mean,null_sd,null_q95,null_q975,p_vs_null,z,e_random,e_model,saved_frac,n_tasks
B,coherent_random_null,2.2065445536908452,0.0011156084231757593,1.1618434998226208,1.5494579982438295,1.7580439020122502,0.002,1.8982151603071957,,,,
B,wm_dentate_hi,1.6238331520106004,,,,,0.041,1.39667480502767,,,,
B,wm_dentate_lo,-0.9517526439687913,,,,,0.8125,-0.8201347707651175,,,,
B,wm_nmetals_hi,-0.9380186662776098,,,,,0.81,-0.8083139208027273,,,,
B,wm_nmetals_lo,-0.9502042071351745,,,,,0.8125,-0.8188020294502562,,,,
B,wm_absa_hi,-0.8405173108929503,,,,,0.7895,-0.7243943951527194,,,,
B,wm_absa_lo,-1.6791079866886136,,,,,0.9065,-1.446170327904154,,,,
B,constant_HEAVIER_ALWAYS,0.0,,,,,,,,,,
B,constant_LIGHTER_ALWAYS,0.0,,,,,,,,,,
B,constant_NO_CALL,0.0,,,,,,,,,,
B,call_constant_across_pairs_frac,0.8644444444444443,,,,,,,,,,
B,frac_all,2.2065445536908452,,,,,,,6.905645338426908,4.699100784736062,0.3195276394245714,455.0
B,frac_drop_sc009,1.4906163830083377,,,,,,,6.195052763097418,4.70443638008908,0.24061399313458884,455.0
B,frac_nmet_5_8,0.40263488615761345,,,,,,,6.67271829601375,6.270083409856137,0.06034045920957664,330.0
B,frac_nmet_9_14,1.9349204323497564,,,,,,,6.209173952297773,4.274253519948017,0.3116228418167795,455.0
BR,coherent_random_null,2.1492837329594243,0.0024305992688900134,1.1651171182396332,1.5578510876918084,1.7753977467399193,0.0035,1.8426071508881432,,,,
BR,wm_dentate_hi,1.64173184790828,,,,,0.044,1.4069840902485393,,,,
BR,wm_dentate_lo,-0.9438181327850739,,,,,0.809,-0.8121490253989608,,,,
BR,wm_nmetals_hi,-0.9181798004594064,,,,,0.805,-0.7901440853596244,,,,
BR,wm_nmetals_lo,-0.9020553252997809,,,,,0.802,-0.7763047254298796,,,,
BR,wm_absa_hi,-0.8198236858046378,,,,,0.7895,-0.7057267224052683,,,,
BR,wm_absa_lo,-1.8136475104539016,,,,,0.9195,-1.5587086321988735,,,,
BR,constant_HEAVIER_ALWAYS,0.0,,,,,,,,,,
BR,constant_LIGHTER_ALWAYS,0.0,,,,,,,,,,
BR,constant_NO_CALL,0.0,,,,,,,,,,
BR,call_constant_across_pairs_frac,0.8066666666666666,,,,,,,,,,
BR,frac_all,2.1492837329594243,,,,,,,6.905645338426908,4.756361605467484,0.3112357538837966,455.0
BR,frac_drop_sc009,1.5083632518029475,,,,,,,6.195052763097418,4.686689511294469,0.24347867717736635,455.0
BR,frac_nmet_5_8,0.2618515112833295,,,,,,,6.67271829601375,6.4108667847304215,0.03924210489145905,330.0
BR,frac_nmet_9_14,1.9146017953246108,,,,,,,6.209173952297773,4.294572156973162,0.30835048430493583,455.0
BQ,coherent_random_null,2.1789980625836822,0.0006705503983528836,1.1580931441495212,1.5443875067111337,1.7715520510764353,0.0025,1.8809605455224814,,,,
BQ,wm_dentate_hi,1.5905272615281398,,,,,0.0455,1.3728228330868357,,,,
BQ,wm_dentate_lo,-0.923987949248845,,,,,0.809,-0.7984318915265207,,,,
BQ,wm_nmetals_hi,-0.9752506960904725,,,,,0.816,-0.8426966789493612,,,,
BQ,wm_nmetals_lo,-0.8878654176588435,,,,,0.801,-0.7672405043980449,,,,
BQ,wm_absa_hi,-0.7989390243414544,,,,,0.7815,-0.6904535950146077,,,,
BQ,wm_absa_lo,-1.7087041613320721,,,,,0.911,-1.4760252405999288,,,,
BQ,constant_HEAVIER_ALWAYS,0.0,,,,,,,,,,
BQ,constant_LIGHTER_ALWAYS,0.0,,,,,,,,,,
BQ,constant_NO_CALL,0.0,,,,,,,,,,
BQ,call_constant_across_pairs_frac,0.8177777777777777,,,,,,,,,,
BQ,frac_all,2.1789980625836822,,,,,,,6.905645338426908,4.726647275843226,0.31553865798153685,455.0
BQ,frac_drop_sc009,1.479286917061799,,,,,,,6.195052763097418,4.715765846035618,0.23878520064810255,455.0
BQ,frac_nmet_5_8,0.42477834455107183,,,,,,,6.67271829601375,6.247939951462678,0.0636589656129845,330.0
BQ,frac_nmet_9_14,1.9129934123136068,,,,,,,6.209173952297773,4.2961805399841655,0.3080914509740354,455.0
A,coherent_random_null,2.4915092721446888,0.0016645033214139566,1.169390857795639,1.5633968829366114,1.7900297094554083,0.0,2.1291809767666208,,,,
A,wm_dentate_hi,1.4784029338389784,,,,,0.0625,1.2628270698997008,,,,
A,wm_dentate_lo,-0.9134912692924912,,,,,0.803,-0.7825918652545483,,,,
A,wm_nmetals_hi,0.03849932632904096,,,,,0.565,0.03149915424947183,,,,
A,wm_nmetals_lo,-1.0549812346600353,,,,,0.8255,-0.9035864535261376,,,,
A,wm_absa_hi,-0.8152846703438545,,,,,0.7845,-0.6986108778080061,,,,
A,wm_absa_lo,-1.9032782090014038,,,,,0.927,-1.6290042799836244,,,,
A,constant_HEAVIER_ALWAYS,0.0,,,,,,,,,,
A,constant_LIGHTER_ALWAYS,0.0,,,,,,,,,,
A,constant_NO_CALL,0.0,,,,,,,,,,
A,call_constant_across_pairs_frac,0.8511111111111112,,,,,,,,,,
A,frac_all,2.4915092721446888,,,,,,,6.905645338426908,4.41413606628222,0.36079311201815206,455.0
A,frac_drop_sc009,1.7036497146645004,,,,,,,6.195052763097417,4.491403048432916,0.2750016472519446,455.0
A,frac_nmet_5_8,0.5543204648886466,,,,,,,6.67271829601375,6.118397831125104,0.0830726609903186,330.0
A,frac_nmet_9_14,2.142085464568882,,,,,,,6.209173952297773,4.067088487728891,0.34498718847716925,455.0
BP,coherent_random_null,1.9882198208352135,0.0009219510014294841,1.1199099857691412,1.5346706330116293,1.7632224663737779,0.006,1.774515715625958,,,,
BP,wm_dentate_hi,1.353818707457593,,,,,0.0805,1.2080406225925466,,,,
BP,wm_dentate_lo,-0.9337247216562365,,,,,0.8105,-0.8345730322386236,,,,
BP,wm_nmetals_hi,-0.6770883457949146,,,,,0.766,-0.6054149935369086,,,,
BP,wm_nmetals_lo,-0.9811800290975123,,,,,0.8175,-0.8769472480633749,,,,
BP,wm_absa_hi,-0.8098952987376891,,,,,0.79,-0.7240021609256914,,,,
BP,wm_absa_lo,-1.5216735752084678,,,,,0.8975,-1.3595695596590258,,,,
BP,constant_HEAVIER_ALWAYS,0.0,,,,,,,,,,
BP,constant_LIGHTER_ALWAYS,0.0,,,,,,,,,,
BP,constant_NO_CALL,0.0,,,,,,,,,,
BP,call_constant_across_pairs_frac,0.5955555555555556,,,,,,,,,,
BP,frac_all,1.9882198208352135,,,,,,,6.905645338426908,4.917425517591694,0.2879122404059236,455.0
BP,frac_drop_sc009,1.45905979045688,,,,,,,6.195052763097418,4.7359929726405365,0.23552015555834843,455.0
BP,frac_nmet_5_8,0.2946198330289239,,,,,,,6.67271829601375,6.378098462984826,0.04415289541069468,330.0
BP,frac_nmet_9_14,1.751705479570677,,,,,,,6.209173952297773,4.457468472727096,0.28211570380025175,455.0
