design,arm,saved,e_random,saved_frac,ci_low,ci_high,p_block,p_perm,n_tasks
B,G14,2.2065445536908452,6.905645338426908,0.3195276394245714,0.5207022547142526,4.117731795599427,0.007,0.0,455
B,DIR_DONORS13,-2.812358680314784,6.905645338426908,-0.40725501274518594,-8.828896297108669,-0.9036386108847908,0.002,1.0,455
B,DIR_BITE6,1.4894363300330387,6.905645338426908,0.21568387269253092,-0.35169772713593667,3.1881251431649664,0.179,0.0,455
B,DIR_MASSACT8,-0.07301216675670116,6.905645338426908,-0.010572823129276604,-2.8724483098077362,0.6943511593082485,0.35,0.689,455
BR,G14,2.1492837329594243,6.905645338426908,0.3112357538837966,0.45498735518339195,3.984879465635062,0.009,0.0,455
BR,DIR_DONORS13,-2.0606443859839993,6.905645338426908,-0.29839997349956726,-7.174151853299023,-0.49935966966425355,0.008,1.0,455
BR,DIR_BITE6,1.3910716433260815,6.905645338426908,0.20143977501789354,-0.2707842475648232,3.063250595691629,0.15,0.0,455
BR,DIR_MASSACT8,-0.10354402271285992,6.905645338426908,-0.014994112445462924,-3.484898280115633,0.7606091323486237,0.365,0.7435,455
BQ,G14,2.1789980625836822,6.905645338426908,0.31553865798153685,0.4682765413067176,4.069607086751335,0.01,0.0,455
BQ,DIR_DONORS13,-1.9618377821322432,6.905645338426908,-0.28409188221924325,-6.418021370639066,-0.7059305197627063,0.004,1.0,455
BQ,DIR_BITE6,1.4633673013815927,6.905645338426908,0.2119088411967222,-0.35292044410301404,3.1404649945953103,0.183,0.0,455
BQ,DIR_MASSACT8,-0.7404665128415607,6.905645338426908,-0.10722625859761248,-4.05225156950776,0.27883374874664363,0.116,1.0,455
A,G14,2.4915092721446888,6.905645338426908,0.36079311201815206,0.7708890886974877,4.544156307830471,0.004,0.0,455
A,DIR_DONORS13,-0.8561723798977242,6.905645338426908,-0.12398151627241816,-4.648696879734854,0.00724296431464327,0.051,1.0,455
A,DIR_BITE6,1.7142187424857014,6.905645338426908,0.24823440221391344,-0.09769896513682758,3.482897273244462,0.075,0.0,455
A,DIR_MASSACT8,0.6443004501046765,6.905645338426908,0.09330054159014295,-2.06134062088852,1.8650346496982877,0.967,0.0,455
BP,G14,1.9882198208352135,6.905645338426908,0.2879122404059236,0.442490226935938,3.7807742090797767,0.009,0.0,455
BP,DIR_DONORS13,-3.1424913446097524,6.905645338426908,-0.45506121305175595,-7.903582501207663,-1.6774366637415072,0.0,1.0,455
BP,DIR_BITE6,0.10249297094072143,6.905645338426908,0.014841910627873213,-1.9951866907257085,1.267768021572126,0.723,0.2435,455
BP,DIR_MASSACT8,-1.7170665782725885,6.905645338426908,-0.24864679463306072,-6.585663956343925,-0.5709939068791987,0.002,1.0,455
