design,subset,point,saved_frac,ci_low,ci_high,p_two_sided,frac_ci_low,frac_ci_high,n_ext,n_blocks,n_tasks
B,drop_sc009,1.4906163830083377,0.24061399313458884,0.2693525521351146,2.4354526794834888,0.013,0.0407942814612878,0.2924408163428507,67,44,455
B,nmet_5_8,0.40263488615761345,0.06034045920957664,-0.011174247448979623,0.4953047309228786,0.06,-0.0018889475664961202,0.07069079936786381,26,16,330
B,nmet_9_14,1.9349204323497564,0.3116228418167795,0.4473867983129921,3.6014717566806507,0.013,0.06190241402353182,0.3770345768550907,52,27,455
BR,drop_sc009,1.5083632518029475,0.24347867717736635,0.22186034942090258,2.454380519631713,0.021,0.03241472932136699,0.2988116243113611,67,44,455
BR,nmet_5_8,0.2618515112833295,0.03924210489145905,0.0008907810473821307,0.38192074648939395,0.05,9.279019197730783e-05,0.06234738504791886,26,16,330
BR,nmet_9_14,1.9146017953246108,0.30835048430493583,0.3494719649999235,3.4927210559701005,0.018,0.050861095930422213,0.37117440487484904,52,27,455
BQ,drop_sc009,1.479286917061799,0.23878520064810255,0.2109613316685624,2.4071290690655753,0.02,0.031165963211571383,0.2942471680959535,67,44,455
BQ,nmet_5_8,0.42477834455107183,0.0636589656129845,-0.005389177285363725,0.5171713693681507,0.055,-0.0008759250915712322,0.07390850568501185,26,16,330
BQ,nmet_9_14,1.9129934123136068,0.3080914509740354,0.35878051035366987,3.5042630737538443,0.017,0.05458704253187804,0.37162767313172157,52,27,455
A,drop_sc009,1.7036497146645004,0.2750016472519446,0.5079905251191867,2.6407864527653695,0.011,0.06809333362838944,0.32176205458526497,67,44,455
A,nmet_5_8,0.5543204648886466,0.0830726609903186,0.05167423203829353,0.6313320928345437,0.025,0.008893607021023021,0.09209712759488876,26,16,330
A,nmet_9_14,2.142085464568882,0.34498718847716925,0.6425022442431834,3.9442799296202504,0.007,0.08768671489927911,0.41664426995833764,52,27,455
BP,drop_sc009,1.45905979045688,0.23552015555834843,0.2519674427429986,2.3459190772181278,0.023,0.03480021544021051,0.2866323706318047,67,44,455
BP,nmet_5_8,0.2946198330289239,0.04415289541069468,-0.004463014246102492,0.4032800684296755,0.055,-0.0009110671936573279,0.060506208678082075,26,16,330
BP,nmet_9_14,1.751705479570677,0.28211570380025175,0.4016532676046702,3.5114265773786606,0.012,0.05584386345000471,0.3626664052001816,52,27,455
