label,n_stages,trees_per_stage,learning_rate,max_features,min_samples_leaf,max_depth,subsample,row_delta,pair_delta,span_delta,clip_to_training_range,n_jobs,inner_macro_mae,inner_sd,seconds,is_frozen_equivalent
s10x120_lr0.3_d1_leaf2,10,120,0.3,0.3,2,,1.0,1.0,0.5,0.5,True,-1,1.0017783838988998,0.12231242135612423,105.33349132537842,False
s16x50_lr0.25_d1_leaf2,16,50,0.25,0.3,2,,1.0,1.0,0.5,0.5,True,-1,1.0044731936913753,0.12089862160015957,76.87884998321533,False
s10x60_lr0.3_d1_leaf2,10,60,0.3,0.3,2,,1.0,1.0,0.5,0.5,True,-1,1.0096564494110578,0.12107936856032733,53.66651010513306,False
s25x40_lr0.2_d1_leaf5,25,40,0.2,0.3,5,,1.0,1.0,0.5,0.5,True,-1,1.0103146072570597,0.11656154563605414,92.96781063079834,False
s25x40_lr0.2_d1_leaf2,25,40,0.2,0.3,2,,1.0,1.0,0.5,0.5,True,-1,1.0130359375191456,0.12190832218618776,93.91261696815491,False
s10x60_lr0.3_d3_leaf2,10,60,0.3,0.3,2,,1.0,3.0,0.5,0.5,True,-1,1.0154474863299945,0.10629750727807828,54.18480682373047,False
s40x30_lr0.15_d1_leaf2,40,30,0.15,0.3,2,,1.0,1.0,0.5,0.5,True,-1,1.0161868065723916,0.123416146246436,118.20448565483093,False
s1x400_lr1_dsq_leaf2,1,400,1.0,0.3,2,,1.0,1000000.0,0.5,0.5,True,-1,1.0183667375331018,0.11760478821968008,32.637625217437744,True
s10x60_lr0.3_dsq_leaf2,10,60,0.3,0.3,2,,1.0,1000000.0,0.5,0.5,True,-1,1.0195568539240365,0.12245035024562355,54.84964990615845,False
s25x40_lr0.2_d3_leaf2,25,40,0.2,0.3,2,,1.0,3.0,0.5,0.5,True,-1,1.020525754632892,0.11591253261697573,90.36741614341736,False
s4x100_lr0.5_d1_leaf2,4,100,0.5,0.3,2,,1.0,1.0,0.5,0.5,True,-1,1.0264290288357614,0.1190222068859407,34.29832983016968,False
s1x400_lr1_d1_leaf2,1,400,1.0,0.3,2,,1.0,1.0,0.5,0.5,True,-1,1.1351955855823395,0.14455843419730682,32.62457609176636,False
