comparison,n_seeds,chemotype,n_rows,n_ligands,n_units,mean_nn_train_tanimoto,macro_mae_reference,macro_mae_candidate,macro_mae_delta,level_mae_reference,level_mae_candidate,level_mae_delta,shape_mae_reference,shape_mae_candidate,shape_mae_delta,rank
HEADLINE_full_pool_vs_control,1,tan086,4,1,1,0.475,1.4576067898730383,2.070444593791903,-0.6128378039188647,1.4576067898730383,2.070444593791903,-0.6128378039188647,0.025775403903198546,0.03520336904499555,-0.009427965141797001,1
HEADLINE_full_pool_vs_control,1,tan063,8,1,1,0.56,0.6689096290015664,1.0809438030741536,-0.41203417407258724,0.6689096290015664,1.0809438030741536,-0.41203417407258724,0.1491505737388041,0.1255088094297556,0.02364176430904852,2
HEADLINE_full_pool_vs_control,1,tan043,6,1,1,0.42,0.32202827985714944,0.6610951050587972,-0.33906682520164777,0.32202827985714944,0.6610951050587972,-0.33906682520164777,0.11145568385965994,0.10752639710925675,0.003929286750403188,3
HEADLINE_full_pool_vs_control,1,tan091,14,1,1,0.375,0.7186072531576374,1.007759452055663,-0.28915219889802557,0.7186072531576374,1.007759452055663,-0.28915219889802557,0.05750367840580306,0.08137733397639756,-0.023873655570594496,4
HEADLINE_full_pool_vs_control,1,tan031,6,1,1,0.5833333333333334,0.7940953287168785,1.0448570374072939,-0.25076170869041536,0.1577418743860102,0.34934133805849293,-0.19159946367248273,0.7820292791015507,0.9662376331467382,-0.18420835404518743,5
HEADLINE_full_pool_vs_control,1,tan005,8,1,1,0.3448275862068966,0.4680077039297233,0.6723354857427926,-0.20432778181306926,0.4680077039297233,0.6723354857427926,-0.20432778181306926,0.16872953786493863,0.15300607607423986,0.01572346179069878,6
HEADLINE_full_pool_vs_control,1,tan007,6,1,1,0.25396825396825395,0.25029776771667955,0.4450044320662357,-0.19470666434955614,0.1608222591784465,0.16713599584729688,-0.006313736668850378,0.22179998102044038,0.3892924334504701,-0.16749245243002972,7
HEADLINE_full_pool_vs_control,1,tan046,67,3,3,0.46796554555721376,0.6447258115526083,0.8217597065448675,-0.1770338949922592,0.38093582284964095,0.46416752048812854,-0.08323169763848759,0.5334633008879962,0.5009907012115039,0.0324725996764923,8
HEADLINE_full_pool_vs_control,1,tan067,132,6,2,0.6666730328495036,1.4968004830234962,1.6727890969340895,-0.17598861391059328,1.4001887895032847,1.5796201220627761,-0.1794313325594914,0.30123137312405257,0.33025286823257655,-0.029021495108523976,9
HEADLINE_full_pool_vs_control,1,tan025,28,1,1,0.23809523809523808,1.7301661463705749,1.904781266357405,-0.17461511998683021,1.7301661463705749,1.904781266357405,-0.17461511998683021,0.2855793304779113,0.3003262423073117,-0.014746911829400411,10
