arm,n_folds,n_aux_min,n_aux_max,aux_weight_share_min,aux_weight_share_max,expected,as_designed
E_LN_PLUS_ALL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,5,1785,5034,0.4999999999999999,0.5000000000000001,0.5,True
E_LN_PLUS_ALL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1|LOMO_Am,5,1324,3428,0.5,0.5000000000000001,0.5,True
E_LN_PLUS_ALL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1|LOMO_GROUP_all_actinide,5,43,489,0.4999999999999998,0.5000000000000002,0.5,True
