group,kind,metal_category,metals,n_metals,n_cells,pool_share
Am,metal,actinide,Am,1,1664,0.32653061224489793
U,metal,actinide,U,1,995,0.19525117739403453
Th,metal,actinide,Th,1,724,0.14207221350078492
Pu,metal,actinide,Pu,1,679,0.13324175824175824
Np,metal,actinide,Np,1,403,0.07908163265306123
Sr,metal,alkaline_earth,Sr,1,167,0.032770800627943485
Cm,metal,actinide,Cm,1,120,0.023547880690737835
other_transition_metal,category_remainder,transition_metal,Cr|Fe|Hf|Mo|Pd|Ru|Tc|Zr,8,109,0.021389324960753534
other_alkaline_earth,category_remainder,alkaline_earth,Ba|Ca,2,66,0.012951334379905808
other_rare_earth_non_lanthanide,category_remainder,rare_earth_non_lanthanide,Sc|Y,2,57,0.011185243328100471
other_lanthanide,category_remainder,lanthanide,Eu|Gd|Nd|Pm|Sm,5,46,0.00902668759811617
other_post_transition_metal,category_remainder,post_transition_metal,Bi|Cd|In|Pb,4,44,0.008634222919937205
other_actinide,category_remainder,actinide,Cf|Pa,2,22,0.0043171114599686025
GROUP_all_actinide,category,actinide,Am|Cf|Cm|Np|Pa|Pu|Th|U,8,4607,0.9040423861852434
