arm,n_rows,n_extractants,equal_extractant_macro_mae,pooled_micro_mae,median_extractant_mae,worst_quartile_extractant_mae,fraction_extractants_improved_vs_A2,extractants_improved_vs_A2,pooled_r2,equal_extractant_macro_r2,median_extractant_r2,extractants_in_r2_metrics,pearson_squared_scale_free,prediction_dispersion_ratio,adjacent_ln_mae,nonadjacent_ln_mae,sign_accuracy,pooled_statistics_are_row_weighted,split_seed,model_seed
A2_current_champion,6699,34,0.3164422949099717,0.4155549170373346,0.2745492386933392,0.5794627656642567,0.0,0,0.3249744664328162,-0.535718085102144,0.557405530436859,31,0.371558519219373,0.7509346747695284,0.1163886453836073,0.4731196624374199,0.8450515002239141,True,104729,42
H1_CATBOOST_NONE_RMSE,6699,34,0.3165402383342698,0.4206315250668695,0.3056594412132444,0.5577622002893365,0.4411764705882353,15,0.3192941801756987,-0.6868839200529477,0.5754549833544202,31,0.3760302736529166,0.7377504042614254,0.1158450937306437,0.4792776860270797,0.8237050306015823,True,104729,42
H1_CATBOOST_NONE_MAE,6699,34,0.3130694476423033,0.4094478194604842,0.2972535001531127,0.5490817386298346,0.4411764705882353,15,0.3551385851747964,-0.5887035524377858,0.5517554627048693,31,0.3966396949894133,0.7300291444065058,0.1155699747235437,0.4659949804004331,0.8571428571428571,True,104729,42
H1_CATBOOST_NONE_HUBER,6699,34,0.3115616016536353,0.415743660486154,0.2859794842894707,0.5560675883171383,0.5588235294117647,19,0.325966798089859,-0.6104193597153573,0.5325000892634211,31,0.3833709241224787,0.7314901246157541,0.1186499859761444,0.4729096024842531,0.8231079265562025,True,104729,42
H1_CATBOOST_GROUP_SQRT_RMSE,6699,34,0.3305137590203897,0.4198206832413298,0.3608214864668513,0.5549131222370072,0.4117647058823529,14,0.3214816164117299,-0.6390406605458606,0.4634097092099114,31,0.3761601976536168,0.7567312537773282,0.1168184663967617,0.4781235305907385,0.8392297357814599,True,104729,42
H1_CATBOOST_GROUP_SQRT_MAE,6699,34,0.32688277713009,0.4216548382555243,0.3090673960298193,0.5662882769119397,0.4117647058823529,14,0.3219104073654023,-0.7873957060150666,0.5171187760539598,31,0.3722022317386551,0.7451320280344871,0.1245538577750033,0.478822186048234,0.8462457083146738,True,104729,42
H1_CATBOOST_GROUP_SQRT_HUBER,6699,34,0.3133152122836862,0.4101598180053489,0.3045563559628571,0.5316034176251966,0.5,17,0.3528347518213163,-0.4970171894943865,0.3951154920346661,31,0.4043609143907687,0.7646489245439468,0.1233336268547757,0.4653501192929548,0.825944170771757,True,104729,42
H1_CATBOOST_GROUP_EQUAL_RMSE,6699,34,0.3190147964897147,0.393667428715136,0.3081510202032972,0.5496305166624822,0.5294117647058824,18,0.4100442560437235,-0.3966049230666908,0.5805476169941743,31,0.4431788139563794,0.7442080803684259,0.1227339592820824,0.4457996965074342,0.8223615464994776,True,104729,42
H1_CATBOOST_GROUP_EQUAL_MAE,6699,34,0.3172828972295961,0.4079315816894635,0.3138697533679824,0.5382023894607307,0.4411764705882353,15,0.3721945157901196,-0.6158870794060833,0.5253143274563286,31,0.4126375528727746,0.7439241484194061,0.1243103013586301,0.462505202913677,0.8378862516793552,True,104729,42
H1_CATBOOST_GROUP_EQUAL_HUBER,6699,34,0.3286223964151946,0.4071328403078528,0.2736751205005239,0.5770712242059032,0.5294117647058824,18,0.3677272488018905,-0.5264668789379343,0.5044121472651382,31,0.4088467259100639,0.7759594626497042,0.1262699264138899,0.4611757043020454,0.8268398268398268,True,104729,42
H2_E3_RAW_REAL,6699,34,0.317467030811068,0.421041090643339,0.2987503056665898,0.5537004545243923,0.4411764705882353,15,0.3203592323885331,-0.7176156377158571,0.5685995926800225,31,0.3723103231039354,0.7460096760095837,0.1190917739172669,0.4791413418681314,0.8480370204508135,True,104729,42
H2_E3_RAW_SHUFFLED,6699,34,0.3176876814851348,0.4212062334463391,0.2984036766196218,0.55330793835915,0.4411764705882353,15,0.3202736770193348,-0.7126573015344775,0.5678192327278186,31,0.3725062613873199,0.7450784102986382,0.1195673959162923,0.4792467431241569,0.8481862964621585,True,104729,42
H2_E3_COMPACT_REAL,6699,34,0.317467030811068,0.421041090643339,0.2987503056665898,0.5537004545243923,0.4411764705882353,15,0.3203592323885331,-0.7176156377158571,0.5685995926800225,31,0.3723103231039354,0.7460096760095837,0.1190917739172669,0.4791413418681314,0.8480370204508135,True,104729,42
H2_E3_COMPACT_SHUFFLED,6699,34,0.3176162935236237,0.4213237763211708,0.2979922720129445,0.5522890146139452,0.4411764705882353,15,0.3199498222962935,-0.7129171539376965,0.5558232716962115,31,0.372244688519724,0.7451889469892109,0.1196917488940707,0.4793629756178413,0.8486341244961935,True,104729,42
H2_E3_STABLE_REAL,6699,34,0.3172394048325775,0.4208968369873894,0.2987503056665898,0.5527072365100776,0.4411764705882353,15,0.3207972536652079,-0.7124974304982556,0.5685995926800225,31,0.372812681152414,0.7457271796074545,0.1188697397123932,0.4790120545299795,0.8486341244961935,True,104729,42
H2_E3_STABLE_SHUFFLED,6699,34,0.3167704326457113,0.4207057635762451,0.2976810770281202,0.5520378230715909,0.4117647058823529,14,0.3215328848673453,-0.6996587015330094,0.5698189455722428,31,0.3736038723936216,0.7449204420960642,0.1193114958777043,0.478699213804462,0.8475891924167787,True,104729,42
H3_A2,6699,34,0.4929544011170584,0.4814783789276938,0.4358102028537273,0.9108999456421988,0.3823529411764705,13,0.0887732715382439,-3.512622014517073,-0.17160410490257,31,0.3151379301012446,0.9939714861684972,0.1390947743719585,0.5473588838270798,0.8196745782952679,True,104729,42
H3_A2_ELEC,6699,34,0.3589390592229111,0.4415366904678753,0.3336569386277251,0.6092126622098258,0.3823529411764705,13,0.2713951319162756,-0.6278111504891938,0.3988334066349692,31,0.3748152725368823,0.8928087396861236,0.1409302501219708,0.499378549138919,0.7854903716972682,True,104729,42
H3_A2_LABEL_SHUFFLED,6699,34,0.4762295030658232,0.4119104599805531,0.4549593121049963,0.8068428983747581,0.2941176470588235,10,0.3844600989622758,-1.9332448456241245,0.0780142898337814,31,0.3865328989527201,0.6478389941747147,0.1269509988180297,0.4667415702540823,0.8569935811315121,True,104729,42
H3_A2_ELEC_LABEL_SHUFFLED,6699,34,0.436892684848396,0.3938172311209013,0.3687539117130782,0.7507924254801286,0.2647058823529412,9,0.4322282559131315,-1.3161216711555002,0.1919577178782696,31,0.4340893002051258,0.6418724170456365,0.1258579456178277,0.4453772146788974,0.8535602328705777,True,104729,42
