comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_candidate_better,extractants_improved,extractants_total,split_seeds,bootstrap_replicates,bootstrap_seed,bootstrap_unit,split_seed_weighting,multiplicity_preserved
A2_current_champion_vs_H1_CATBOOST_NONE_RMSE,A2_current_champion,H1_CATBOOST_NONE_RMSE,-0.009536910516822046,-0.028744059356132654,0.009664565858963864,0.1669,16,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H1_CATBOOST_NONE_MAE,A2_current_champion,H1_CATBOOST_NONE_MAE,-0.010573768162414728,-0.02663339646844309,0.005402544748691612,0.1017,12,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H1_CATBOOST_NONE_HUBER,A2_current_champion,H1_CATBOOST_NONE_HUBER,-0.012164848386288169,-0.03338431709163001,0.008676301307966417,0.1251,15,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_RMSE,A2_current_champion,H1_CATBOOST_GROUP_SQRT_RMSE,-0.01684027923223064,-0.034971830077423556,0.0007535176118135083,0.0303,12,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_MAE,A2_current_champion,H1_CATBOOST_GROUP_SQRT_MAE,-0.022364591130370485,-0.044529106632992296,-0.0011617695988358167,0.0189,12,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_HUBER,A2_current_champion,H1_CATBOOST_GROUP_SQRT_HUBER,-0.011816973320808041,-0.029205395236232497,0.006518223116424012,0.0983,12,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_RMSE,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_RMSE,-0.018234528039735964,-0.03573207147279351,4.04814665334308e-05,0.0256,12,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_MAE,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_MAE,-0.01764585052466215,-0.03940488056435182,0.00363187635535345,0.0557,13,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_HUBER,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_HUBER,-0.022028370647717992,-0.04068593022689768,-0.0023191361943744587,0.0149,11,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H2_E3_RAW_REAL,A2_current_champion,H2_E3_RAW_REAL,-0.0053775914725052824,-0.020945612630858746,0.010262211975621879,0.2484,16,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H2_E3_RAW_SHUFFLED,A2_current_champion,H2_E3_RAW_SHUFFLED,-0.006100246670933368,-0.021331189616606322,0.00926362464734194,0.2161,17,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H2_E3_COMPACT_REAL,A2_current_champion,H2_E3_COMPACT_REAL,-0.00535779636263125,-0.021436340595739838,0.009925126468563656,0.2485,16,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H2_E3_COMPACT_SHUFFLED,A2_current_champion,H2_E3_COMPACT_SHUFFLED,-0.006143641788450697,-0.021727404794969873,0.008950327457799332,0.2178,17,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H2_E3_STABLE_REAL,A2_current_champion,H2_E3_STABLE_REAL,-0.005722573987728422,-0.02156172338720727,0.009441964825197855,0.2269,16,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H2_E3_STABLE_SHUFFLED,A2_current_champion,H2_E3_STABLE_SHUFFLED,-0.00510527418855688,-0.020360170789845766,0.010096509316453572,0.2591,17,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H3_A2,A2_current_champion,H3_A2,-0.10479086324528494,-0.15842352663046508,-0.054730114488435004,0.0,8,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
A2_current_champion_vs_H3_A2_ELEC,A2_current_champion,H3_A2_ELEC,-0.07746435916920573,-0.12321892509165194,-0.036899284447403174,0.0,9,34,5,10000,8675309,extractant,one split seed one vote within extractant,True
