A,B,n_cells,mean_abs_logSF,sd_logSF,frac_heavy_pref,dr,dZ
Ce,Yb,117,1.461951062924047,1.3354556299616627,0.7863247863247863,0.15800000000000003,12
Ce,Lu,118,1.5274015639163139,1.3497139232760473,0.847457627118644,0.16600000000000004,13
Pr,Nd,172,0.1762258371747206,0.2336311359333665,0.7325581395348837,0.016999999999999904,1
Pr,Sm,164,0.5384187902643914,0.5669754779004752,0.7439024390243902,0.04699999999999993,3
Pr,Eu,163,0.6702422119567669,0.7198601939884359,0.6748466257668712,0.05999999999999983,4
Pr,Gd,133,0.7609432087934475,0.8025525116949994,0.6616541353383458,0.07299999999999995,5
Pr,Tb,120,0.9368214343464205,0.9528929406638296,0.6666666666666666,0.08599999999999985,6
Pr,Dy,122,1.0302363986131065,1.0417555166299477,0.6721311475409836,0.09899999999999998,7
Pr,Ho,111,1.2292181270157303,1.162472847819998,0.7297297297297297,0.11099999999999999,8
Pr,Er,115,1.1993644272621091,1.2290643697961694,0.7130434782608696,0.12199999999999989,9
Pr,Tm,87,1.1802707610318202,1.247723510273049,0.7586206896551724,0.1319999999999999,10
Pr,Yb,104,1.316804418679048,1.2554091417915876,0.7884615384615384,0.1409999999999999,11
Pr,Lu,104,1.3861438516459579,1.2777972766269985,0.8173076923076923,0.1489999999999999,12
Nd,Sm,234,0.3903792425983236,0.3863888454864438,0.7777777777777778,0.030000000000000027,2
Nd,Eu,222,0.5466567272019446,0.575434336384406,0.7297297297297297,0.04299999999999993,3
Nd,Gd,197,0.6034733894641529,0.6262006732772875,0.7157360406091371,0.05600000000000005,4
Nd,Tb,136,0.8545773891847475,0.7874262696368046,0.7058823529411765,0.06899999999999995,5
Nd,Dy,190,0.8240863996049955,0.7922077530700157,0.7736842105263158,0.08200000000000007,6
Nd,Ho,144,1.0173056940559069,0.9503558230577221,0.7916666666666666,0.09400000000000008,7
Nd,Er,173,0.9995120372193311,0.9286647094247615,0.8208092485549133,0.10499999999999998,8
Nd,Tm,101,1.1439969712534428,1.0685613692110416,0.7821782178217822,0.11499999999999999,9
Nd,Yb,129,1.2421560191947434,1.0242330205082122,0.813953488372093,0.124,10
Nd,Lu,136,1.2019825711717707,1.0172098154013223,0.8529411764705882,0.132,11
Sm,Eu,203,0.2065640174338801,0.2563908481167333,0.6650246305418719,0.0129999999999999,1
Sm,Gd,204,0.2733912562016425,0.34677284197087266,0.6666666666666666,0.026000000000000023,2
Sm,Tb,144,0.48477135253045944,0.44926676199993826,0.7291666666666666,0.038999999999999924,3
Sm,Dy,202,0.5417847691390085,0.5235806683410709,0.7524752475247525,0.052000000000000046,4
Sm,Ho,143,0.6906306389253155,0.6592869791354131,0.7692307692307693,0.06400000000000006,5
Sm,Er,176,0.6932092172857093,0.654891793382297,0.7954545454545454,0.07499999999999996,6
Sm,Tm,102,0.7950368402854779,0.7385154472114149,0.7745098039215687,0.08499999999999996,7
Sm,Yb,127,0.8643649993053041,0.7410805431618503,0.8110236220472441,0.09399999999999997,8
Sm,Lu,133,0.8571724960870319,0.7405162931527735,0.8270676691729323,0.10199999999999998,9
Eu,Gd,177,0.16010293072216097,0.22035025925740684,0.536723163841808,0.013000000000000123,1
Eu,Tb,142,0.31902235713021726,0.2686046431886575,0.8098591549295775,0.026000000000000023,2
Eu,Dy,161,0.4118696083096409,0.37557191293091297,0.7888198757763976,0.039000000000000146,3
Eu,Ho,126,0.5920154555516565,0.5245110081194738,0.7857142857142857,0.051000000000000156,4
Eu,Er,147,0.6013784043802101,0.5967138337398653,0.7619047619047619,0.062000000000000055,5
Eu,Tm,97,0.6336471084129879,0.6065629433581844,0.7525773195876289,0.07200000000000006,6
Eu,Yb,121,0.701874938889943,0.627739152815587,0.7768595041322314,0.08100000000000007,7
Eu,Lu,133,0.6851299940130046,0.6038714312351666,0.8345864661654135,0.08900000000000008,8
Gd,Tb,188,0.26900506699802956,0.20937985277317012,0.8829787234042553,0.0129999999999999,1
Gd,Dy,237,0.34114400496780034,0.2961579573640635,0.8523206751054853,0.026000000000000023,2
Gd,Ho,184,0.48704680496528896,0.4310219307635342,0.8532608695652174,0.038000000000000034,3
Gd,Er,214,0.5039694044766291,0.4539249930780019,0.8411214953271028,0.04899999999999993,4
Gd,Tm,134,0.5381271023021678,0.4997181693976834,0.8059701492537313,0.05899999999999994,5
Gd,Yb,166,0.655554531495112,0.578463290768467,0.8132530120481928,0.06799999999999995,6
Gd,Lu,171,0.6427451816437255,0.5722416078603428,0.8245614035087719,0.07599999999999996,7
Tb,Dy,181,0.16091154382628062,0.22080319828294692,0.7624309392265194,0.013000000000000123,1
Tb,Ho,158,0.28507490694043985,0.2755266155028657,0.7784810126582279,0.025000000000000133,2
Tb,Er,162,0.34474421219664975,0.350516024116054,0.7469135802469136,0.03600000000000003,3
Tb,Tm,135,0.343789883767451,0.3815289600030817,0.762962962962963,0.04600000000000004,4
Tb,Yb,153,0.39182167333924084,0.41781531833912217,0.7124183006535948,0.05500000000000005,5
Tb,Lu,155,0.4363235667227102,0.4559066813613138,0.7419354838709677,0.06300000000000006,6
Dy,Ho,185,0.14636612907970675,0.16380128814849665,0.8108108108108109,0.01200000000000001,1
Dy,Er,220,0.20004161686432922,0.2161472279017447,0.7909090909090909,0.02299999999999991,2
Dy,Tm,143,0.2518477729114696,0.28405319655055655,0.7412587412587412,0.03299999999999992,3
Dy,Yb,176,0.3440114782582545,0.3797687873776402,0.7329545454545454,0.041999999999999926,4
Dy,Lu,182,0.3276221493369906,0.3615738280255033,0.7527472527472527,0.04999999999999993,5
Ho,Er,188,0.10293583761893838,0.15336003380432975,0.7021276595744681,0.010999999999999899,1
Ho,Tm,143,0.14795948681866403,0.21491358538451485,0.6153846153846154,0.020999999999999908,2
Ho,Yb,166,0.21289763743081885,0.30138850129343736,0.6204819277108434,0.029999999999999916,3
Ho,Lu,158,0.23561684990589274,0.2971222151236489,0.6708860759493671,0.03799999999999992,4
Er,Tm,153,0.09761066322049729,0.21918318384726826,0.5032679738562091,0.010000000000000009,1
Er,Yb,174,0.16165705870514108,0.3048998564289079,0.5919540229885057,0.019000000000000017,2
Er,Lu,177,0.1501240075662953,0.22356322937583648,0.632768361581921,0.027000000000000024,3
Tm,Yb,147,0.06457801303036172,0.12040819072518051,0.46938775510204084,0.009000000000000008,1
Tm,Lu,146,0.11631443740685053,0.1891431093152978,0.5753424657534246,0.017000000000000015,2
Yb,Lu,164,0.07526792644431102,0.11895710519381324,0.5182926829268293,0.008000000000000007,1
