A,B,n_cells,mean_abs_logSF,sd_logSF,frac_heavy_pref,dr,dZ
La,Ce,187,0.26637121865815366,0.2888642226521889,0.7700534759358288,0.016999999999999904,1
La,Pr,170,0.43353276009936126,0.42492667119268374,0.7705882352941177,0.03400000000000003,2
La,Nd,242,0.4630459552683949,0.47494596152370067,0.8140495867768595,0.050999999999999934,3
La,Sm,193,0.88899578022248,0.8230225822208076,0.8082901554404145,0.08099999999999996,5
La,Eu,220,0.979559002958128,0.9705348110015934,0.7727272727272727,0.09399999999999986,6
La,Gd,157,1.1028818676600742,1.0738116895734187,0.7643312101910829,0.10699999999999998,7
La,Tb,131,1.332523269417255,1.258621789405985,0.7251908396946565,0.11999999999999988,8
La,Dy,151,1.3275336882114812,1.2492292887467338,0.7615894039735099,0.133,9
La,Ho,131,1.675907117589388,1.4207032894740796,0.7938931297709924,0.14500000000000002,10
La,Er,149,1.5034249965512676,1.4066614267644124,0.7583892617449665,0.15599999999999992,11
La,Tm,98,1.5724842813614133,1.5133566562567837,0.7448979591836735,0.16599999999999993,12
La,Yb,120,1.653699909277442,1.502545151185094,0.7583333333333333,0.17499999999999993,13
La,Lu,138,1.6378839472518407,1.4286377457267811,0.855072463768116,0.18299999999999994,14
Ce,Pr,169,0.23806707655873421,0.3052718476940558,0.727810650887574,0.017000000000000126,1
Ce,Nd,193,0.33577015794996096,0.3851566084640366,0.7875647668393783,0.03400000000000003,2
Ce,Sm,181,0.7408405507952432,0.7118532323019952,0.8453038674033149,0.06400000000000006,4
Ce,Eu,176,0.8726539355093359,0.8557507387688877,0.7954545454545454,0.07699999999999996,5
Ce,Gd,144,0.9757962957623767,0.9428426385153592,0.7847222222222222,0.09000000000000008,6
Ce,Tb,128,1.169696816004961,1.0789869931801557,0.765625,0.10299999999999998,7
Ce,Dy,133,1.28729441252549,1.1442893816379227,0.7744360902255639,0.1160000000000001,8
Ce,Ho,121,1.406759246355363,1.2660006531497618,0.7851239669421488,0.1280000000000001,9
Ce,Er,127,1.439041838011446,1.2998233108709107,0.7559055118110236,0.139,10
Ce,Tm,101,1.4062481478253992,1.3467171523831252,0.7821782178217822,0.14900000000000002,11
