subset,n_cells,min_pair_n,pc1_shrunk,pc1_unshrunk,abs_r_radius
all 521 cells,521,87,0.7264548027589651,0.8720844238229687,0.98813196328098
only sc009 (375),375,39,0.6335124030731192,0.7465128934736391,0.9683087208884419
excluding sc009,146,47,0.7137185658107149,0.8715233460380972,0.9915701222496791
