metal,pc1_unshrunk,pc2_unshrunk,pc1_shrunk,pc2_shrunk,pc1_complete14,pc2_complete14,radius_cn8
La,0.4888907619134729,-0.4446420341069082,0.4888907619134734,-0.44464203410690856,0.5049288462512348,0.3618285719227555,1.16
Ce,0.41732772830965714,-0.04434443030700555,0.4173277283096566,-0.04434443030700713,0.41950146067270977,0.1823234978741395,1.143
Pr,0.3674828267046187,0.3655819740766771,0.3674828267046185,0.3655819740766779,0.34831864705999044,0.00658898575932806,1.126
Nd,0.25518387432581385,-0.1642594814293452,0.2551838743258137,-0.164259481429345,0.2753799039953918,-0.1508910430715315,1.109
Sm,0.08554253675084905,0.11058418207944083,0.08554253675084901,0.1105841820794411,0.07789687249344196,-0.3449402119144657,1.079
Eu,0.006953661923969464,0.24568583185396223,0.006953661923969464,0.2456858318539622,-0.007493995674230501,-0.369044598158347,1.066
Gd,-0.04231740121879003,0.29218944587712303,-0.04231740121879,0.292189445877123,-0.060646931219902715,-0.3016790561572758,1.053
Tb,-0.12958418138700117,0.39944632623293297,-0.1295841813870011,0.39944632623293264,-0.13363676848509806,-0.29888680066587087,1.04
Dy,-0.15637819857199273,-0.013893304836435087,-0.15637819857199264,-0.013893304836435298,-0.17519691349974462,-0.17629415608991406,1.027
Ho,-0.23239029450975773,0.0891028947928727,-0.23239029450975762,0.08910289479287253,-0.21887099983408675,-0.011199362160635332,1.015
Er,-0.2410261254528045,-0.25404250647585186,-0.24102612545280439,-0.2540425064758521,-0.2484372129258976,0.13747819023422148,1.004
Tm,-0.2833412625498901,0.045471542557327,-0.2833412625498901,0.045471542557326515,-0.24899815729288352,0.23108242294199793,0.994
Yb,-0.2728938880367616,-0.15383743573555445,-0.27289388803676157,-0.15383743573555494,-0.2635083652397963,0.31735986253087145,0.985
Lu,-0.2634500382013837,-0.47304300457923165,-0.2634500382013836,-0.4730430045792317,-0.2692363863011288,0.4162736969547243,0.977
